target,sites,owners,opcodes,confidence
0x6A40,0x5082,display_statistics_play_time,pea.l 0x6a40.l,Verified
0x6A46,0x50FA,run_statistics_summary,pea.l 0x6a46.l,Verified
0x6A52,0x5116,run_statistics_summary,"movea.l 0x6a52, a0",Verified
0x6B18,0x516C,run_statistics_summary,pea.l 0x6b18.l,Verified
0x6B32,0x5188,run_statistics_summary,pea.l 0x6b32.l,Verified
0x6B3A,0x51A6,run_statistics_summary,pea.l 0x6b3a.l,Verified
0x6B4E,0x51CC,run_statistics_summary,pea.l 0x6b4e.l,Verified
0x6B56,0x51EA,run_statistics_summary,pea.l 0x6b56.l,Verified
0x6B66,0x5594,run_option_descriptor_editor,pea.l 0x6b66.l,Verified
0x6B72,0x5730,run_option_descriptor_editor,"move.l 0x6b72, d0",Verified
0x6B7E,0x5766,run_option_descriptor_editor,"move.l 0x6b7e, d0",Verified
0x6B8A,0x4C42,init_operator_alpha_palette,"movea.l 0x6b8a, a2",Verified
0x6B9A,0x4CEE;0x4DAA,run_statistics_histograms,"movea.l 0x6b9a, a0",Verified
0x6BA0,0x54E8,run_option_descriptor_editor,"move.l 0x6ba0.l, -(a7)",Verified
0x6BC6,0x54C2,run_option_descriptor_editor,"move.l 0x6bc6.l, -(a7)",Verified
0x6C5A,0x5254,run_game_settings_bit_editor,"move.l 0x6c5a, d0",Verified
0x6C78,0x5276;0x58E8,run_game_options;run_game_settings_bit_editor,"move.l 0x6c78, d0",Verified
0x6C8E,0x5958,run_coin_options,"move.l 0x6c8e, d0",Verified
0x6CE0,0x524C,run_game_settings_bit_editor,"move.l 0x6ce0, d0",Verified
0x6CFE,0x526E;0x58E0,run_game_options;run_game_settings_bit_editor,"move.l 0x6cfe, d0",Verified
0x6D14,0x5950,run_coin_options,"move.l 0x6d14, d0",Verified
0x6D2A,0x5738;0x576E,run_option_descriptor_editor,"move.l 0x6d2a.l, d0",Verified
0x6D3A,0x5978,run_coin_options,pea.l 0x6d3a.l,Verified
