entry_kind,address,name,purpose,arguments,return,exceptional_convention,reachability,source_catalog,confidence
api_veneer,0x016C,process_coins,Fixed OS API absolute-JMP veneer to process_coins,previous packed 2-bit counter sample; current packed 2-bit counter sample,void,absolute JMP veneer; target convention: normal two-slot stack ABI; only each slot's low byte is consumed,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0172,send_sound_command,Fixed OS API absolute-JMP veneer to send_sound_command,command word; response destination pointer; response byte count word,"D0.l = 1 when accepted, 0 when latch or direct-response channel is busy",absolute JMP veneer; target convention: normal stack wrapper over 0x4198 register body,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0178,read_sound_data,Fixed OS API absolute-JMP veneer to read_sound_data,void,"D0.l = next byte, or -1 when empty",absolute JMP veneer; target convention: normal stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x017E,sound_receive_irq_body,Fixed OS API absolute-JMP veneer to sound_receive_irq_body,CPU interrupt frame,no scalar result,absolute JMP veneer; target convention: interrupt entry; saves D0/A0/A1 and returns with RTE,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0184,eeprom_check_busy,Fixed OS API absolute-JMP veneer to eeprom_check_busy,void,"D0.l = 1 when any EEPROM work is pending, 0 when idle",absolute JMP veneer; target convention: normal stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x018A,eeprom_process,Fixed OS API absolute-JMP veneer to eeprom_process,void,void,absolute JMP veneer; target convention: normal stack ABI; serializes EEPROM writes through unlock register 0x803150,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0190,eeprom_init,Fixed OS API absolute-JMP veneer to eeprom_init,void,"D0.l = 0 initialized, 1 invalid game-hook header, or -1 on terminal initialization/error-state exit","absolute JMP veneer; target convention: nonstandard persistent stack allocation: removes the return address, reserves the configuration image, then restores the return address below it",fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0196,eeprom_request_write,Fixed OS API absolute-JMP veneer to eeprom_request_write,region index long,D0.l = supplied region index,absolute JMP veneer; target convention: normal stack veneer over 0x47AC register entry,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x019C,record_player_session_histogram,Fixed OS API absolute-JMP veneer to record_player_session_histogram,player index word in a long slot; coin-count/divisor word in a long slot,void,absolute JMP veneer; target convention: normal two-slot stack ABI; divisor is capped at 128 and is expected nonzero,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x01A2,read_eeprom_setting,Fixed OS API absolute-JMP veneer to read_eeprom_setting,difficulty threshold/row long; bin index long,"D0.l = byte value, -1 when bin index exceeds 19, or -2 when current difficulty is not above the requested row",absolute JMP veneer; target convention: normal stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x01A8,read_game_config,Fixed OS API absolute-JMP veneer to read_game_config,configuration index long,D0.l = decoded value; index 13 returns the signed game difficulty byte; indexes above 13 return -1,absolute JMP veneer; target convention: normal stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x01AE,read_high_score_entry,Fixed OS API absolute-JMP veneer to read_high_score_entry,character class word; rank word,"D0.l = pointer to seven-byte expanded entry, or 0 when rank exceeds 9",absolute JMP veneer; target convention: normal stack ABI; character class is expected to be 0-3 and is not bounds-checked,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x01B4,write_high_score_entry,Fixed OS API absolute-JMP veneer to write_high_score_entry,character class word; rank word; expanded-entry pointer,"D0.l = 0 success, -1 when rank exceeds 9, or -2 when score exceeds 24 bits",absolute JMP veneer; target convention: normal stack ABI; character class is expected to be 0-3 and is not bounds-checked,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x01BA,update_active_player_time_stats,Fixed OS API absolute-JMP veneer to update_active_player_time_stats,active-player bit mask long,D0.l = pointer to the first per-player elapsed-VBLANK counter at 0x904F50,absolute JMP veneer; target convention: normal stack ABI; queues EEPROM regions when hour counters change,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x01C0,write_eeprom_setting,Fixed OS API absolute-JMP veneer to write_eeprom_setting,configuration index long; value long,D0.l = -1 for index above 13; otherwise the delegated writer's observable result,absolute JMP veneer; target convention: normal stack ABI; indexes below 11 are forcibly written as zero,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x01C6,rank_high_score,Fixed OS API absolute-JMP veneer to rank_high_score,character class word; score long,"D0.l = rank 0-9, 10 when score does not rank, or -1 when score exceeds 24 bits",absolute JMP veneer; target convention: normal stack ABI; character class is expected to be 0-3 and is not bounds-checked,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x01CC,activate_player_time_tracking,Fixed OS API absolute-JMP veneer to activate_player_time_tracking,player index long,D0.l = pointer to the first per-player elapsed-VBLANK counter at 0x904F50,absolute JMP veneer; target convention: normal stack ABI; tail result is propagated from 0x3BE8,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x01D2,run_statistics_screens,Fixed OS API absolute-JMP veneer to run_statistics_screens,nonzero allows clear operations,void,absolute JMP veneer; target convention: normal stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0200,display_large_text,Fixed OS API absolute-JMP veneer to display_large_text,descriptor pointer,D0.l=total alpha-cell advance,absolute JMP veneer; target convention: normal API implementation,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0206,clear_large_text,Fixed OS API absolute-JMP veneer to clear_large_text,descriptor pointer,D0.l=alpha-cell span cleared for the final descriptor,absolute JMP veneer; target convention: normal stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x020C,display_large_char_at,Fixed OS API absolute-JMP veneer to display_large_char_at,alpha destination pointer; glyph index word; color/style word,D0.w=alpha-cell advance (1 or 2),absolute JMP veneer; target convention: tail-enters register renderer,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0212,display_large_char_raw,Fixed OS API absolute-JMP veneer to display_large_char_raw,alpha destination pointer; glyph index word; color/style word,D0.w=alpha-cell advance (1 or 2),absolute JMP veneer; target convention: tail-enters register renderer,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0218,write_alpha_char,Fixed OS API absolute-JMP veneer to write_alpha_char,coordinate byte 0; coordinate byte 1; character word; color/style word,void,absolute JMP veneer; target convention: normal API implementation,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x021E,write_alpha_word,Fixed OS API absolute-JMP veneer to write_alpha_word,cell index long; value word,void,absolute JMP veneer; target convention: normal stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0224,calc_alpha_address,Fixed OS API absolute-JMP veneer to calc_alpha_address,coordinate byte 0; coordinate byte 1,D0.l=absolute alpha VRAM address,absolute JMP veneer; target convention: normal stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0230,check_and_deduct_credits,Fixed OS API absolute-JMP veneer to check_and_deduct_credits,required credit units long; player index long,"D0.l = 1 on success/free play, 0 when insufficient",absolute JMP veneer; target convention: normal stack ABI; consumes pending units before accumulated units,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0236,get_coin_multiplier,Fixed OS API absolute-JMP veneer to get_coin_multiplier,void,"D0.l = multiplier 1-4, or 0 for free play/invalid high setting",absolute JMP veneer; target convention: normal stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x023C,send_sound_command_wait,Fixed OS API absolute-JMP veneer to send_sound_command_wait,command word,D0.l = 1,absolute JMP veneer; target convention: normal stack veneer; D0=0 selects retry in shared body 0x41CE,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0242,try_send_sound_command,Fixed OS API absolute-JMP veneer to try_send_sound_command,command word,"D0.l = 1 when accepted, 0 when busy",absolute JMP veneer; target convention: normal stack veneer; D0=1 selects one attempt in shared body 0x41CE,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0248,run_game_options,Fixed OS API absolute-JMP veneer to run_game_options,"descriptor-stream pointer, or null for raw-bit editor","D0.l = observable delegated setting-writer result, not the edited word",absolute JMP veneer; target convention: normal stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x024E,eeprom_read_block,Fixed OS API absolute-JMP veneer to eeprom_read_block,"destination pointer; logical block index word; mode long (zero synchronous, nonzero queued)","D0.l = 1 success/queued, 0 invalid/busy/full; synchronous decode also returns -1 correctable syndrome or -2 uncorrectable syndrome",absolute JMP veneer; target convention: normal mixed-width three-slot stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0254,reset_sound_cpu,Fixed OS API absolute-JMP veneer to reset_sound_cpu,sound control word; startup command word,void,absolute JMP veneer; target convention: normal two-slot stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x025A,draw_string,Fixed OS API absolute-JMP veneer to draw_string,coordinate byte 0; coordinate byte 1; string pointer; color/style word,D0.l=source bytes consumed including NUL,absolute JMP veneer; target convention: normal API implementation,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0260,display_decimal_value,Fixed OS API absolute-JMP veneer to display_decimal_value,"coordinate0; coordinate1; value; field width; nonzero=space pad, zero=zero pad; color/style",void,absolute JMP veneer; target convention: normal six-slot stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0266,display_hex_value,Fixed OS API absolute-JMP veneer to display_hex_value,"coordinate0; coordinate1; value; field width; nonzero=space pad, zero=zero pad; color/style",void,absolute JMP veneer; target convention: normal six-slot stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x026C,display_large_text_at,Fixed OS API absolute-JMP veneer to display_large_text_at,coordinate0; coordinate1; string pointer; color/style,D0.l=total alpha-cell advance,absolute JMP veneer; target convention: normal four-slot stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0272,display_large_decimal_value,Fixed OS API absolute-JMP veneer to display_large_decimal_value,"coordinate0; coordinate1; value; field width; nonzero=space pad, zero=zero pad; color/style",D0.l=total alpha-cell advance,absolute JMP veneer; target convention: normal six-slot stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0278,display_large_hex_value,Fixed OS API absolute-JMP veneer to display_large_hex_value,"coordinate0; coordinate1; value; field width; nonzero=space pad, zero=zero pad; color/style",D0.l=total alpha-cell advance,absolute JMP veneer; target convention: normal six-slot veneer sharing the 0x32F2 display tail,fixed public veneer,os_callable_contracts.csv,Verified
implementation,0x0300,exception_handler,Dispatch CPU exceptions to the optional game exception veneer or return from the exception,CPU exception frame,no scalar result; D0.w=0 on game dispatch,vector entry; RTE or tail-JMP,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0314,irq1_handler,Dispatch IRQ1 to game hook 0x4000C when installed,CPU interrupt frame,no scalar result,interrupt entry; RTE or tail-JMP,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0326,irq2_handler,Dispatch IRQ2 to game hook 0x40018 when installed,CPU interrupt frame,no scalar result,interrupt entry; RTE or tail-JMP,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0338,irq3_handler,Dispatch IRQ3 to game hook 0x40012 when installed,CPU interrupt frame,no scalar result,interrupt entry; RTE or tail-JMP,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x034A,irq4_vblank_handler,"Dispatch VBLANK to the OS handler or game hook, otherwise acknowledge it locally",CPU interrupt frame,no scalar result,interrupt entry; RTE or tail-JMP,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x036C,irq6_handler,Dispatch self-test-mode IRQ6 to the game sound hook or consume/store the OS-lane sound response,CPU interrupt frame,no scalar result,interrupt entry; RTE or tail-JMP,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x03A0,selftest_boot,Start the full destructive test of video-RAM spare before the self-test boot continuation chain,void,no return,early-boot tail entry; installs A4 continuation,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x03B6,selftest_boot_spare_test_done,Handle full spare-RAM result and start color-RAM test,inherited D4.w=test status,no ordinary return,A4 continuation from memory tester,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x03C4,selftest_boot_spare_error_ack,Wait for acknowledgement after spare-RAM error and resume color test,inherited hardware switch/status state,no ordinary return,A4 continuation from error display,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0424,selftest_boot_color_test_done,Handle full color-RAM result and start playfield test,inherited D4.w=test status,no ordinary return,A4 continuation from memory tester,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x04A4,selftest_boot_playfield_test_done,Handle full playfield-RAM result and start alpha test,inherited D4.w=test status,no ordinary return,A4 continuation from memory tester,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0512,selftest_boot_alpha_test_done,Handle full alpha-RAM result and start MOB test,inherited D4.w=test status,no ordinary return,A4 continuation from memory tester,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0582,selftest_boot_mob_test_done,Handle full MOB-RAM result and enter main initialization,inherited D4.w=test status,no ordinary return,A4 continuation from memory tester,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x05E2,reset_entry,"Mask interrupts, pulse the board latch, delay while petting watchdog, and select normal or self-test boot",reset-vector CPU state,no return,reset vector entry; tail-JMP,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x061E,normal_boot,Seed color RAM and start the short destructive video-RAM-spare test for normal boot,void,no return,early-boot tail entry; installs A4 continuation,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0652,normal_boot_spare_test_done,Handle short spare-RAM result and start color test,inherited D4.w=test status,no ordinary return,A4 continuation from memory tester,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0660,normal_boot_spare_error_resume,Resume short diagnostics after spare-RAM error display,inherited hardware status,no ordinary return,A4 continuation from error display,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x067C,normal_boot_color_test_done,Handle short color-RAM result and start playfield test,inherited D4.w=test status,no ordinary return,A4 continuation from memory tester,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x06A6,normal_boot_playfield_test_done,Handle short playfield-RAM result and start alpha test,inherited D4.w=test status,no ordinary return,A4 continuation from memory tester,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x06D0,normal_boot_alpha_test_done,Handle short alpha-RAM result and start MOB test,inherited D4.w=test status,no ordinary return,A4 continuation from memory tester,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x06FC,normal_boot_mob_test_done,Handle short MOB-RAM result and enter main initialization,inherited D4.w=test status,no ordinary return,A4 continuation from memory tester,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x070C,main_init_cont,"Initialize display/stack, validate OS and game ROM checksums plus EEPROM, clear OS RAM, and dispatch game or OS mode",void,no return,early-boot continuation; final tail dispatch,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x08EC,boot_postcheck_dispatch,"Finish hardware/EEPROM checks, clear work RAM, and dispatch OS or game",D5.w=boot/error mode,no return,shared branch target; tail-dispatches,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0A2C,mem_test_short,Run the short destructive zero-fill and high-bit walking-one/zero test,A1=start; A2=end inclusive; A4=completion/failure continuation,D4.w=0 success or 1 failure via JMP (A4),register entry; never RTS; A6 chains stages,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0A42,mem_test_short_walk_ones,Schedule high-bit-first walking-one pass over zero base,inherited A1/A2/A4; D4/D6 state,continues through A6 or fails through A4,A6 continuation entry,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0A52,mem_test_short_walk_zeroes,Schedule high-bit-first walking-zero pass over all-ones base,inherited A1/A2/A4; D4/D6 state,continues through A6 or fails through A4,A6 continuation entry,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0A62,mem_test_short_done,Finish the short RAM test,inherited D4.w status; A4=caller continuation,D4.w status via JMP (A4),A6 continuation; tail-jumps through A4,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0A6A,mem_test_full,Run the extended destructive RAM test suite,A1=start; A2=end inclusive; A4=completion/failure continuation,D4.w=0 success or 1 failure via JMP (A4),register entry; never RTS; A6 chains stages,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0A7A,mem_test_full_walk_ones_highbit,Schedule high-bit-first walking-one pass over zero base,inherited A1/A2/A4; D4/D6 state,continues through A6 or fails through A4,A6 continuation entry,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0A84,mem_test_full_walk_zeroes_highbit,Schedule high-bit-first walking-zero pass over all-ones base,inherited A1/A2/A4; D4/D6 state,continues through A6 or fails through A4,A6 continuation entry,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0A8E,mem_test_full_walk_ones_lowbit,Schedule low-bit-first walking-one pass over zero base,inherited A1/A2/A4; D4/D6 state,continues through A6 or fails through A4,A6 continuation entry,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0A98,mem_test_full_walk_zeroes_lowbit,Schedule low-bit-first walking-zero pass over all-ones base,inherited A1/A2/A4; D4/D6 state,continues through A6 or fails through A4,A6 continuation entry,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0AA2,mem_test_full_restore_ones_highbit,Schedule high-bit walking-one pass that restores the zero base,inherited A1/A2/A4; D4/D6 state,continues through A6 or fails through A4,A6 continuation entry,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0AAC,mem_test_full_restore_ones_lowbit,Schedule low-bit walking-one pass that restores the zero base,inherited A1/A2/A4; D4/D6 state,continues through A6 or fails through A4,A6 continuation entry,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0AB6,mem_test_full_fill_ones,Fill the tested range with 0xFFFF before inverse restore passes,inherited A1/A2/A4; D4/D6 state,continues through A6 or fails through A4,A6 continuation entry,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0AC2,mem_test_full_restore_zeroes_highbit,Schedule high-bit walking-zero pass that restores the all-ones base,inherited A1/A2/A4; D4/D6 state,continues through A6 or fails through A4,A6 continuation entry,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0ACC,mem_test_full_restore_zeroes_lowbit,Schedule low-bit walking-zero pass that restores the all-ones base,inherited A1/A2/A4; D4/D6 state,continues through A6 or fails through A4,A6 continuation entry,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0AD6,mem_test_full_toggle_words,Schedule per-word 0x0000/0xFFFF inversion verification,inherited A1/A2/A4; D4/D6 state,continues through A6 or fails through A4,A6 continuation entry,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0AE0,mem_test_full_done,Finish the extended RAM test,inherited D4.w status; A4=caller continuation,D4.w status via JMP (A4),A6 continuation; tail-jumps through A4,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0C52,display_working_ram_error,Write the fixed 'Working RAM error' message to diagnostic video memory,A4=continuation,no ordinary return,register continuation entry; JMP (A4),active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0C98,error_display_ram,Initialize alpha display and show detailed RAM-test failure values,D4.l=error class; A0=failing address; D0.w=expected; D1.w=actual,void,register wrapper that constructs four normal stack arguments,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0CC0,rom_checksum_display,Display OS-ROM checksum accumulators and identify failed even/odd byte lanes,D0.b=even accumulator; D1.b=odd accumulator,D5.w=2,early-boot register helper; clobbers D2/D3/D5,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0D26,game_descriptor_ram_test,Run the short memory test for a game checksum-descriptor RAM range,A0=start; A1=end,returns through game_descriptor_ram_test_done,saves complete register set and tail-enters tester with A4 continuation,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0D3A,game_descriptor_ram_test_done,Restore descriptor-test state and display a failing address,inherited D4.w=test status; A5=saved stack frame,returns to game_descriptor_ram_test caller,A4 continuation; restores another entry's saved registers,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0D7A,game_rom_checksum_error,Identify and display a failed even/odd game-ROM checksum slice,D0.b/D1.b=checksum accumulators; A0=range end; inherited descriptor frame in A6,D5.w=2; otherwise void,register and inherited-frame helper,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0E14,os_vblank_mode_entry,Enable OS-owned VBLANK processing and enter the non-returning OS self-test loop,D5.w=mode value pushed as an unused long argument,no return,register entry; its post-call cleanup/tail-JMP has no discovered returning predecessor,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0E5E,os_vblank_handler,"Acknowledge VBLANK, update scroll/input/text/EEPROM state, and return from interrupt",CPU interrupt frame,no scalar result,interrupt entry; saves D0-D1/A0-A1 and RTE,active OS control closure,os_callable_contracts.csv,Verified
active_image_residue,0x0EEE,selftest_watchdog_reset_trap,"Masks interrupts, services the watchdog while the self-test switch is released, then spins without servicing it once the switch is engaged so hardware resets",D0.w watchdog service value,no return,non-returning trap; supervisor SR write,No incoming transfer or fixed API veneer in the supplied image,os_residue_contracts.csv,Verified
implementation,0x0F04,playfield_add_word_test_range,"Add a word delta to 4,095 tested playfield words",delta in low word of one normal longword slot,void,,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0F7E,copy_test_tile_rows_to_alpha,Copy sixteen source words into each selected alpha-display row,start column word; first row word; last row inclusive word; source word pointer,void,,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x0FCA,run_color_test,"Build the color-RAM test palettes and patterns, display the Color Test screen, and wait for advance",void,void,,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x113E,read_debounced_input,Sample and two-frame-debounce one self-test input word,input/player index word,"D0.l = stable active-low press edges, with asserted raw high-nibble inputs included",,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x11FC,color_test_palette_init,Install fixed six-word diagnostic color palette,void,void,,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x1228,selftest_load_control_labels,Copy game-specific or default control labels into OS work buffers,void,void,,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x129A,os_selftest_loop,Run the repeating OS diagnostic sequence and optional game test hooks,one mode long supplied by 0x0E14 but not read by this body,no return,normal call entry whose control graph loops forever instead of executing RTS,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x1632,display_init_clear,"Clear alpha and playfield display memory, reset the MOB list heads, and initialize diagnostic colors",void,void,,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x169C,load_color_test_palettes,Load the three 256-word color-test palette banks and initialize the test palette,void,void,,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x16F6,copy_cstring,Copy a NUL-terminated string including its terminator,destination pointer; source pointer,void,frameless normal stack entry,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x1704,reset_sound_test_interface,"Synchronize to VBLANK, pulse the sound reset/control line, and clear OS sound-test state",void,void,,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x1732,fill_incrementing_words,Fill a word buffer with an ascending sequence,destination word pointer; first word; count long,void,,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x1758,display_standard_large_glyph_range,Draw an ascending glyph-index range with standard-display large-glyph strides,alpha destination pointer; first glyph word; count word,void,,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x179E,display_rotated_large_glyph_range,Draw an ascending glyph-index range with rotated-display large-glyph strides,alpha destination pointer; first glyph word; count long,void,,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x17D4,run_alpha_test,Populate the alpha display with word and large-glyph test patterns and wait for advance,void,void,,active OS control closure,os_callable_contracts.csv,Verified
implementation,0x1A34,run_switch_test,Render and operate the live four-player switch/input diagnostic until the advance input is pressed,void,void,,active OS control closure,os_callable_contracts.csv,Verified
