site,owners,kind,opcode,target,target_name,register_source,classification,confidence
0x09D2,boot_postcheck_dispatch;main_init_cont;normal_boot_mob_test_done,jsr,jsr 0x44e8.l,0x44E8,eeprom_init,,direct_internal_root,Verified
0x09F0,boot_postcheck_dispatch;main_init_cont;normal_boot_mob_test_done,jmp,jmp 0x40000.l,0x40000,,,direct_game_header_hook,Verified
0x0A0C,boot_postcheck_dispatch;main_init_cont;normal_boot_mob_test_done,jmp,jmp 0xe14.l,0x0E14,os_vblank_mode_entry,,direct_internal_root,Verified
0x0A26,boot_postcheck_dispatch;main_init_cont;normal_boot_mob_test_done,jmp,jmp 0x40024.l,0x40024,,,direct_game_header_hook,Verified
0x0A68,mem_test_short_done,jmp,jmp (a4),,,caller/inherited register,inherited_memory_test_continuation,Verified
0x0AE0,mem_test_full_done,jmp,jmp (a4),,,caller/inherited register,inherited_memory_test_continuation,Verified
0x0AF2,mem_test_short,jmp,jmp (a6),0x0A42,mem_test_short_walk_ones,"lea.l 0xa42.l, a6",constant_internal_root,Verified
0x0AF2,mem_test_full,jmp,jmp (a6),0x0A7A,mem_test_full_walk_ones_highbit,"lea.l 0xa7a.l, a6",constant_internal_root,Verified
0x0AF2,mem_test_full_fill_ones,jmp,jmp (a6),0x0AC2,mem_test_full_restore_zeroes_highbit,"lea.l 0xac2.l, a6",constant_internal_root,Verified
0x0B12,mem_test_full_walk_ones_highbit;mem_test_full_walk_zeroes_highbit;mem_test_short_walk_ones;mem_test_short_walk_zeroes,jmp,jmp (a4),,,caller/inherited register,inherited_memory_test_continuation,Verified
0x0B30,mem_test_full_walk_ones_highbit;mem_test_full_walk_zeroes_highbit;mem_test_short_walk_ones;mem_test_short_walk_zeroes,jmp,jmp (a4),,,caller/inherited register,inherited_memory_test_continuation,Verified
0x0B36,mem_test_short_walk_ones,jmp,jmp (a6),0x0A52,mem_test_short_walk_zeroes,"lea.l 0xa52.l, a6",constant_internal_root,Verified
0x0B36,mem_test_short_walk_zeroes,jmp,jmp (a6),0x0A62,mem_test_short_done,"lea.l 0xa62.l, a6",constant_internal_root,Verified
0x0B36,mem_test_full_walk_ones_highbit,jmp,jmp (a6),0x0A84,mem_test_full_walk_zeroes_highbit,"lea.l 0xa84.l, a6",constant_internal_root,Verified
0x0B36,mem_test_full_walk_zeroes_highbit,jmp,jmp (a6),0x0A8E,mem_test_full_walk_ones_lowbit,"lea.l 0xa8e.l, a6",constant_internal_root,Verified
0x0B5A,mem_test_full_walk_ones_lowbit;mem_test_full_walk_zeroes_lowbit,jmp,jmp (a4),,,caller/inherited register,inherited_memory_test_continuation,Verified
0x0B74,mem_test_full_walk_ones_lowbit;mem_test_full_walk_zeroes_lowbit,jmp,jmp (a4),,,caller/inherited register,inherited_memory_test_continuation,Verified
0x0B7A,mem_test_full_walk_ones_lowbit,jmp,jmp (a6),0x0A98,mem_test_full_walk_zeroes_lowbit,"lea.l 0xa98.l, a6",constant_internal_root,Verified
0x0B7A,mem_test_full_walk_zeroes_lowbit,jmp,jmp (a6),0x0AA2,mem_test_full_restore_ones_highbit,"lea.l 0xaa2.l, a6",constant_internal_root,Verified
0x0B9A,mem_test_full_restore_ones_highbit;mem_test_full_restore_zeroes_highbit,jmp,jmp (a4),,,caller/inherited register,inherited_memory_test_continuation,Verified
0x0BC2,mem_test_full_restore_ones_highbit;mem_test_full_restore_zeroes_highbit,jmp,jmp (a4),,,caller/inherited register,inherited_memory_test_continuation,Verified
0x0BC8,mem_test_full_restore_ones_highbit,jmp,jmp (a6),0x0AAC,mem_test_full_restore_ones_lowbit,"lea.l 0xaac.l, a6",constant_internal_root,Verified
0x0BC8,mem_test_full_restore_zeroes_highbit,jmp,jmp (a6),0x0ACC,mem_test_full_restore_zeroes_lowbit,"lea.l 0xacc.l, a6",constant_internal_root,Verified
0x0BEC,mem_test_full_restore_ones_lowbit;mem_test_full_restore_zeroes_lowbit,jmp,jmp (a4),,,caller/inherited register,inherited_memory_test_continuation,Verified
0x0C10,mem_test_full_restore_ones_lowbit;mem_test_full_restore_zeroes_lowbit,jmp,jmp (a4),,,caller/inherited register,inherited_memory_test_continuation,Verified
0x0C16,mem_test_full_restore_ones_lowbit,jmp,jmp (a6),0x0AB6,mem_test_full_fill_ones,"lea.l 0xab6.l, a6",constant_internal_root,Verified
0x0C16,mem_test_full_restore_zeroes_lowbit,jmp,jmp (a6),0x0AD6,mem_test_full_toggle_words,"lea.l 0xad6.l, a6",constant_internal_root,Verified
0x0C32,mem_test_full_toggle_words,jmp,jmp (a4),,,caller/inherited register,inherited_memory_test_continuation,Verified
0x0C48,mem_test_full_toggle_words,jmp,jmp (a4),,,caller/inherited register,inherited_memory_test_continuation,Verified
0x0C50,mem_test_full_toggle_words,jmp,jmp (a6),0x0AE0,mem_test_full_done,"lea.l 0xae0.l, a6",constant_internal_root,Verified
0x0C84,display_working_ram_error,jmp,jmp (a4),,,caller/inherited register,inherited_memory_test_continuation,Verified
0x0CAE,error_display_ram,jsr,jsr 0x3522.l,0x3522,init_alpha_display,,direct_internal_root,Verified
0x0CB4,error_display_ram,jsr,jsr 0x2828.l,0x2828,display_ram_error_detail,,direct_internal_root,Verified
0x0CD6,rom_checksum_display,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
0x0CE8,rom_checksum_display,jsr,jsr 0x28ca.l,0x28CA,display_two_byte_hex_pair,,direct_internal_root,Verified
0x0D02,rom_checksum_display,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
0x0D1A,rom_checksum_display,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
0x0D5E,game_descriptor_ram_test_done,jsr,jsr 0x2828.l,0x2828,display_ram_error_detail,,direct_internal_root,Verified
0x0DA8,game_rom_checksum_error,jsr,jsr 0x28ca.l,0x28CA,display_two_byte_hex_pair,,direct_internal_root,Verified
0x0DC4,game_rom_checksum_error,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
0x0DE4,game_rom_checksum_error,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
0x0E04,game_rom_checksum_error,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
0x0E3A,os_vblank_mode_entry,jsr,jsr 0x355c.l,0x355C,reset_text_effects,,direct_internal_root,Verified
0x0E48,os_vblank_mode_entry,jsr,jsr 0x129a.l,0x129A,os_selftest_loop,,direct_internal_root,Verified
0x0E58,os_vblank_mode_entry,jmp,jmp 0x8ec.l,0x08EC,boot_postcheck_dispatch,,direct_internal_root,Verified
0x0E96,os_vblank_handler,jsr,jsr 0x4802.l,0x4802,eeprom_check_busy,,direct_internal_root,Verified
0x0EB6,os_vblank_handler,jsr,jsr 0x2b3c.l,0x2B3C,process_text_effects,,direct_internal_root,Verified
0x0ECE,os_vblank_handler,jsr,jsr 0x40042.l,0x40042,,,direct_game_header_hook,Verified
0x0EE2,os_vblank_handler,jsr,jsr 0x432e.l,0x432E,eeprom_process,,direct_internal_root,Verified
0x0FD4,run_color_test,jsr,jsr 0x1632.l,0x1632,display_init_clear,,direct_internal_root,Verified
0x1044,run_color_test,jsr,jsr (a2),0x0F7E,copy_test_tile_rows_to_alpha,"movea.l 0xf7e, a2",constant_internal_root,Verified
0x1058,run_color_test,jsr,jsr (a2),0x0F7E,copy_test_tile_rows_to_alpha,"movea.l 0xf7e, a2",constant_internal_root,Verified
0x106C,run_color_test,jsr,jsr (a2),0x0F7E,copy_test_tile_rows_to_alpha,"movea.l 0xf7e, a2",constant_internal_root,Verified
0x1080,run_color_test,jsr,jsr (a2),0x0F7E,copy_test_tile_rows_to_alpha,"movea.l 0xf7e, a2",constant_internal_root,Verified
0x110A,run_color_test,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
0x1116,run_color_test,jsr,jsr 0x226a.l,0x226A,display_next_test_prompt,,direct_internal_root,Verified
0x1122,run_color_test,jsr,jsr 0x113e.l,0x113E,read_debounced_input,,direct_internal_root,Verified
0x1130,run_color_test,jsr,jsr 0x2190.l,0x2190,wait_os_vblank,,direct_internal_root,Verified
0x1170,read_debounced_input,jsr,jsr (a0),0x40042,,"movea.l 0x40042, a0",constant_game_header_hook,Verified
0x1244,selftest_load_control_labels,jsr,jsr (a2),0x16F6,copy_cstring,"movea.l 0x16f6, a2",constant_internal_root,Verified
0x1252,selftest_load_control_labels,jsr,jsr (a2),0x16F6,copy_cstring,"movea.l 0x16f6, a2",constant_internal_root,Verified
0x1260,selftest_load_control_labels,jsr,jsr (a2),0x16F6,copy_cstring,"movea.l 0x16f6, a2",constant_internal_root,Verified
0x1274,selftest_load_control_labels,jsr,jsr (a2),0x16F6,copy_cstring,"movea.l 0x16f6, a2",constant_internal_root,Verified
0x1282,selftest_load_control_labels,jsr,jsr (a2),0x16F6,copy_cstring,"movea.l 0x16f6, a2",constant_internal_root,Verified
0x1290,selftest_load_control_labels,jsr,jsr (a2),0x16F6,copy_cstring,"movea.l 0x16f6, a2",constant_internal_root,Verified
0x12B0,os_selftest_loop,jsr,jsr 0x1228.l,0x1228,selftest_load_control_labels,,direct_internal_root,Verified
0x12BC,os_selftest_loop,jsr,jsr 0x169c.l,0x169C,load_color_test_palettes,,direct_internal_root,Verified
0x12C2,os_selftest_loop,jsr,jsr 0x1a34.l,0x1A34,run_switch_test,,direct_internal_root,Verified
0x12D0,os_selftest_loop,jsr,jsr 0x593c.l,0x593C,run_coin_options,,direct_internal_root,Verified
0x12E6,os_selftest_loop,jsr,jsr (a0),0x40048,,"movea.l 0x40048, a0",constant_game_header_hook,Verified
0x12EC,os_selftest_loop,jsr,jsr 0x58c6.l,0x58C6,run_game_options,,direct_internal_root,Verified
0x1304,os_selftest_loop,jsr,jsr (a0),0x4004E,,"movea.l 0x4004e, a0",constant_game_header_hook,Verified
0x130C,os_selftest_loop,jsr,jsr 0x5454.l,0x5454,run_statistics_screens,,direct_internal_root,Verified
0x1314,os_selftest_loop,jsr,jsr 0x1632.l,0x1632,display_init_clear,,direct_internal_root,Verified
0x132A,os_selftest_loop,jsr,jsr (a0),0x40030,,"movea.l 0x40030, a0",constant_game_header_hook,Verified
0x1340,os_selftest_loop,jsr,jsr 0x1228.l,0x1228,selftest_load_control_labels,,direct_internal_root,Verified
0x1352,os_selftest_loop,jsr,jsr (a2),0x2E36,display_text,"movea.l 0x2e36, a2",constant_internal_root,Verified
0x1360,os_selftest_loop,jsr,jsr (a2),0x2E36,display_text,"movea.l 0x2e36, a2",constant_internal_root,Verified
0x1368,os_selftest_loop,jsr,jsr 0x226a.l,0x226A,display_next_test_prompt,,direct_internal_root,Verified
0x1374,os_selftest_loop,jsr,jsr (a3),0x113E,read_debounced_input,"movea.l 0x113e, a3",constant_internal_root,Verified
0x13DA,os_selftest_loop,jsr,jsr 0x2eea.l,0x2EEA,display_hex_value,,direct_internal_root,Verified
0x13E4,os_selftest_loop,jsr,jsr (a3),0x113E,read_debounced_input,"movea.l 0x113e, a3",constant_internal_root,Verified
0x13F6,os_selftest_loop,jsr,jsr 0xf04.l,0x0F04,playfield_add_word_test_range,,direct_internal_root,Verified
0x140C,os_selftest_loop,jsr,jsr 0xf04.l,0x0F04,playfield_add_word_test_range,,direct_internal_root,Verified
0x1414,os_selftest_loop,jsr,jsr 0x2190.l,0x2190,wait_os_vblank,,direct_internal_root,Verified
0x1420,os_selftest_loop,jsr,jsr 0x1b20.l,0x1B20,run_motion_object_test,,direct_internal_root,Verified
0x1436,os_selftest_loop,jsr,jsr (a0),0x40036,,"movea.l 0x40036, a0",constant_game_header_hook,Verified
0x1438,os_selftest_loop,jsr,jsr 0x17d4.l,0x17D4,run_alpha_test,,direct_internal_root,Verified
0x144E,os_selftest_loop,jsr,jsr (a0),0x4002A,,"movea.l 0x4002a, a0",constant_game_header_hook,Verified
0x1450,os_selftest_loop,jsr,jsr 0xfca.l,0x0FCA,run_color_test,,direct_internal_root,Verified
0x1466,os_selftest_loop,jsr,jsr (a0),0x4003C,,"movea.l 0x4003c, a0",constant_game_header_hook,Verified
0x14AE,os_selftest_loop,jsr,jsr (a2),0x2E36,display_text,"movea.l 0x2e36, a2",constant_internal_root,Verified
0x14B4,os_selftest_loop,jsr,jsr (a3),0x113E,read_debounced_input,"movea.l 0x113e, a3",constant_internal_root,Verified
0x14D4,os_selftest_loop,jsr,jsr 0x30f4.l,0x30F4,stop_text_effect,,direct_internal_root,Verified
0x150C,os_selftest_loop,jsr,jsr (a2),0x2E36,display_text,"movea.l 0x2e36, a2",constant_internal_root,Verified
0x1510,os_selftest_loop,jsr,jsr 0x2190.l,0x2190,wait_os_vblank,,direct_internal_root,Verified
0x1518,os_selftest_loop,jsr,jsr 0x1632.l,0x1632,display_init_clear,,direct_internal_root,Verified
0x1566,os_selftest_loop,jsr,jsr (a2),0x2E36,display_text,"movea.l 0x2e36, a2",constant_internal_root,Verified
0x156E,os_selftest_loop,jsr,jsr 0x226a.l,0x226A,display_next_test_prompt,,direct_internal_root,Verified
0x158A,os_selftest_loop,jsr,jsr (a2),0x2E36,display_text,"movea.l 0x2e36, a2",constant_internal_root,Verified
0x1592,os_selftest_loop,jsr,jsr (a3),0x113E,read_debounced_input,"movea.l 0x113e, a3",constant_internal_root,Verified
0x15B4,os_selftest_loop,jsr,jsr 0x30f4.l,0x30F4,stop_text_effect,,direct_internal_root,Verified
0x15EC,os_selftest_loop,jsr,jsr (a2),0x2E36,display_text,"movea.l 0x2e36, a2",constant_internal_root,Verified
0x161E,os_selftest_loop,jsr,jsr 0x2190.l,0x2190,wait_os_vblank,,direct_internal_root,Verified
0x1628,os_selftest_loop,jsr,jsr 0x229c.l,0x229C,run_sound_test,,direct_internal_root,Verified
0x1692,display_init_clear,jsr,jsr 0x11fc.l,0x11FC,color_test_palette_init,,direct_internal_root,Verified
0x16EC,load_color_test_palettes,jsr,jsr 0x11fc.l,0x11FC,color_test_palette_init,,direct_internal_root,Verified
0x1704,reset_sound_test_interface,jsr,jsr 0x2190.l,0x2190,wait_os_vblank,,direct_internal_root,Verified
0x1710,reset_sound_test_interface,jsr,jsr 0x2190.l,0x2190,wait_os_vblank,,direct_internal_root,Verified
0x1776,display_standard_large_glyph_range,jsr,jsr 0x32bc.l,0x32BC,display_large_char_at,,direct_internal_root,Verified
0x17BC,display_rotated_large_glyph_range,jsr,jsr 0x32a0.l,0x32A0,display_large_char_raw,,direct_internal_root,Verified
0x17DE,run_alpha_test,jsr,jsr 0x1632.l,0x1632,display_init_clear,,direct_internal_root,Verified
0x17EE,run_alpha_test,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
0x17FE,run_alpha_test,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
0x1810,run_alpha_test,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
0x181C,run_alpha_test,jsr,jsr 0x226a.l,0x226A,display_next_test_prompt,,direct_internal_root,Verified
0x183C,run_alpha_test,jsr,jsr (a2),0x1732,fill_incrementing_words,"movea.l 0x1732, a2",constant_internal_root,Verified
0x1852,run_alpha_test,jsr,jsr (a2),0x1732,fill_incrementing_words,"movea.l 0x1732, a2",constant_internal_root,Verified
0x186C,run_alpha_test,jsr,jsr (a2),0x1732,fill_incrementing_words,"movea.l 0x1732, a2",constant_internal_root,Verified
0x1886,run_alpha_test,jsr,jsr (a2),0x1732,fill_incrementing_words,"movea.l 0x1732, a2",constant_internal_root,Verified
0x18A0,run_alpha_test,jsr,jsr (a2),0x1732,fill_incrementing_words,"movea.l 0x1732, a2",constant_internal_root,Verified
0x18BA,run_alpha_test,jsr,jsr (a2),0x1732,fill_incrementing_words,"movea.l 0x1732, a2",constant_internal_root,Verified
0x18D4,run_alpha_test,jsr,jsr (a2),0x1732,fill_incrementing_words,"movea.l 0x1732, a2",constant_internal_root,Verified
0x18EE,run_alpha_test,jsr,jsr (a2),0x1732,fill_incrementing_words,"movea.l 0x1732, a2",constant_internal_root,Verified
0x1908,run_alpha_test,jsr,jsr 0x1758.l,0x1758,display_standard_large_glyph_range,,direct_internal_root,Verified
0x1926,run_alpha_test,jsr,jsr 0x1758.l,0x1758,display_standard_large_glyph_range,,direct_internal_root,Verified
0x1942,run_alpha_test,jsr,jsr 0x1758.l,0x1758,display_standard_large_glyph_range,,direct_internal_root,Verified
0x1960,run_alpha_test,jsr,jsr (a2),0x1732,fill_incrementing_words,"movea.l 0x1732, a2",constant_internal_root,Verified
0x197A,run_alpha_test,jsr,jsr (a2),0x1732,fill_incrementing_words,"movea.l 0x1732, a2",constant_internal_root,Verified
0x1996,run_alpha_test,jsr,jsr 0x179e.l,0x179E,display_rotated_large_glyph_range,,direct_internal_root,Verified
0x19B6,run_alpha_test,jsr,jsr 0x179e.l,0x179E,display_rotated_large_glyph_range,,direct_internal_root,Verified
0x19D4,run_alpha_test,jsr,jsr 0x179e.l,0x179E,display_rotated_large_glyph_range,,direct_internal_root,Verified
0x19F2,run_alpha_test,jsr,jsr (a2),0x1732,fill_incrementing_words,"movea.l 0x1732, a2",constant_internal_root,Verified
0x1A0C,run_alpha_test,jsr,jsr (a2),0x1732,fill_incrementing_words,"movea.l 0x1732, a2",constant_internal_root,Verified
0x1A14,run_alpha_test,jsr,jsr 0x113e.l,0x113E,read_debounced_input,,direct_internal_root,Verified
0x1A22,run_alpha_test,jsr,jsr 0x2190.l,0x2190,wait_os_vblank,,direct_internal_root,Verified
0x1A38,run_switch_test,jsr,jsr 0x1632.l,0x1632,display_init_clear,,direct_internal_root,Verified
0x1A62,run_switch_test,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
0x1A6A,run_switch_test,jsr,jsr 0x226a.l,0x226A,display_next_test_prompt,,direct_internal_root,Verified
0x1A78,run_switch_test,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
0x1A84,run_switch_test,jsr,jsr 0x113e.l,0x113E,read_debounced_input,,direct_internal_root,Verified
0x1AD0,run_switch_test,jsr,jsr 0x3044.l,0x3044,write_alpha_char,,direct_internal_root,Verified
0x1AF8,run_switch_test,jsr,jsr 0x3044.l,0x3044,write_alpha_char,,direct_internal_root,Verified
0x1B10,run_switch_test,jsr,jsr 0x2190.l,0x2190,wait_os_vblank,,direct_internal_root,Verified
0x1B36,run_motion_object_test,jsr,jsr 0x1632.l,0x1632,display_init_clear,,direct_internal_root,Verified
0x1B44,run_motion_object_test,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
0x1B4C,run_motion_object_test,jsr,jsr 0x226a.l,0x226A,display_next_test_prompt,,direct_internal_root,Verified
0x1CD8,run_motion_object_test,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
0x1CE2,run_motion_object_test,jsr,jsr 0x113e.l,0x113E,read_debounced_input,,direct_internal_root,Verified
0x1CFC,run_motion_object_test,jsr,jsr 0x113e.l,0x113E,read_debounced_input,,direct_internal_root,Verified
0x1D08,run_motion_object_test,jsr,jsr 0x113e.l,0x113E,read_debounced_input,,direct_internal_root,Verified
0x1D14,run_motion_object_test,jsr,jsr 0x113e.l,0x113E,read_debounced_input,,direct_internal_root,Verified
0x2052,run_motion_object_test,jsr,jsr 0x2eea.l,0x2EEA,display_hex_value,,direct_internal_root,Verified
0x207A,run_motion_object_test,jsr,jsr 0x2eea.l,0x2EEA,display_hex_value,,direct_internal_root,Verified
0x20A8,run_motion_object_test,jsr,jsr 0x2eea.l,0x2EEA,display_hex_value,,direct_internal_root,Verified
0x20D2,run_motion_object_test,jsr,jsr 0x2eea.l,0x2EEA,display_hex_value,,direct_internal_root,Verified
0x2102,run_motion_object_test,jsr,jsr 0x2eea.l,0x2EEA,display_hex_value,,direct_internal_root,Verified
0x2118,run_motion_object_test,jsr,jsr 0x2f04.l,0x2F04,draw_string,,direct_internal_root,Verified
0x2146,run_motion_object_test,jsr,jsr 0x2eea.l,0x2EEA,display_hex_value,,direct_internal_root,Verified
0x2176,run_motion_object_test,jsr,jsr 0x2eea.l,0x2EEA,display_hex_value,,direct_internal_root,Verified
0x217C,run_motion_object_test,jsr,jsr 0x2190.l,0x2190,wait_os_vblank,,direct_internal_root,Verified
0x21BC,validate_game_rom,jsr,jsr (a0),0x40054,,"movea.l 0x40054, a0",constant_game_header_hook,Verified
0x21F4,validate_game_rom,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
0x2216,validate_game_rom,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
0x2238,validate_game_rom,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
0x2254,validate_game_rom,jsr,jsr 0x28ca.l,0x28CA,display_two_byte_hex_pair,,direct_internal_root,Verified
0x2292,display_next_test_prompt,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
0x22B2,run_sound_test,jsr,jsr 0x1632.l,0x1632,display_init_clear,,direct_internal_root,Verified
0x22C4,run_sound_test,jsr,jsr (a2),0x2E36,display_text,"movea.l 0x2e36, a2",constant_internal_root,Verified
0x22CC,run_sound_test,jsr,jsr 0x226a.l,0x226A,display_next_test_prompt,,direct_internal_root,Verified
0x22DA,run_sound_test,jsr,jsr (a2),0x2E36,display_text,"movea.l 0x2e36, a2",constant_internal_root,Verified
0x22DC,run_sound_test,jsr,jsr 0x1704.l,0x1704,reset_sound_test_interface,,direct_internal_root,Verified
0x2318,run_sound_test,jsr,jsr 0x2190.l,0x2190,wait_os_vblank,,direct_internal_root,Verified
0x2320,run_sound_test,jsr,jsr 0x113e.l,0x113E,read_debounced_input,,direct_internal_root,Verified
0x234A,run_sound_test,jsr,jsr 0x3162.l,0x3162,start_blink_text,,direct_internal_root,Verified
0x2354,run_sound_test,jsr,jsr 0x1704.l,0x1704,reset_sound_test_interface,,direct_internal_root,Verified
0x2368,run_sound_test,jsr,jsr (a3),0x30F4,stop_text_effect,"movea.l 0x30f4, a3",constant_internal_root,Verified
0x2388,run_sound_test,jsr,jsr (a2),0x2E36,display_text,"movea.l 0x2e36, a2",constant_internal_root,Verified
0x238E,run_sound_test,jsr,jsr 0x113e.l,0x113E,read_debounced_input,,direct_internal_root,Verified
0x23A4,run_sound_test,jsr,jsr 0x2190.l,0x2190,wait_os_vblank,,direct_internal_root,Verified
0x23B2,run_sound_test,jsr,jsr (a3),0x30F4,stop_text_effect,"movea.l 0x30f4, a3",constant_internal_root,Verified
0x23B8,run_sound_test,jsr,jsr 0x27ac.l,0x27AC,send_sound_test_command_wait,,direct_internal_root,Verified
0x23C8,run_sound_test,jsr,jsr (a2),0x2E36,display_text,"movea.l 0x2e36, a2",constant_internal_root,Verified
0x23DA,run_sound_test,jsr,jsr (a2),0x2E36,display_text,"movea.l 0x2e36, a2",constant_internal_root,Verified
0x23F6,run_sound_test,jsr,jsr 0x2eea.l,0x2EEA,display_hex_value,,direct_internal_root,Verified
0x2420,run_sound_test,jsr,jsr (a2),0x2E36,display_text,"movea.l 0x2e36, a2",constant_internal_root,Verified
0x2430,run_sound_test,jsr,jsr 0x27ac.l,0x27AC,send_sound_test_command_wait,,direct_internal_root,Verified
0x246A,run_sound_test,jsr,jsr 0x2eb4.l,0x2EB4,display_decimal_value,,direct_internal_root,Verified
0x2478,run_sound_test,jsr,jsr (a2),0x2E36,display_text,"movea.l 0x2e36, a2",constant_internal_root,Verified
0x2486,run_sound_test,jsr,jsr 0x3162.l,0x3162,start_blink_text,,direct_internal_root,Verified
0x24A0,run_sound_test,jsr,jsr 0x2190.l,0x2190,wait_os_vblank,,direct_internal_root,Verified
0x24A8,run_sound_test,jsr,jsr 0x113e.l,0x113E,read_debounced_input,,direct_internal_root,Verified
0x24BE,run_sound_test,jsr,jsr (a3),0x30F4,stop_text_effect,"movea.l 0x30f4, a3",constant_internal_root,Verified
0x24CC,run_sound_test,jsr,jsr (a3),0x30F4,stop_text_effect,"movea.l 0x30f4, a3",constant_internal_root,Verified
0x24CE,run_sound_test,jsr,jsr 0x27f4.l,0x27F4,wait_sound_test_delay_or_abort,,direct_internal_root,Verified
0x24E8,run_sound_test,jsr,jsr 0x3162.l,0x3162,start_blink_text,,direct_internal_root,Verified
0x2502,run_sound_test,jsr,jsr 0x2190.l,0x2190,wait_os_vblank,,direct_internal_root,Verified
0x250A,run_sound_test,jsr,jsr 0x113e.l,0x113E,read_debounced_input,,direct_internal_root,Verified
0x2520,run_sound_test,jsr,jsr (a3),0x30F4,stop_text_effect,"movea.l 0x30f4, a3",constant_internal_root,Verified
0x252E,run_sound_test,jsr,jsr (a3),0x30F4,stop_text_effect,"movea.l 0x30f4, a3",constant_internal_root,Verified
0x2530,run_sound_test,jsr,jsr 0x27f4.l,0x27F4,wait_sound_test_delay_or_abort,,direct_internal_root,Verified
0x2552,run_sound_test,jsr,jsr 0x3162.l,0x3162,start_blink_text,,direct_internal_root,Verified
0x256C,run_sound_test,jsr,jsr 0x2190.l,0x2190,wait_os_vblank,,direct_internal_root,Verified
0x2574,run_sound_test,jsr,jsr 0x113e.l,0x113E,read_debounced_input,,direct_internal_root,Verified
0x258A,run_sound_test,jsr,jsr (a3),0x30F4,stop_text_effect,"movea.l 0x30f4, a3",constant_internal_root,Verified
0x2598,run_sound_test,jsr,jsr (a3),0x30F4,stop_text_effect,"movea.l 0x30f4, a3",constant_internal_root,Verified
0x259A,run_sound_test,jsr,jsr 0x27f4.l,0x27F4,wait_sound_test_delay_or_abort,,direct_internal_root,Verified
