literal_address,covering_flags,example_uses,confidence
0x904016,ram.treas_mazerand_adder,eeprom_load_config@0x43066;eeprom_periodic_write@0x43248;show_level_start_screen@0x44ECA;show_level_start_screen@0x44F08;show_level_start_screen@0x44F14,Verified
0x904017,ram.treas_mazerand_adder,eeprom_write@0x431BE,Verified
0x904018,ram.treas_mazerand_num,eeprom_load_config@0x43038;eeprom_load_config@0x4303E;eeprom_load_config@0x4304A;eeprom_load_config@0x43054;eeprom_periodic_write@0x43236;show_level_start_screen@0x44EB2,Verified
0x904019,ram.treas_mazerand_num,eeprom_write@0x431B4,Verified
0x90401A,ram.wallcycle_time,main_walls_cyclic_move@0x5E648;maze_forcefield_setup@0x52FA0,Verified
0x90401C,ram.wallcycle_type,main_walls_cyclic_move@0x5E69A;main_walls_cyclic_move@0x5E6AC;maze_forcefield_setup@0x52F96,Verified
0x90401E,ram.playfield_colorsave1,g2mainloop@0x42A8E;game_vblank@0x401D4;init_display@0x435B6;init_display@0x43694;main_handle_potions@0x47094;monsters_everything@0x40E9A,Verified
0x904020,ram.playfield_colorsave2,g2mainloop@0x42A8E;init_display@0x435B0;init_display@0x4369A;monsters_everything@0x40EA0;pf_palette_clear@0x5FCD6,Verified
0x904022,ram.potion_player,main_handle_potions@0x4707E;monsters_everything@0x41588;monsters_everything@0x41734,Verified
0x904024,ram.collision_dist_H,dragon_shot_hitbox_adjust@0x54BA0;dragon_shot_hitbox_adjust@0x54BC6;mob_probe_candidate@0x407C6;mob_probe_candidate@0x4080E;player_try_move_core@0x42116;player_try_move_core@0x42282,Verified
0x904026,ram.collision_dist_V,dragon_shot_hitbox_adjust@0x54BBC;mob_probe_candidate@0x407DE;mob_probe_candidate@0x4082E;player_try_move_core@0x41CDA;player_try_move_core@0x41E46;player_try_move_core@0x41F0E,Verified
0x904028,ram.shothit_dist_H,mob_probe_candidate@0x407B6;mob_probe_candidate@0x407FE;probe_down@0x42656;probe_down@0x4269A;shot_collision_candidate_core@0x40AC0;shot_collision_candidate_core@0x40B10,Verified
0x90402A,ram.shothit_dist_V,mob_probe_candidate@0x407D4;mob_probe_candidate@0x40824;probe_down@0x42672;probe_down@0x426BE;shot_collision_candidate_core@0x40AE0;shot_onscreen_check@0x4AF18,Verified
0x90402C,ram.palette_pulse_dir_b,game_vblank@0x4041A;game_vblank@0x40430;game_vblank@0x40448,Verified
0x90402E,ram.palette_pulse_dir_a,game_vblank@0x403D6;game_vblank@0x403EC;game_vblank@0x40404,Verified
0x904030,ram.tport_cycle_pos,game_vblank@0x40456;main_cycle_tport_and_ffield@0x40542;main_cycle_tport_and_ffield@0x4054A,Verified
0x904032,ram.tport_cycle_dir,main_cycle_tport_and_ffield@0x4053C;main_cycle_tport_and_ffield@0x40554;main_cycle_tport_and_ffield@0x4055E;player_tport@0x50374,Verified
0x904034,ram.tport_cycle_divider,main_cycle_tport_and_ffield@0x40528;main_cycle_tport_and_ffield@0x40534,Verified
0x904036,ram.ptr_playfield_color1,game_start@0x4014C;game_vblank@0x403A0;maze_setupnew@0x44BB0,Verified
0x90403A,ram.ptr_playfield_color2,game_start@0x40156;game_vblank@0x403A6;maze_setupnew@0x44BD0,Verified
0x90403E,ram.selftest_button0_label,game_start@0x40160;game_vblank@0x403AC;maze_setupnew@0x44BEC,Verified
0x904042,ram.ptr_ff_cycle_delay;ram.selftest_button0_label,game_start@0x4016A;main_cycle_tport_and_ffield@0x40586;maze_setupnew@0x44C06,Verified
0x904046,ram.forcefield_color;ram.selftest_button0_label,game_vblank@0x403B2;main_cycle_tport_and_ffield@0x405AE;main_cycle_tport_and_ffield@0x405B8;main_move_players@0x4AA42,Verified
0x904048,ram.ff_cycle_timer;ram.selftest_button0_label,main_cycle_tport_and_ffield@0x4056C;main_cycle_tport_and_ffield@0x40590,Verified
0x904049,ram.ff_cycle_index;ram.ff_cycle_timer;ram.selftest_button0_label,main_cycle_tport_and_ffield@0x40566,Verified
0x90404A,ram.selftest_button0_label;ram.thief_path_direction,thief_compute_path@0x4F91A;thief_move_engine@0x4F592,Verified
0x90404B,ram.selftest_button0_label;ram.soundqueue,enqueue_sound@0x4AE04;main_update_sound@0x4AE54;main_update_sound@0x4AE74;sound_queue_reset@0x4ADB2,Verified
0x904053,ram.selftest_button0_label;ram.soundqueue_head,enqueue_sound@0x4ADDC;main_update_sound@0x4AE42;sound_queue_reset@0x4ADCE,Verified
0x904054,ram.selftest_button0_label;ram.soundqueue_tail,enqueue_sound@0x4ADE8;main_update_sound@0x4AE24;sound_queue_reset@0x4ADC8,Verified
0x904055,ram.player_potionsnum;ram.selftest_button0_label,main_handle_potions@0x47070;main_handle_potions@0x4709E;main_start_game@0x482F0;main_start_game@0x48310;player_inv_update@0x45B40;player_resetcounters@0x43376,Verified
0x90405A,ram.player_keysnum;ram.selftest_button1_label,main_health_countdown@0x467EC;main_health_countdown@0x46860;main_health_countdown@0x46880;main_health_countdown@0x46898;main_health_countdown@0x468B4;main_move_players@0x4AC80,Verified
0x90405F,ram.monster_spawn_probability_bonus;ram.selftest_button1_label,coincheck@0x42C30;coincheck@0x42C38;main_start_game@0x482E6;maze_addrandompickups@0x44106;monsters_everything@0x40F76;player_start_inner@0x48EF6,Verified
0x904060,ram.selftest_button1_label;ram.thief_pursuit_direction,main_thief_anim@0x4E9AC;main_thief_anim@0x4EA10;main_thief_anim@0x4EB7C;main_thief_anim@0x4ECA2;main_thief_anim@0x4ECAA;main_thief_anim@0x4ECBA,Verified
0x904061,ram.selftest_button1_label;ram.thief_pursuit_player,main_thief_anim@0x4E9BE;main_thief_anim@0x4E9E2;main_thief_anim@0x4EA18,Verified
0x904062,ram.selftest_button1_label;ram.thief_pursuit_shot_direction,main_thief_anim@0x4E9DA;main_thief_anim@0x4EA28,Verified
0x904063,ram.selftest_button1_label;ram.trick_player,door_traverse_down@0x42A1A;door_traverse_left@0x428EE;door_traverse_right@0x42858;door_traverse_up@0x42984;main_health_countdown@0x469E0;main_start_game@0x4826C,Verified
0x904064,ram.selftest_button1_label;ram.trick_last,secret_code_build@0x54C50;show_level_start_screen@0x44E06,Verified
0x904065,ram.selftest_button1_label;ram.trick_tasknum,door_traverse_down@0x42A08;door_traverse_left@0x428DC;door_traverse_right@0x42846;door_traverse_up@0x42972;dragon_shot_hit@0x54420;main_start_game@0x48294,Verified
0x904066,ram.mob_state_link;ram.selftest_button1_label,door_traverse_down@0x429EE;door_traverse_left@0x428C2;door_traverse_right@0x4282C;door_traverse_up@0x42958;failed_door_post@0x427F8;forcefield_segments_setup@0x533A0,Verified
0x904866,ram.maze_decomp_htype1,maze_decode@0x4C1D2,Verified
0x904868,ram.maze_decomp_htype2,maze_decode@0x4C1DC;maze_decode@0x4C1FC,Verified
0x90486A,ram.maze_decomp_vtype1,maze_decode@0x4C1E8,Verified
0x90486C,ram.maze_decomp_vtype2,maze_decode@0x4C1F4,Verified
0x90486E,ram.secret_need_hint,dragon_shot_hit@0x54410;level_splash@0x4C04E;level_splash@0x4C0FE;show_level_end_bonus_screen@0x4D8D4;show_level_start_screen@0x44E86;start_attract_to_game@0x44374,Verified
0x904870,ram.secret_prev_maze,secret_check@0x48722;secret_code_build@0x54C6C,Verified
0x904872,ram.secret_tricks_flags,dragon_shot_hit@0x54430;dragon_shot_hit@0x5443E;main_start_game@0x48280;main_start_game@0x48342;player_exit_sequence@0x52B5A;player_start_inner@0x48ED6,Verified
0x904876,ram.current_player,main_move_players@0x4A60A,Verified
0x904877,ram.current_player,player_exit_sequence@0x52C46,Verified
0x904878,ram.secret_possible_counter,level_splash@0x4C094;main_move_players@0x4A748;main_move_players@0x4A750;maze_new_level_setup@0x43930;one_time_init@0x43314;secret_check@0x4874A,Verified
0x90487A,ram.secret_possible_start,one_time_init@0x4331A;secret_check@0x48702,Verified
0x90487C,ram.dragon_fire_cooldown,dragon_fire_setup@0x54764;main_handle_dragon@0x54482;main_handle_dragon@0x5448A;main_handle_dragon@0x545E8;main_handle_dragon@0x546B0,Verified
0x90487E,ram.dialog_once_flags,attract_demo_init@0x449EC;dialog_first_encounter@0x4C47E;maze_new_level_setup@0x438DC;player_give_item_with_message@0x4C79E;player_give_item_with_message@0x4C7B6;start_attract_to_game@0x4423A,Verified
0x90487F,ram.dialog_once_flags,dialog_first_encounter@0x4C474,Verified
0x904880,ram.dragon_hits,dragon_setup_segments@0x549DA;dragon_shot_hit@0x54186;dragon_shot_hit@0x541F8,Verified
0x904882,ram.dragon_head_hpos,dragon_shot_hitbox_adjust@0x54B84;main_handle_dragon@0x54672,Verified
0x904884,ram.dragon_head_vpos,dragon_shot_hitbox_adjust@0x54BAA;main_handle_dragon@0x546A4,Verified
0x904886,ram.dragon_path_num,dragon_fire_setup@0x5477A;dragon_shot_hit@0x54128;dragon_update_segments@0x53D4A;main_handle_dragon@0x5452A;main_handle_dragon@0x54596;main_handle_dragon@0x545CA,Verified
0x90488C,ram.dragon_move_state,dragon_choose_move_direction@0x54060;dragon_choose_move_direction@0x54082;dragon_choose_move_direction@0x5408C;dragon_setup_segments@0x549D2;dragon_update_segments@0x53D24;main_handle_dragon@0x546B8,Verified
0x90488E,ram.dragon_facing,dragon_choose_move_direction@0x53E58;dragon_fire_setup@0x54758;dragon_setup_segments@0x549CA;dragon_shot_hit@0x542BE;dragon_shot_hit@0x542D2;dragon_shot_hit@0x5435E,Verified
0x904890,ram.dragon_state,dragon_choose_move_direction@0x540D6;dragon_player_proximity@0x54ADA;dragon_setup_segments@0x549BC;dragon_shot_hit@0x5413C;dragon_update_segments@0x53D1E;main_handle_dragon@0x54462,Verified
0x904891,ram.dragon_state,dragon_player_proximity@0x54AAA;dragon_player_proximity@0x54AD0,Verified
0x904892,ram.dragon_anim_ctr,dragon_choose_move_direction@0x540B6;dragon_choose_move_direction@0x540C0;dragon_choose_move_direction@0x540C8;dragon_choose_move_direction@0x540D0;dragon_fire_setup@0x5476C;dragon_player_proximity@0x549FA,Verified
0x904894,ram.dragon_seg_mob_ids,dragon_any_segment_near_screen@0x54B06;dragon_any_segment_near_screen@0x54B14;dragon_choose_move_direction@0x53E52;dragon_fire_setup@0x5475E;dragon_player_proximity@0x54A00;dragon_setup_segments@0x5497A,Verified
0x904896,ram.dragon_seg_mob_ids,dragon_any_segment_near_screen@0x54B26;dragon_setup_segments@0x54988;dragon_shot_hit@0x54288,Verified
0x904898,ram.dragon_seg_mob_ids,dragon_any_segment_near_screen@0x54B38;dragon_setup_segments@0x549A4;dragon_setup_segments@0x549AC;dragon_shot_hit@0x54298,Verified
0x90489A,ram.dragon_seg_mob_ids,dragon_any_segment_near_screen@0x54B4A;dragon_setup_segments@0x549B6;dragon_shot_hit@0x542A8,Verified
0x90489C,ram.ptr_exit_openclose_anim,main_exit_move@0x529E6;main_exit_move@0x52A38;main_exit_move@0x52AC0;main_exit_move@0x52AE8;maze_setupnew@0x44BAA,Verified
0x9048A0,ram.randwall_low_watermark,main_walls_random_move@0x5E46E;main_walls_random_move@0x5E526;maze_new_level_setup@0x439DC;maze_new_level_setup@0x43A96;maze_new_level_setup@0x43A9E;maze_new_level_setup@0x43AC6,Verified
0x9048A2,ram.randwall_target,main_walls_random_move@0x5E43E;main_walls_random_move@0x5E450;main_walls_random_move@0x5E478;main_walls_random_move@0x5E498;main_walls_random_move@0x5E4E4;main_walls_random_move@0x5E4F4,Verified
0x9048A4,ram.randwall_current,main_walls_random_move@0x5E444;main_walls_random_move@0x5E456;main_walls_random_move@0x5E468;main_walls_random_move@0x5E4FA;main_walls_random_move@0x5E52E;maze_new_level_setup@0x43ADE,Verified
0x9048A6,ram.randwall_timer,main_walls_random_move@0x5E42C;main_walls_random_move@0x5E436;main_walls_random_move@0x5E4A4;main_walls_random_move@0x5E500;main_walls_random_move@0x5E514;main_walls_random_move@0x5E51E,Verified
0x9048A8,ram.player_shot_last_wall_pos,main_handle_shots@0x47A9C;main_handle_shots@0x47ABE;main_handle_shots@0x47ADE;player_create_shot@0x537B4;shot_reflect_calc@0x53898;shot_reflect_calc@0x538B0,Verified
0x9048B0,ram.thief_direction_change_pos,main_thief_anim@0x4EA30;main_thief_anim@0x4EB84;main_thief_anim@0x4EB8C;main_thief_anim@0x4ECC2,Verified
0x9048B2,ram.monster_slowmo_timer,maze_new_level_setup@0x438C2;monsters_everything@0x40EB0;monsters_everything@0x40EB8;monsters_everything@0x40EC8,Verified
0x9048B4,ram.player_deferred_move_flags,player_try_move@0x41C02;player_try_move_core@0x41E36;player_try_move_core@0x4203E;player_try_move_core@0x42272;player_try_move_core@0x4247E,Verified
0x9048BC,ram.thief_speed,main_thief_anim@0x4EA36;main_thief_anim@0x4EC60;thief_timer_set@0x4E556;thief_timer_set@0x4E560,Verified
0x9048BE,ram.reflect_count,main_handle_shots@0x47BC2;resolve_shot_hit@0x4B4DE;shot_mob_collision@0x409AC;shot_reflect_calc@0x53CBE,Verified
0x9048C6,ram.escape_timer,dragon_shot_hitbox_adjust@0x54B6A;main_move_players@0x4AD06;main_move_players@0x4AD0C;main_move_players@0x4AD2E;player_tile_interact@0x511C2,Verified
0x9048C8,ram.active_mob_ids,corner_squeeze_geometry@0x50144;demo_speech_cmd@0x4CA16;dialog_first_encounter@0x4C568;dialog_position_box@0x4CBBE;dragon_choose_move_direction@0x53EA4;dragon_fire_setup@0x547C4,Verified
0x9048CC,ram.active_mob_ids,main_walls_cyclic_move@0x5E63E,Verified
0x9048E0,ram.player_powers,main_handle_shots@0x4785E;main_move_players@0x4A7F6;main_move_players@0x4AA7C;main_move_players@0x4AC30;mob_collision_test@0x521B2;monsters_everything@0x41594,Verified
0x9048E8,ram.player_character,character_select_input_update@0x42E1C;character_select_input_update@0x42E6E;highscore_check@0x49D2C;main_handle_shots@0x475EE;main_handle_shots@0x47652;main_handle_shots@0x4784A,Verified
0x9048EA,ram.player_character,attract_demo_init@0x44A26;one_time_init@0x43332;player_resetall@0x43464,Verified
0x9048EC,ram.player_character,one_time_init@0x4333A;player_resetall@0x4346C,Verified
0x9048EE,ram.player_character,one_time_init@0x43342;player_resetall@0x43474,Verified
0x9048F0,ram.player_joystick,main_move_players@0x4AC94,Verified
0x9048F8,ram.lobber_shot_vec_h,main_handle_shots@0x479D4;monster_find_and_shoot@0x419FA,Verified
0x904900,ram.lobber_shot_vec_v,main_handle_shots@0x47A1E,Verified
0x904908,ram.player_redraw,coincheck@0x42C6C;draw_player_health@0x45AB4;draw_player_score@0x4598C;main_health_countdown@0x46764;main_move_players@0x4A868;main_move_players@0x4A886,Verified
0x90490C,ram.idle_timer,dragon_shot_hitbox_adjust@0x54B70;dragon_shot_hitbox_adjust@0x54B78;main_move_players@0x4ACDA;main_start_game@0x4836A;player_join_finalize@0x48A94;player_join_finalize@0x48A9C,Verified
0x90490E,ram.player_bonusmult,draw_player_health@0x459E2;draw_player_health@0x45A0E;main_health_countdown@0x46C18;main_health_countdown@0x46C42;monsters_everything@0x41624;player_add_score_with_mult@0x5216A,Verified
0x904916,ram.frame_overflow,g2mainloop@0x42B4E;g2mainloop@0x42B58;g2mainloop@0x42B60;main_update_sound@0x4AE2A;monsters_everything@0x40F96,Verified
0x904918,ram.game_mode,coincheck@0x42BD0;coincheck@0x42BDA;dialog_first_encounter@0x4C4E0;game_vblank@0x40392;handle_generate@0x492DA;main_attract@0x4456A,Verified
0x90491A,ram.attract_legend,main_attract@0x447B0;main_attract@0x44826;main_attract@0x4483C;main_attract@0x4484C;main_attract@0x44874;main_attract@0x44882,Verified
0x90491C,ram.level_flags,level_splash@0x4BE32;main_exit_move@0x5289E;maze_addrandompickups@0x43FB0;maze_forcefield_setup@0x52FAA;maze_load_pickup_config@0x4370A;maze_new_level_setup@0x43B62,Verified
0x90491D,ram.level_flags;ram.level_flags_2,maze_init_walls@0x5F2C0;monsters_everything@0x40EFA;pf_floor_draw_xy@0x5E96C;pf_floor_update@0x5E96C;pf_wall_draw@0x5EB2E;pf_wall_draw@0x5EB7C,Verified
0x90491E,ram.level_flags;ram.level_flags_3,main_move_players@0x4AD34;main_move_players@0x4AD3C;main_walls_cyclic_move@0x5E62A,Verified
0x90491F,ram.level_flags;ram.level_flags_4,calc_direction@0x51110;calc_direction@0x51148;corner_squeeze_geometry@0x500A2;get_random_maze_flags@0x436E6;maze_new_level_setup@0x439B0;maze_place_object_types@0x5E7E2,Verified
0x904920,ram.player_input_raw,character_select_input_update@0x42DFC;corner_squeeze_geometry@0x4FEE8;input_debounce@0x4064A;main_attract@0x4469E;main_attract@0x446CE;main_attract@0x44718,Verified
0x904922,ram.player_input_raw,input_debounce@0x40666;main_attract@0x44618;main_attract@0x44648;main_attract@0x44780;main_attract@0x447FA,Verified
0x904924,ram.player_input_raw,input_debounce@0x40682;main_attract@0x4462C;main_attract@0x4465C;main_attract@0x44798;main_attract@0x44812,Verified
0x904926,ram.player_input_raw,find_unused_shot@0x41B16;input_debounce@0x4069E;main_attract@0x446B2;main_attract@0x446E2;main_attract@0x44730,Verified
0x904928,ram.level_players_active,main_exit_move@0x528AE;main_health_countdown@0x466FE;main_move_monsters@0x49048;main_move_players@0x4A6E6;main_scroll_playfield@0x46CBE;main_start_game@0x48026,Verified
0x90492A,ram.shot_timer_next,main_handle_shots@0x47510;main_handle_shots@0x47520;monster_create_shot@0x490FE,Verified
0x90493A,ram.score_display_timer,main_score_update@0x47178;main_score_update@0x47188;playfield_showscore@0x494BA;playfield_showscore@0x494CC,Verified
0x904940,ram.mob_depth_key;ram.score_display_timer,insert_mob_depth_sorted@0x5DFBC;mob_depth_remove@0x5E0C4;mob_place_explosion@0x5DFBC;moblist_insert@0x5DCD0,Verified
0x904942,ram.mob_depth_key,main_handle_shots@0x47552;main_handle_shots@0x47A82;main_handle_shots@0x47AE8;shot_reflect_calc@0x53CE8,Verified
0x90497C,ram.mob_depth_key;ram.mob_effect_anim_counter,main_score_update@0x473D6;main_score_update@0x473EE;shot_impact_spawn@0x47F98;tport_cycle_start@0x47CE8,Verified
0x904980,ram.player_health,coincheck@0x42BAE;coincheck@0x42BEC;coincheck@0x42C0C;dragon_choose_move_direction@0x53EB6;draw_player_health@0x45A9A;main_attract@0x448A8,Verified
0x904984,ram.player_health,coincheck@0x42BB6;main_attract@0x448B2,Verified
0x904988,ram.player_health,coincheck@0x42BBE;main_attract@0x448BC,Verified
0x90498C,ram.player_health,coincheck@0x42BC6;main_attract@0x448C6,Verified
0x904990,ram.player_score,draw_player_score@0x4596A;main_health_countdown@0x46A38;monsters_everything@0x4163C;player_add_score_with_mult@0x52160;player_coindrop@0x4894E;player_resetall@0x43438,Verified
0x9049A0,ram.player_status,character_select_input_update@0x42E06;coincheck@0x42CC4;coincheck@0x42CD4;dragon_choose_move_direction@0x53EC6;highscore_check@0x49DA0;main_attract@0x44582,Verified
0x9049A1,ram.player_status,main_attract@0x44596;main_attract@0x445A0;main_attract@0x44946;main_attract@0x44952;main_start_game@0x48042;main_start_game@0x48070,Verified
0x9049A2,ram.player_status,main_attract@0x445AA;main_attract@0x445B4;main_attract@0x4495C;main_attract@0x44968;main_start_game@0x4803A;main_start_game@0x48068,Verified
0x9049A3,ram.player_status,main_attract@0x445BE;main_attract@0x445C8;main_attract@0x44970;main_attract@0x4497C;main_start_game@0x48032;main_start_game@0x48060,Verified
0x9049A4,ram.player_facing_dir,main_move_players@0x4A604;player_create_shot@0x53694;player_start_inner@0x48DA4;supersorc_place@0x5FE02,Verified
0x9049AC,ram.player_fighting_dir,main_handle_shots@0x47BF0;main_move_players@0x4A9A4;main_move_players@0x4AA30;main_move_players@0x4AB0C;mob_collision_test@0x521A2;player_tile_interact@0x5136C,Verified
0x9049B4,ram.player_shooting,main_handle_shots@0x47B90;main_handle_shots@0x47BE0;main_move_players@0x4A972;main_move_players@0x4A9C0;main_move_players@0x4AB90;main_move_players@0x4AC04,Verified
0x9049BC,ram.player_anim_counter,main_handle_shots@0x47BB2;main_handle_shots@0x47BD2;main_move_players@0x4A5FE;player_exit_sequence@0x52DA8,Verified
0x9049C4,ram.shot_direction,dragon_fire_setup@0x547D2;main_handle_shots@0x47636;main_handle_shots@0x4769E;main_handle_shots@0x476D2;main_handle_shots@0x4774C;main_handle_shots@0x4778E,Verified
0x9049DC,ram.it_player,main_health_countdown@0x469BA;main_health_countdown@0x469C4;main_move_players@0x4A6D6;main_move_players@0x4A6DE;monster_find_and_shoot@0x41762;player_exit_sequence@0x52B70,Verified
0x9049DE,ram.mob_depth_list_head,insert_mob_depth_sorted@0x5DFEE;insert_mob_depth_sorted@0x5DFF4;maze_setupnew@0x44B2A;mob_depth_remove@0x5E0B6;mob_depth_remove@0x5E0BE;mob_place_explosion@0x5DFEE,Verified
0x9049E0,ram.maze_player_start_slot,maze_new_level_setup@0x4396C;maze_scan_objects@0x43E70;maze_setupnew@0x44AD4;player_start_inner@0x48C10,Verified
0x9049E2,ram.two_player_mode,coincheck@0x42BA4;main_attract@0x4460E;main_attract@0x4463E;main_attract@0x44694;main_attract@0x446C4;main_start_game@0x4846A,Verified
0x9049E4,ram.dialog_first_encounter_flags,attract_demo_init@0x449F6;dialog_first_encounter@0x4C462;dialog_first_encounter@0x4C4B2;start_attract_to_game@0x44244,Verified
0x9049E8,ram.treasure_timer,main_treasure_timer@0x4D2BC;main_treasure_timer@0x4D2DC;main_treasure_timer@0x4D2E4;main_treasure_timer@0x4D30C;main_treasure_timer@0x4D456;player_exit_sequence@0x52E88,Verified
0x9049EA,ram.last_coin_state,coincheck@0x42B78;coincheck@0x42B84,Verified
0x9049EE,ram.speech_counter,main_update_sound@0x4AE34;sound_play@0x4AD7C;sound_response@0x42D12;sound_system_reset@0x42DD6,Verified
0x9049F0,ram.sound_queue_state,sound_response@0x42D40;sound_response@0x42D72;sound_response@0x42D7C;sound_system_reset@0x42DDE,Verified
0x9049F2,ram.sound_idle_timer,sound_response@0x42D64;sound_response@0x42D6A;sound_response@0x42D96;sound_response@0x42DA6,Verified
0x9049F4,ram.sound_cpu_retry_count,sound_response@0x42D9E;sound_response@0x42DAC;sound_response@0x42DB2;sound_system_reset@0x42DE4,Verified
0x9049F6,ram.player_hurt_palette_offset,game_vblank@0x4021A;player_start_inner@0x48CD0,Verified
0x9049F8,ram.player_hurt_palette_offset,game_vblank@0x40262,Verified
0x9049FA,ram.player_hurt_palette_offset,game_vblank@0x402AA,Verified
0x9049FC,ram.player_hurt_palette_offset,game_vblank@0x402F2,Verified
0x9049FE,ram.player_power_palette_offset,game_vblank@0x401FA;player_start_inner@0x48CEC,Verified
0x904A00,ram.player_power_palette_offset,game_vblank@0x40242,Verified
0x904A02,ram.player_power_palette_offset,game_vblank@0x4028A,Verified
0x904A04,ram.player_power_palette_offset,game_vblank@0x402D2,Verified
0x904A06,ram.exit_count,exit_get_id@0x52B2C;main_exit_move@0x528D8;main_exit_move@0x528EC;main_exit_move@0x528F4;maze_new_level_setup@0x439A4;maze_new_level_setup@0x43A3A,Verified
0x904A08,ram.exit_timer,main_exit_move@0x52884;maze_new_level_setup@0x43B90,Verified
0x904A0A,ram.exit_open_id,main_exit_move@0x52890;main_exit_move@0x528C2;main_exit_move@0x52908;main_exit_move@0x52A80;main_exit_move@0x52ACE;maze_new_level_setup@0x43B9A,Verified
0x904A0C,ram.exit_close_id,main_exit_move@0x5288A,Verified
0x904A0E,ram.movement_blocked,main_move_players@0x4AA12;main_move_players@0x4AA36,Verified
0x904A10,ram.logo_scroll_ptr,main_logo_updcolors@0x4DDEC;main_logo_updcolors@0x4DDF2;main_logo_updcolors@0x4DE0A;main_logo_updcolors@0x4DE26;main_logo_updcolors@0x4DE38;main_logo_updcolors@0x4DE4A,Verified
0x904A14,ram.logo_scroll_timer,main_logo_updcolors@0x4DCC2;title_logo_init@0x4DC7C,Verified
0x904A16,ram.logo_color_dir,main_logo_updcolors@0x4DD5A;main_logo_updcolors@0x4DD72;main_logo_updcolors@0x4DD7C;main_logo_updcolors@0x4DD94;main_logo_updcolors@0x4DD9E;main_logo_updcolors@0x4DDA4,Verified
0x904A18,ram.logo_cycle_timer,main_attract@0x44866;main_logo_updcolors@0x4DCEE;main_logo_updcolors@0x4DCFA;main_logo_updcolors@0x4DD00;main_logo_updcolors@0x4DD0A;title_logo_init@0x4DC72,Verified
0x904A1A,ram.logo_bright_timer,main_logo_updcolors@0x4DD40;main_logo_updcolors@0x4DD46;main_logo_updcolors@0x4DD50;title_logo_init@0x4DA66,Verified
0x904A1C,ram.logo_bright_accum,main_logo_updcolors@0x4DCC8;title_logo_init@0x4DA50,Verified
0x904A1E,ram.logo_color_cur,main_logo_updcolors@0x4DDB6;main_logo_updcolors@0x4DDD0;title_logo_init@0x4DA60,Verified
0x904A20,ram.logo_anim_ptr,main_logo_updcolors@0x4DDAC;main_logo_updcolors@0x4DDBC;main_logo_updcolors@0x4DDC6;title_logo_init@0x4DA46;title_logo_init@0x4DA56,Verified
0x904A24,ram.game_settings,coincheck@0x42C14;coincheck@0x42C8A;demo_speech_cmd@0x4CB26;dialog_first_encounter@0x4C4D0;dialog_first_encounter@0x4C6CA;eeprom_load_config@0x42FD4,Verified
0x904A26,ram.player_state_timer,coincheck@0x42C5E;draw_player_health@0x45A36;draw_player_health@0x45A50;highscore_check@0x49D82;highscore_check@0x49DC4;main_health_countdown@0x46B96,Verified
0x904A2E,ram.name_entry_scroll_velocity,highscore_check@0x49D92;player_death_sequence@0x49DF2;secret_getname@0x54F0A;secret_name_entry_update@0x54FF6,Verified
