address,name,legacy_loader,evidence,analysis_size,terminators,confidence
0x2ABE,format_decimal,yes,api_0x106;direct_call@0x29A6;direct_call@0x2EC8;direct_call@0x32EE;direct_call@0x4986;legacy_loader;project_loader,126,rts,Verified
0x2B3C,process_text_effects,yes,api_0x148;direct_call@0x0EB6;legacy_loader;project_loader,490,jmp;rts,Verified
0x2CE4,calc_alpha_address,yes,api_0x224;legacy_loader;project_loader,48,rts,Verified
0x2D14,rotate_text_line_forward,no,project_loader;stack_veneer_for@0x2D18,96,rts,Verified
0x2D18,rotate_text_line_forward_register,no,computed_case_call@0x2CCA;project_loader,92,rts,Verified
0x2D74,rotate_text_line_reverse,no,project_loader;stack_veneer_for@0x2D78,106,rts,Verified
0x2D78,rotate_text_line_reverse_register,no,computed_case_call@0x2CD6;project_loader,102,rts,Verified
0x2DDE,scroll_alpha_surface_one_step,no,direct_call@0x2B6A;project_loader,88,rts,Verified
0x2E36,display_text,yes,api_0x142;direct_call@0x0894;direct_call@0x0CD6;direct_call@0x0D02;direct_call@0x0D1A;direct_call@0x0DC4;direct_call@0x0DE4;direct_call@0x0E04;direct_call@0x110A;direct_call@0x17EE;direct_call@0x17FE;direct_call@0x1810;direct_call@0x1A62;direct_call@0x1A78;direct_call@0x1B44;direct_call@0x1CD8;direct_call@0x21F4;direct_call@0x2216;direct_call@0x2238;direct_call@0x2292;direct_call@0x284A;direct_call@0x285C;direct_call@0x2EE2;direct_call@0x4904;direct_call@0x4AE8;direct_call@0x4B46;direct_call@0x525E;direct_call@0x5280;direct_call@0x58F2;direct_call@0x5962;indirect_call_target@0x129E;indirect_call_target@0x22A0;legacy_loader;project_loader,126,rts,Verified
0x2E3E,display_text_register,no,direct_call@0x2BD2;direct_call@0x31C0;project_loader,118,rts,Verified
0x2EB4,display_decimal_value,yes,api_0x260;direct_call@0x246A;direct_call@0x26FC;legacy_loader;project_loader,54,rts,Verified
0x2EEA,display_hex_value,yes,api_0x266;direct_call@0x13DA;direct_call@0x2052;direct_call@0x207A;direct_call@0x20A8;direct_call@0x20D2;direct_call@0x2102;direct_call@0x2146;direct_call@0x2176;direct_call@0x23F6;direct_call@0x2678;direct_call@0x269A;direct_call@0x26BC;direct_call@0x26DE;direct_call@0x2878;direct_call@0x2898;direct_call@0x28BA;direct_call@0x2908;legacy_loader;project_loader,56,rts,Verified
0x2F04,draw_string,yes,api_0x25A;direct_call@0x2118;legacy_loader;project_loader,174,rts,Verified
0x2F3C,draw_string_register,no,direct_call@0x2E96;project_loader,118,rts,Verified
0x2FBE,draw_text_effect_next_char,no,computed_case_call@0x2C7C;project_loader,90,rts,Verified
0x3020,clear_text_effect_next_char,no,computed_case_call@0x2C96;project_loader,36,rts,Verified
0x3044,write_alpha_char,yes,api_0x218;direct_call@0x1AD0;direct_call@0x1AF8;direct_call@0x4E68;direct_call@0x4E92;direct_call@0x5416;direct_call@0x5436;legacy_loader;project_loader,68,rts,Verified
0x304E,write_alpha_char_register,no,direct_call@0x3010;direct_call@0x3038;project_loader,58,rts,Verified
0x308C,clear_text_descriptor_chain,no,direct_call@0x311A;project_loader,104,rts,Verified
0x30F4,stop_text_effect,yes,api_0x118;direct_call@0x14D4;direct_call@0x15B4;direct_call@0x4ACC;direct_call@0x4B2A;indirect_call_target@0x22AC;legacy_loader;project_loader,46,rts,Verified
0x3122,start_text_line_rotation,yes,api_0x124;legacy_loader;project_loader,14,,Verified
0x3130,init_fullscreen_text_scroll,yes,api_0x136;legacy_loader;project_loader,38,rts,Verified
0x3156,start_progressive_text_clear,yes,api_0x11E;legacy_loader;project_loader,12,,Verified
0x3162,start_blink_text,yes,api_0x100;direct_call@0x234A;direct_call@0x2486;direct_call@0x24E8;direct_call@0x2552;direct_call@0x5172;legacy_loader;project_loader;tail_jump@0x0100,104,rts,Verified
0x3168,start_timed_text,yes,api_0x12A;legacy_loader;project_loader,104,rts,Verified
0x316C,start_progressive_text,yes,api_0x130;legacy_loader;project_loader,102,rts,Verified
0x3172,allocate_text_effect,no,direct_call@0x314A;project_loader,96,rts,Verified
0x31D2,display_large_text,yes,api_0x200;direct_call@0x3308;direct_call@0x333E;legacy_loader;project_loader,124,rts,Verified
0x324E,render_large_glyph_register,no,direct_call@0x322C;project_loader,82,rts,Verified
0x32A0,display_large_char_raw,yes,api_0x212;direct_call@0x17BC;legacy_loader;project_loader,28,,Verified
0x32BC,display_large_char_at,yes,api_0x20C;direct_call@0x1776;legacy_loader;project_loader,30,,Verified
0x32DA,display_large_decimal_value,yes,api_0x272;legacy_loader;project_loader,54,rts,Verified
0x3310,display_large_hex_value,yes,api_0x278;legacy_loader;project_loader,56,rts,Verified
0x332A,display_large_text_at,yes,api_0x26C;legacy_loader;project_loader,28,rts,Verified
0x3346,clear_large_text,yes,api_0x206;legacy_loader;project_loader,140,rts,Verified
0x3522,init_alpha_display,yes,api_0x14E;direct_call@0x0768;direct_call@0x0CAE;direct_call@0x4C92;direct_call@0x50E4;direct_call@0x523C;direct_call@0x58CC;direct_call@0x593C;legacy_loader;project_loader,58,rts,Verified
0x355C,reset_text_effects,no,direct_call@0x0E3A;direct_call@0x353E;project_loader,42,rts,Verified
0x3586,write_alpha_word,yes,api_0x21E;legacy_loader;project_loader,20,rts,Verified
0x359A,wait_vblanks,yes,api_0x154;legacy_loader;project_loader,24,rts,Verified
0x35B2,set_text_position,yes,api_0x13C;legacy_loader;project_loader,18,rts,Verified
0x35C4,process_coins,yes,api_0x16C;direct_call@0x4216;legacy_loader;project_loader,322,rts,Verified
0x3706,get_coin_multiplier,yes,api_0x236;direct_call@0x3746;direct_call@0x37CA;direct_call@0x3810;legacy_loader;project_loader,58,rts,Verified
0x3740,calc_health_per_coin,yes,api_0x160;direct_call@0x37E6;legacy_loader;project_loader,130,rts,Verified
0x37C2,check_and_deduct_coin,yes,api_0x166;legacy_loader;project_loader,66,rts,Verified
0x3804,check_and_deduct_credits,yes,api_0x230;legacy_loader;project_loader,92,rts,Verified
0x3860,read_eeprom_setting,yes,api_0x1A2;direct_call@0x4DC4;direct_call@0x4E1C;legacy_loader;project_loader,96,rts,Verified
0x38C0,read_game_config,yes,api_0x1A8;direct_call@0x3C48;direct_call@0x3CA4;direct_call@0x3DE2;direct_call@0x4FB4;direct_call@0x4FCC;direct_call@0x5130;direct_call@0x5234;direct_call@0x533E;direct_call@0x5914;direct_call@0x596E;legacy_loader;project_loader,240,rts,Verified
0x39B0,read_high_score_entry,yes,api_0x1AE;legacy_loader;project_loader,206,rts,Verified
0x3A7E,write_high_score_entry,yes,api_0x1B4;legacy_loader;project_loader,362,rts,Verified
0x3BE8,update_active_player_time_stats,yes,api_0x1BA;direct_call@0x402E;direct_call@0x4074;legacy_loader;project_loader,270,rts,Verified
0x3CF6,write_eeprom_setting,yes,api_0x1C0;direct_call@0x4F76;direct_call@0x50CC;direct_call@0x5384;direct_call@0x5930;direct_call@0x598E;legacy_loader;project_loader,34,rts,Verified
0x3D18,write_game_config,no,direct_call@0x3C58;direct_call@0x3CBA;direct_call@0x3D0C;project_loader,592,rts,Verified
0x3F68,rank_high_score,yes,api_0x1C6;legacy_loader;project_loader,178,rts,Verified
0x401A,activate_player_time_tracking,yes,api_0x1CC;legacy_loader;project_loader,30,rts,Verified
0x4038,record_player_session_histogram,yes,api_0x19C;legacy_loader;project_loader,332,rts,Verified
0x4184,send_sound_command,yes,api_0x172;legacy_loader;project_loader,68,rts,Verified
0x4198,send_sound_command_register,no,direct_call@0x4252;project_loader,48,rts,Verified
0x41C8,send_sound_command_wait,yes,api_0x23C;legacy_loader;project_loader,48,rts,Verified
0x41CC,try_send_sound_command,yes,api_0x242;legacy_loader;project_loader,46,rts,Verified
0x41FA,process_sound,yes,api_0x15A;legacy_loader;project_loader,128,rts,Verified
0x427A,sound_receive_irq_body,yes,api_0x17E;legacy_loader;project_loader,78,rte,Verified
0x42C8,read_sound_data,yes,api_0x178;legacy_loader;project_loader,48,rts,Verified
0x42F8,reset_sound_cpu,yes,api_0x254;legacy_loader;project_loader,54,rts,Verified
0x432E,eeprom_process,yes,api_0x18A;direct_call@0x0EE2;direct_call@0x423E;direct_call@0x47E4;legacy_loader;project_loader,400,rts,Verified
0x44E8,eeprom_init,yes,api_0x190;direct_call@0x09D2;legacy_loader;project_loader,498,rts,Verified
0x4674,eeprom_decode_block,no,direct_call@0x4540;direct_call@0x4568;direct_call@0x45CC;direct_call@0x4604;direct_call@0x463A;project_loader,194,rts,Verified
0x467C,eeprom_decode_block_to,no,direct_call@0x4848;project_loader,186,rts,Verified
0x4770,eeprom_clear_statistics,no,direct_call@0x4628;direct_call@0x4766;project_loader,28,rts,Verified
0x4784,eeprom_clear_configuration,no,direct_call@0x45C6;direct_call@0x476A;project_loader,44,rts,Verified
0x47A8,eeprom_request_write,yes,api_0x196;direct_call@0x3BB2;direct_call@0x3BCA;direct_call@0x3CD6;direct_call@0x3CE0;direct_call@0x4116;direct_call@0x412A;direct_call@0x416C;indirect_call_target@0x3D28;legacy_loader;project_loader,16,rts,Verified
0x47AC,eeprom_request_write_register,no,direct_call@0x4590;direct_call@0x45D8;direct_call@0x4610;direct_call@0x4652;direct_call@0x4664;project_loader,12,rts,Verified
0x47B8,eeprom_clear_difficulty_rows,no,direct_call@0x4646;direct_call@0x4768;project_loader,52,rts,Verified
0x4802,eeprom_check_busy,yes,api_0x184;direct_call@0x0E96;direct_call@0x465A;direct_call@0x47FA;direct_call@0x4840;legacy_loader;project_loader,32,rts,Verified
0x4822,eeprom_read_block,yes,api_0x24E;legacy_loader;project_loader,116,rts,Verified
0x4896,wait_vblank_counter_ticks,no,direct_call@0x4F86;direct_call@0x5218;direct_call@0x5362;direct_call@0x536E;direct_call@0x55DA;project_loader,34,rts,Verified
0x48B8,display_text_set_cursor,no,direct_call@0x4930;direct_call@0x49B6;direct_call@0x4C08;direct_call@0x4C2A;direct_call@0x4FF6;direct_call@0x5074;direct_call@0x5292;direct_call@0x52A4;indirect_call_target@0x4C72;indirect_call_target@0x50A2;indirect_call_target@0x548A;project_loader,90,rts,Verified
0x4912,display_text_at_cursor,no,direct_call@0x4C14;direct_call@0x4EE8;direct_call@0x4F28;direct_call@0x5088;direct_call@0x51A0;direct_call@0x51E4;project_loader,42,rts,Verified
0x493C,display_decimal_at_cursor,no,direct_call@0x4CBA;direct_call@0x4FFE;direct_call@0x507C;project_loader,42,rts,Verified
0x4966,display_decimal_set_cursor,no,direct_call@0x495A;direct_call@0x4D3A;direct_call@0x4D70;direct_call@0x4DDE;direct_call@0x5150;project_loader,98,rts,Verified
0x49C8,option_record_present,no,direct_call@0x49F8;direct_call@0x4A2C;direct_call@0x4A8C;direct_call@0x4B8A;project_loader,32,rts,Verified
0x49E8,find_option_record,no,direct_call@0x4B80;direct_call@0x5518;direct_call@0x571E;project_loader,92,rts,Verified
0x4A44,render_option_record,no,direct_call@0x4BCA;direct_call@0x5572;direct_call@0x5888;direct_call@0x58AA;project_loader,290,rts,Verified
0x4B66,render_option_record_page,no,direct_call@0x5552;direct_call@0x56AE;direct_call@0x570E;project_loader,128,rts,Verified
0x4BE6,display_next_screen_prompt,no,direct_call@0x4F06;direct_call@0x5202;project_loader,82,rts,Verified
0x4C38,init_operator_mob_display,no,direct_call@0x545A;direct_call@0x58D2;direct_call@0x5942;project_loader,46,rts,Verified
0x4C66,run_statistics_histograms,no,direct_call@0x546A;project_loader,826,rts,Verified
0x4FA0,display_statistics_play_time,no,direct_call@0x520A;project_loader,248,rts,Verified
0x5098,run_statistics_summary,no,direct_call@0x5462;project_loader,402,rts,Verified
0x522A,run_game_settings_bit_editor,no,direct_call@0x58FE;project_loader,360,rts,Verified
0x5392,draw_game_settings_bits,no,direct_call@0x52B6;direct_call@0x5324;direct_call@0x534C;project_loader,194,rts,Verified
0x5454,run_statistics_screens,yes,api_0x1D2;direct_call@0x130C;legacy_loader;project_loader,34,rts,Verified
0x5476,run_option_descriptor_editor,no,direct_call@0x5920;direct_call@0x597E;project_loader,1104,rts,Verified
0x58C6,run_game_options,yes,api_0x248;direct_call@0x12EC;legacy_loader;project_loader,118,rts,Verified
0x593C,run_coin_options,no,direct_call@0x12D0;project_loader,94,rts,Verified
