literal_address,linear_sites,callable_examples,covering_flags,status,confidence
0x90402A,0x407D4;0x40824;0x40AE0;0x42672;0x426BE;0x4AF18;0x4AF38,mob_probe_candidate@0x407D4;mob_probe_candidate@0x40824;probe_down@0x42672;probe_down@0x426BE;shot_collision_candidate_core@0x40AE0;shot_onscreen_check@0x4AF18,ram.shothit_dist_V,exact_union_match,Verified
0x90402C,0x4041A;0x40430;0x40448,game_vblank@0x4041A;game_vblank@0x40430;game_vblank@0x40448,ram.palette_pulse_dir_b,exact_union_match,Verified
0x90402E,0x403D6;0x403EC;0x40404,game_vblank@0x403D6;game_vblank@0x403EC;game_vblank@0x40404,ram.palette_pulse_dir_a,exact_union_match,Verified
0x904030,0x40456;0x40542;0x4054A,game_vblank@0x40456;main_cycle_tport_and_ffield@0x40542;main_cycle_tport_and_ffield@0x4054A,ram.tport_cycle_pos,exact_union_match,Verified
0x904032,0x4053C;0x40554;0x4055E;0x50374,main_cycle_tport_and_ffield@0x4053C;main_cycle_tport_and_ffield@0x40554;main_cycle_tport_and_ffield@0x4055E;player_tport@0x50374,ram.tport_cycle_dir,exact_union_match,Verified
0x904034,0x40528;0x40534,main_cycle_tport_and_ffield@0x40528;main_cycle_tport_and_ffield@0x40534,ram.tport_cycle_divider,exact_union_match,Verified
0x904036,0x4014C;0x403A0;0x44BB0,game_start@0x4014C;game_vblank@0x403A0;maze_setupnew@0x44BB0,ram.ptr_playfield_color1,exact_union_match,Verified
0x90403A,0x40156;0x403A6;0x44BD0,game_start@0x40156;game_vblank@0x403A6;maze_setupnew@0x44BD0,ram.ptr_playfield_color2,exact_union_match,Verified
0x90403E,0x40160;0x403AC;0x44BEC,game_start@0x40160;game_vblank@0x403AC;maze_setupnew@0x44BEC,ram.selftest_button0_label,exact_union_match,Verified
0x904042,0x4016A;0x40586;0x44C06,game_start@0x4016A;main_cycle_tport_and_ffield@0x40586;maze_setupnew@0x44C06,ram.ptr_ff_cycle_delay;ram.selftest_button0_label,exact_union_match,Verified
0x904046,0x403B2;0x405AE;0x405B8;0x4AA42,game_vblank@0x403B2;main_cycle_tport_and_ffield@0x405AE;main_cycle_tport_and_ffield@0x405B8;main_move_players@0x4AA42,ram.forcefield_color;ram.selftest_button0_label,exact_union_match,Verified
0x904048,0x4056C;0x40590,main_cycle_tport_and_ffield@0x4056C;main_cycle_tport_and_ffield@0x40590,ram.ff_cycle_timer;ram.selftest_button0_label,exact_union_match,Verified
0x904049,0x40566,main_cycle_tport_and_ffield@0x40566,ram.ff_cycle_index;ram.ff_cycle_timer;ram.selftest_button0_label,exact_union_match,Verified
0x90404A,0x4F592;0x4F91A,thief_compute_path@0x4F91A;thief_move_engine@0x4F592,ram.selftest_button0_label;ram.thief_path_direction,exact_union_match,Verified
0x90404B,0x4ADB2;0x4AE04;0x4AE54;0x4AE74,enqueue_sound@0x4AE04;main_update_sound@0x4AE54;main_update_sound@0x4AE74;sound_queue_reset@0x4ADB2,ram.selftest_button0_label;ram.soundqueue,exact_union_match,Verified
0x904053,0x4ADCE;0x4ADDC;0x4AE42,enqueue_sound@0x4ADDC;main_update_sound@0x4AE42;sound_queue_reset@0x4ADCE,ram.selftest_button0_label;ram.soundqueue_head,exact_union_match,Verified
0x904054,0x4ADC8;0x4ADE8;0x4AE24,enqueue_sound@0x4ADE8;main_update_sound@0x4AE24;sound_queue_reset@0x4ADC8,ram.selftest_button0_label;ram.soundqueue_tail,exact_union_match,Verified
0x904055,0x43376;0x45B40;0x47070;0x4709E;0x482F0;0x48310;0x4D882;0x4E0A8;0x4E290;0x4E3AC;0x5145A;0x51544,main_handle_potions@0x47070;main_handle_potions@0x4709E;main_start_game@0x482F0;main_start_game@0x48310;player_inv_update@0x45B40;player_resetcounters@0x43376,ram.player_potionsnum;ram.selftest_button0_label,exact_union_match,Verified
0x90405A,0x4336A;0x45B08;0x467EC;0x46860;0x46880;0x46898;0x468B4;0x482E0;0x482F6;0x48326;0x4AC80;0x4D870,main_health_countdown@0x467EC;main_health_countdown@0x46860;main_health_countdown@0x46880;main_health_countdown@0x46898;main_health_countdown@0x468B4;main_move_players@0x4AC80,ram.player_keysnum;ram.selftest_button1_label,exact_union_match,Verified
0x90405F,0x40F76;0x42C30;0x42C38;0x44106;0x482E6;0x48BA6;0x48EF6;0x48F00;0x4D876,coincheck@0x42C30;coincheck@0x42C38;main_start_game@0x482E6;maze_addrandompickups@0x44106;monsters_everything@0x40F76;player_start_inner@0x48EF6,ram.monster_spawn_probability_bonus;ram.selftest_button1_label,exact_union_match,Verified
0x904060,0x4E9AC;0x4EA10;0x4EB7C;0x4ECA2;0x4ECAA;0x4ECBA,main_thief_anim@0x4E9AC;main_thief_anim@0x4EA10;main_thief_anim@0x4EB7C;main_thief_anim@0x4ECA2;main_thief_anim@0x4ECAA;main_thief_anim@0x4ECBA,ram.selftest_button1_label;ram.thief_pursuit_direction,exact_union_match,Verified
0x904061,0x4E9BE;0x4E9E2;0x4EA18,main_thief_anim@0x4E9BE;main_thief_anim@0x4E9E2;main_thief_anim@0x4EA18,ram.selftest_button1_label;ram.thief_pursuit_player,exact_union_match,Verified
0x904062,0x4E9DA;0x4EA28,main_thief_anim@0x4E9DA;main_thief_anim@0x4EA28,ram.selftest_button1_label;ram.thief_pursuit_shot_direction,exact_union_match,Verified
0x904063,0x42858;0x428EE;0x42984;0x42A1A;0x43928;0x44DD6;0x44DE0;0x44DEC;0x44F98;0x469E0;0x4826C;0x482BC,door_traverse_down@0x42A1A;door_traverse_left@0x428EE;door_traverse_right@0x42858;door_traverse_up@0x42984;main_health_countdown@0x469E0;main_start_game@0x4826C,ram.selftest_button1_label;ram.trick_player,exact_union_match,Verified
0x904064,0x44E06;0x54C50,secret_code_build@0x54C50;show_level_start_screen@0x44E06,ram.selftest_button1_label;ram.trick_last,exact_union_match,Verified
0x904065,0x42846;0x428DC;0x42972;0x42A08;0x43922;0x4393E;0x43944;0x43958;0x43C22;0x44DBC;0x48294;0x4829E,door_traverse_down@0x42A08;door_traverse_left@0x428DC;door_traverse_right@0x42846;door_traverse_up@0x42972;dragon_shot_hit@0x54420;main_start_game@0x48294,ram.selftest_button1_label;ram.trick_tasknum,exact_union_match,Verified
0x904066,0x40E8A;0x4251A;0x427F8;0x4282C;0x428C2;0x42958;0x429EE;0x44AF0;0x49118;0x49122;0x495C4;0x49908,door_traverse_down@0x429EE;door_traverse_left@0x428C2;door_traverse_right@0x4282C;door_traverse_up@0x42958;failed_door_post@0x427F8;forcefield_segments_setup@0x533A0,ram.mob_state_link;ram.selftest_button1_label,exact_union_match,Verified
0x904866,0x4C1D2,maze_decode@0x4C1D2,ram.maze_decomp_htype1,exact_union_match,Verified
0x904868,0x4C1DC;0x4C1FC,maze_decode@0x4C1DC;maze_decode@0x4C1FC,ram.maze_decomp_htype2,exact_union_match,Verified
0x90486A,0x4C1E8,maze_decode@0x4C1E8,ram.maze_decomp_vtype1,exact_union_match,Verified
0x90486C,0x4C1F4,maze_decode@0x4C1F4,ram.maze_decomp_vtype2,exact_union_match,Verified
0x90486E,0x44374;0x44E86;0x4B6AC;0x4C04E;0x4C0FE;0x4D8D4;0x54410,dragon_shot_hit@0x54410;level_splash@0x4C04E;level_splash@0x4C0FE;show_level_end_bonus_screen@0x4D8D4;show_level_start_screen@0x44E86;start_attract_to_game@0x44374,ram.secret_need_hint,exact_union_match,Verified
0x904870,0x48722;0x54C6C,secret_check@0x48722;secret_code_build@0x54C6C,ram.secret_prev_maze,exact_union_match,Verified
0x904872,0x48280;0x48342;0x48ED6;0x496B8;0x4989E;0x4AF60;0x4D1B2;0x5026A;0x509F2;0x51418;0x514E0;0x517AC,dragon_shot_hit@0x54430;dragon_shot_hit@0x5443E;main_start_game@0x48280;main_start_game@0x48342;player_exit_sequence@0x52B5A;player_start_inner@0x48ED6,ram.secret_tricks_flags,exact_union_match,Verified
0x904876,0x4A60A,main_move_players@0x4A60A,ram.current_player,exact_union_match,Verified
0x904877,0x52C46,player_exit_sequence@0x52C46,ram.current_player,exact_union_match,Verified
0x904878,0x43314;0x43930;0x4874A;0x4A748;0x4A750;0x4C094,level_splash@0x4C094;main_move_players@0x4A748;main_move_players@0x4A750;maze_new_level_setup@0x43930;one_time_init@0x43314;secret_check@0x4874A,ram.secret_possible_counter,exact_union_match,Verified
0x90487A,0x4331A;0x48702,one_time_init@0x4331A;secret_check@0x48702,ram.secret_possible_start,exact_union_match,Verified
0x90487C,0x54482;0x5448A;0x545E8;0x546B0;0x54764,dragon_fire_setup@0x54764;dragon_head_pose_update@0x546B0;main_handle_dragon@0x54482;main_handle_dragon@0x5448A;main_handle_dragon@0x545E8,ram.dragon_fire_cooldown,exact_union_match,Verified
0x90487E,0x438DC;0x4423A;0x449EC;0x4C47E;0x4C79E;0x4C7B6,attract_demo_init@0x449EC;dialog_first_encounter@0x4C47E;maze_new_level_setup@0x438DC;player_give_item_with_message@0x4C79E;player_give_item_with_message@0x4C7B6;start_attract_to_game@0x4423A,ram.dialog_once_flags,exact_union_match,Verified
0x90487F,0x4C474,dialog_first_encounter@0x4C474,ram.dialog_once_flags,exact_union_match,Verified
0x904880,0x54186;0x541F8;0x549DA,dragon_setup_segments@0x549DA;dragon_shot_hit@0x54186;dragon_shot_hit@0x541F8,ram.dragon_hits,exact_union_match,Verified
0x904882,0x54672;0x54B84,dragon_head_pose_update@0x54672;dragon_shot_hitbox_adjust@0x54B84,ram.dragon_head_hpos,exact_union_match,Verified
0x904884,0x546A4;0x54BAA,dragon_head_pose_update@0x546A4;dragon_shot_hitbox_adjust@0x54BAA,ram.dragon_head_vpos,exact_union_match,Verified
0x904886,0x53D4A;0x54128;0x5452A;0x54596;0x545CA;0x54604;0x5477A,dragon_fire_setup@0x5477A;dragon_head_pose_update@0x54604;dragon_shot_hit@0x54128;dragon_update_segments@0x53D4A;main_handle_dragon@0x5452A;main_handle_dragon@0x54596,ram.dragon_path_num,exact_union_match,Verified
0x90488C,0x53D24;0x54060;0x54082;0x5408C;0x546B8;0x546D6;0x546F8;0x5470A;0x5471E;0x549D2,dragon_choose_move_direction@0x54060;dragon_choose_move_direction@0x54082;dragon_choose_move_direction@0x5408C;dragon_head_pose_update@0x546B8;dragon_head_pose_update@0x546D6;dragon_head_pose_update@0x546F8,ram.dragon_move_state,exact_union_match,Verified
0x90488E,0x53D18;0x53E58;0x542BE;0x542D2;0x5435E;0x54372;0x544C4;0x54502;0x5456A;0x5461E;0x54718;0x54758,dragon_choose_move_direction@0x53E58;dragon_fire_setup@0x54758;dragon_head_pose_update@0x5461E;dragon_head_pose_update@0x54718;dragon_setup_segments@0x549CA;dragon_shot_hit@0x542BE,ram.dragon_facing,exact_union_match,Verified
0x904890,0x46FF8;0x53D1E;0x540D6;0x5413C;0x54462;0x549BC;0x54ADA,dragon_choose_move_direction@0x540D6;dragon_player_proximity@0x54ADA;dragon_setup_segments@0x549BC;dragon_shot_hit@0x5413C;dragon_update_segments@0x53D1E;main_handle_dragon@0x54462,ram.dragon_state,exact_union_match,Verified
0x904891,0x54AAA;0x54AD0,dragon_player_proximity@0x54AAA;dragon_player_proximity@0x54AD0,ram.dragon_state,exact_union_match,Verified
0x904892,0x46FF2;0x53D3C;0x540B6;0x540C0;0x540C8;0x540D0;0x54122;0x5445C;0x5476C;0x549C4;0x549FA,dragon_choose_move_direction@0x540B6;dragon_choose_move_direction@0x540C0;dragon_choose_move_direction@0x540C8;dragon_choose_move_direction@0x540D0;dragon_fire_setup@0x5476C;dragon_player_proximity@0x549FA,ram.dragon_anim_ctr,exact_union_match,Verified
0x904894,0x44ADA;0x53D70;0x53D86;0x53E52;0x541E8;0x5420C;0x54232;0x5440A;0x54468;0x544AA;0x544EA;0x54552,dragon_any_segment_near_screen@0x54B06;dragon_any_segment_near_screen@0x54B14;dragon_choose_move_direction@0x53E52;dragon_fire_setup@0x5475E;dragon_head_pose_update@0x54628;dragon_head_pose_update@0x54656,ram.dragon_seg_mob_ids,exact_union_match,Verified
0x904896,0x54288;0x54988;0x54B26,dragon_any_segment_near_screen@0x54B26;dragon_setup_segments@0x54988;dragon_shot_hit@0x54288,ram.dragon_seg_mob_ids,exact_union_match,Verified
0x904898,0x54298;0x549A4;0x549AC;0x54B38,dragon_any_segment_near_screen@0x54B38;dragon_setup_segments@0x549A4;dragon_setup_segments@0x549AC;dragon_shot_hit@0x54298,ram.dragon_seg_mob_ids,exact_union_match,Verified
0x90489A,0x542A8;0x549B6;0x54B4A,dragon_any_segment_near_screen@0x54B4A;dragon_setup_segments@0x549B6;dragon_shot_hit@0x542A8,ram.dragon_seg_mob_ids,exact_union_match,Verified
0x90489C,0x44BAA;0x529E6;0x52A38;0x52AC0;0x52AE8,main_exit_move@0x529E6;main_exit_move@0x52A38;main_exit_move@0x52AC0;main_exit_move@0x52AE8;maze_setupnew@0x44BAA,ram.ptr_exit_openclose_anim,exact_union_match,Verified
0x9048A0,0x439DC;0x43A96;0x43A9E;0x43AC6;0x43AD6;0x5E46E;0x5E526,main_walls_random_move@0x5E46E;main_walls_random_move@0x5E526;maze_new_level_setup@0x439DC;maze_new_level_setup@0x43A96;maze_new_level_setup@0x43A9E;maze_new_level_setup@0x43AC6,ram.randwall_low_watermark,exact_union_match,Verified
0x9048A2,0x439D6;0x43AA4;0x5E43E;0x5E450;0x5E478;0x5E498;0x5E4E4;0x5E4F4,main_walls_random_move@0x5E43E;main_walls_random_move@0x5E450;main_walls_random_move@0x5E478;main_walls_random_move@0x5E498;main_walls_random_move@0x5E4E4;main_walls_random_move@0x5E4F4,ram.randwall_target,exact_union_match,Verified
0x9048A4,0x43ADE;0x5E444;0x5E456;0x5E468;0x5E4FA;0x5E52E,main_walls_random_move@0x5E444;main_walls_random_move@0x5E456;main_walls_random_move@0x5E468;main_walls_random_move@0x5E4FA;main_walls_random_move@0x5E52E;maze_new_level_setup@0x43ADE,ram.randwall_current,exact_union_match,Verified
0x9048A6,0x439CC;0x43ACE;0x5E42C;0x5E436;0x5E4A4;0x5E500;0x5E514;0x5E51E,main_walls_random_move@0x5E42C;main_walls_random_move@0x5E436;main_walls_random_move@0x5E4A4;main_walls_random_move@0x5E500;main_walls_random_move@0x5E514;main_walls_random_move@0x5E51E,ram.randwall_timer,exact_union_match,Verified
0x9048A8,0x47A9C;0x47ABE;0x47ADE;0x537B4;0x53898;0x538B0;0x53CE0;0x53CF8,main_handle_shots@0x47A9C;main_handle_shots@0x47ABE;main_handle_shots@0x47ADE;player_create_shot@0x537B4;shot_reflect_calc@0x53898;shot_reflect_calc@0x538B0,ram.player_shot_last_wall_pos,exact_union_match,Verified
0x9048B0,0x4EA30;0x4EB84;0x4EB8C;0x4ECC2,main_thief_anim@0x4EA30;main_thief_anim@0x4EB84;main_thief_anim@0x4EB8C;main_thief_anim@0x4ECC2,ram.thief_direction_change_pos,exact_union_match,Verified
0x9048B2,0x40EB0;0x40EB8;0x40EC8;0x438C2;0x4B8B0;0x4B9EA,maze_new_level_setup@0x438C2;monsters_everything@0x40EB0;monsters_everything@0x40EB8;monsters_everything@0x40EC8,ram.monster_slowmo_timer,exact_union_match,Verified
0x9048B4,0x41C02;0x41E36;0x4203E;0x42272;0x4247E,player_try_move@0x41C02;player_try_move_core@0x41E36;player_try_move_core@0x4203E;player_try_move_core@0x42272;player_try_move_core@0x4247E,ram.player_deferred_move_flags,exact_union_match,Verified
0x9048BC,0x4B78C;0x4B7F0;0x4E556;0x4E560;0x4EA36;0x4EC60,main_thief_anim@0x4EA36;main_thief_anim@0x4EC60;thief_timer_set@0x4E556;thief_timer_set@0x4E560,ram.thief_speed,exact_union_match,Verified
0x9048BE,0x409AC;0x47BC2;0x4B4DE;0x53CBE,main_handle_shots@0x47BC2;resolve_shot_hit@0x4B4DE;shot_mob_collision@0x409AC;shot_reflect_calc@0x53CBE,ram.reflect_count,exact_union_match,Verified
0x9048C6,0x498D6;0x4AD06;0x4AD0C;0x4AD2E;0x4B6B4;0x4B754;0x4B766;0x4B958;0x4BB24;0x4BBD6;0x4BCB0;0x4BD04,dragon_shot_hitbox_adjust@0x54B6A;main_move_players@0x4AD06;main_move_players@0x4AD0C;main_move_players@0x4AD2E;player_tile_interact@0x511C2,ram.escape_timer,exact_union_match,Verified
0x9048C8,0x40974;0x41750;0x41C32;0x424FE;0x43390;0x43FF6;0x44B1A;0x45552;0x455DC;0x45686;0x45764;0x45A62,corner_squeeze_geometry@0x50144;demo_speech_cmd@0x4CA16;dialog_first_encounter@0x4C568;dialog_position_box@0x4CBBE;dragon_choose_move_direction@0x53EA4;dragon_fire_setup@0x547C4,ram.active_mob_ids,exact_union_match,Verified
0x9048CC,0x5E63E,main_walls_cyclic_move@0x5E63E,ram.active_mob_ids,exact_union_match,Verified
0x9048E0,0x41594;0x42744;0x433BE;0x45B92;0x4785E;0x487FE;0x4882A;0x49798;0x497D8;0x4A7F6;0x4AA7C;0x4AC30,main_handle_shots@0x4785E;main_move_players@0x4A7F6;main_move_players@0x4AA7C;main_move_players@0x4AC30;mob_collision_test@0x521B2;monsters_everything@0x41594,ram.player_powers,exact_union_match,Verified
0x9048E8,0x40920;0x40A50;0x4164C;0x41E1A;0x42022;0x42256;0x42462;0x42E1C;0x42E6E;0x4332C;0x4345E;0x4400E,character_select_input_update@0x42E1C;character_select_input_update@0x42E6E;highscore_check@0x49D2C;main_handle_shots@0x475EE;main_handle_shots@0x47652;main_handle_shots@0x4784A,ram.player_character,exact_union_match,Verified
0x9048EA,0x43332;0x43464;0x44A26,attract_demo_init@0x44A26;one_time_init@0x43332;player_resetall@0x43464,ram.player_character,exact_union_match,Verified
0x9048EC,0x4333A;0x4346C,one_time_init@0x4333A;player_resetall@0x4346C,ram.player_character,exact_union_match,Verified
0x9048EE,0x43342;0x43474,one_time_init@0x43342;player_resetall@0x43474,ram.player_character,exact_union_match,Verified
0x9048F0,0x4AC94,main_move_players@0x4AC94,ram.player_joystick,exact_union_match,Verified
0x9048F8,0x419FA;0x479D4,main_handle_shots@0x479D4;monster_find_and_shoot@0x419FA,ram.lobber_shot_vec_h,exact_union_match,Verified
0x904900,0x47A1E,main_handle_shots@0x47A1E,ram.lobber_shot_vec_v,exact_union_match,Verified
0x904908,0x4173E;0x42C6C;0x45818;0x45834;0x4598C;0x45AB4;0x46764;0x49842;0x49A14;0x4A868;0x4A886;0x4AAB2,coincheck@0x42C6C;draw_player_health@0x45AB4;draw_player_score@0x4598C;main_health_countdown@0x46764;main_move_players@0x4A868;main_move_players@0x4A886,ram.player_redraw,exact_union_match,Verified
0x90490C,0x4836A;0x48A94;0x48A9C;0x498DC;0x498E4;0x4ACDA;0x4AF66;0x5128A;0x51294;0x5139A;0x513A4;0x51442,dragon_shot_hitbox_adjust@0x54B70;dragon_shot_hitbox_adjust@0x54B78;main_move_players@0x4ACDA;main_start_game@0x4836A;player_join_finalize@0x48A94;player_join_finalize@0x48A9C,ram.idle_timer,exact_union_match,Verified
0x90490E,0x41624;0x4339E;0x459E2;0x45A0E;0x46C18;0x46C42;0x4E0BE;0x4E2A6;0x4E3CA;0x4E3E6;0x51A24;0x51A32,draw_player_health@0x459E2;draw_player_health@0x45A0E;main_health_countdown@0x46C18;main_health_countdown@0x46C42;monsters_everything@0x41624;player_add_score_with_mult@0x5216A,ram.player_bonusmult,exact_union_match,Verified
0x904916,0x40F96;0x42B4E;0x42B58;0x42B60;0x4AE2A,g2mainloop@0x42B4E;g2mainloop@0x42B58;g2mainloop@0x42B60;main_update_sound@0x4AE2A;monsters_everything@0x40F96,ram.frame_overflow,exact_union_match,Verified
0x904918,0x40392;0x42BD0;0x42BDA;0x43758;0x4424A;0x44266;0x4442C;0x4456A;0x44B3C;0x45390;0x45560;0x455E8,coincheck@0x42BD0;coincheck@0x42BDA;dialog_first_encounter@0x4C4E0;game_vblank@0x40392;handle_generate@0x492DA;main_attract@0x4456A,ram.game_mode,exact_union_match,Verified
0x90491A,0x44548;0x447B0;0x44826;0x4483C;0x4484C;0x44874;0x44882;0x44892;0x448DE;0x44904,main_attract@0x447B0;main_attract@0x44826;main_attract@0x4483C;main_attract@0x4484C;main_attract@0x44874;main_attract@0x44882,ram.attract_legend,exact_union_match,Verified
0x90491C,0x40F34;0x4370A;0x43B62;0x43B7E;0x43BA0;0x43BCC;0x43EDE;0x43FB0;0x44C32;0x45E54;0x46330;0x4BE32,level_splash@0x4BE32;main_exit_move@0x5289E;maze_addrandompickups@0x43FB0;maze_forcefield_setup@0x52FAA;maze_load_pickup_config@0x4370A;maze_new_level_setup@0x43B62,ram.level_flags,exact_union_match,Verified
0x90491D,0x40EFA;0x5E96C;0x5EB2E;0x5EB7C;0x5F048;0x5F2C0,maze_init_walls@0x5F2C0;monsters_everything@0x40EFA;pf_floor_draw_xy@0x5E96C;pf_floor_update@0x5E96C;pf_wall_draw@0x5EB2E;pf_wall_draw@0x5EB7C,ram.level_flags;ram.level_flags_2,exact_union_match,Verified
0x90491E,0x4AD34;0x4AD3C;0x5E62A,main_move_players@0x4AD34;main_move_players@0x4AD3C;main_walls_cyclic_move@0x5E62A,ram.level_flags;ram.level_flags_3,exact_union_match,Verified
