start,end_inclusive,size_bytes,classification,rom_flags,catalog_rows,confidence
0x40DB2,0x40DD9,40,named_rom_range,monster_anim_idle_ptrs,monster_anim_idle_ptrs,Verified
0x40DDA,0x40E01,40,named_rom_range,monster_anim_moving_ptrs,monster_anim_moving_ptrs,Verified
0x40E02,0x40E1D,28,named_rom_range,monster_level_flag_overrides,monster_level_flag_overrides,Verified
0x40E1E,0x40E45,40,named_rom_range,monster_oddangle_table,monster_oddangle_table,Verified
0x40E46,0x40E65,32,named_rom_range,monster_count_table,monster_count_table,Verified
0x40E66,0x40E69,4,named_rom_range,dead_monster_count_tail_words,dead_monster_count_tail_words,Verified
0x40E6A,0x41BCF,3430,analyzed_code,,,Verified
0x41BD0,0x41BEF,32,named_rom_range,player_character_collision_block_matrix,player_character_collision_block_matrix,Verified
0x41BF0,0x45C45,16470,analyzed_code,,,Verified
0x45C46,0x45C4D,8,named_rom_range,door_open_direction_jumptbl,main_open_doors,Verified
0x45C4E,0x4961F,14802,analyzed_code,,,Verified
0x49620,0x49633,20,named_rom_range,monster_playerhit_jumptbl,"Contradicted and corrected: target/monster class 0x12–0x1B is doubled without subtraction; the backward-biased load base 0x495FC maps it to the actual table at 0x49620–0x49633, also the JMP displacement base. The former 28-entry/0–0x1B description included live instructions before the table.",Verified
0x49634,0x4A4F9,3782,analyzed_code,,,Verified
0x4A4FA,0x4A539,64,named_rom_range,stun_direction_remap,stun_direction_remap,Verified
0x4A53A,0x4B337,3582,analyzed_code,,,Verified
0x4B338,0x4B3B3,124,named_rom_range,resolve_shot_hit_jumptbl,"Object type 0–0x3D, doubled; displacement relative to base 0x4B338",Verified
0x4B3B4,0x4FE07,19028,analyzed_code,,,Verified
0x4FE08,0x4FE17,16,named_rom_range,richest_player_tie_jumptbl,"Eight tie/eligibility states, doubled; displacement and JMP base 0x4FE08",Verified
0x4FE18,0x511FF,5096,analyzed_code,,,Verified
0x51200,0x5120F,16,named_rom_range,player_tile_lowtype_jumptbl,"Object type 0x0A–0x11 is doubled without subtraction; load base is biased to 0x511EC, making the accessed table 0x51200–0x5120F; JMP base 0x51200",Verified
0x51210,0x51229,26,analyzed_code,,,Verified
0x5122A,0x5124B,34,named_rom_range,player_tile_object_jumptbl,"Object type 0x2E–0x3E, doubled without subtraction; load base 0x511CE biases accesses to 0x5122A–0x5124B; JMP base 0x5122A",Verified
0x5124C,0x5220F,4036,analyzed_code,,,Verified
0x52210,0x5226D,94,named_rom_range,mob_collision_object_jumptbl,"Object type 0x10–0x3E, doubled without subtraction; load base 0x521FC biases accesses to 0x52210–0x5226D; JMP base 0x52210",Verified
0x5226E,0x52279,12,named_rom_range,dead_mob_collision_jump_tail,"Six additional valid-looking displacements immediately after the live table. The dispatcher rejects types above 0x3E before indexing, and no other consumer reaches them; retained as runtime-dead compiler/linker residue.",Verified
0x5227A,0x5318B,3858,analyzed_code,,,Verified
0x5318C,0x53345,442,named_rom_range,game_options_descriptor_stream,game_options_descriptor_stream,Verified
0x53346,0x538FD,1464,analyzed_code,,,Verified
0x538FE,0x53907,10,named_rom_range,shot_reflect_center_jumptbl,Signed delta −2…2 indexes around a centered load base 0x53902; JMP base 0x538FE,Verified
0x53908,0x53923,28,analyzed_code,,,Verified
0x53924,0x5392D,10,named_rom_range,shot_reflect_neg42_jumptbl,Delta −0x42…−0x3E is normalized by subtracting −0x42; JMP base 0x53924,Verified
0x5392E,0x53947,26,analyzed_code,,,Verified
0x53948,0x53951,10,named_rom_range,shot_reflect_neg22_jumptbl,Delta −0x22…−0x1E is not normalized; backward-biased load base 0x5398C maps it to 0x53948–0x53951; JMP base 0x53948,Verified
0x53952,0x53969,24,analyzed_code,,,Verified
0x5396A,0x53973,10,named_rom_range,shot_reflect_pos1e_jumptbl,Delta 0x1E…0x22 is not normalized; backward-biased load base 0x5392E maps it to 0x5396A–0x53973; JMP base 0x5396A,Verified
0x53974,0x53991,30,analyzed_code,,,Verified
0x53992,0x5399B,10,named_rom_range,shot_reflect_pos3e_jumptbl,Delta 0x3E…0x42 is normalized by subtracting 0x3E; JMP base 0x53992,Verified
0x5399C,0x54BD5,4666,analyzed_code,,,Verified
0x54BD6,0x54BDF,10,named_rom_range,dragon_head_hitbox_offsets,dragon_head_hitbox_offsets,Verified
0x54BE0,0x54CA5,198,analyzed_code,,,Verified
0x54CA6,0x54CC5,32,named_rom_range,secret_code_alphabet,secret_code_alphabet,Verified
0x54CC6,0x54EC5,512,named_rom_range,secret_code_crc16_table,secret_code_crc16_table,Verified
0x54EC6,0x55511,1612,analyzed_code,,,Verified
0x55512,0x5554D,60,named_rom_range,dead_name_entry_epilogue_fragments,dead_name_entry_epilogue_fragments,Verified
0x5554E,0x5561F,210,analyzed_code,,,Verified
0x55620,0x56E53,6196,top_level_nonmixed_region,,,Verified
0x56E54,0x56F5B,264,analyzed_code,,,Verified
0x56F5C,0x56FA7,76,named_rom_range,dead_slapstic_verify_suffix,dead_slapstic_verify_suffix,Verified
0x56FA8,0x57001,90,named_rom_range,pad_56fa8,pad_56fa8,Verified
0x57002,0x57011,16,named_rom_range,character_announcement_speech_ptrs,Per-player character announcement speech IDs (ROM pointer table),Verified
0x57012,0x57045,52,named_rom_range,random_maze_flags,get_random_maze_flags,Verified
0x57046,0x5704D,8,named_rom_range,slapstic_bitwise_addr_a,slapstic_bitwise_addr_a,Verified
0x5704E,0x57055,8,named_rom_range,slapstic_bitwise_addr_b,slapstic_bitwise_addr_b,Verified
0x57056,0x57071,28,named_rom_range,challenge_target_object_types,challenge_target_object_types,Verified
0x57072,0x570B3,66,named_rom_range,character_select_instruction_chain,character_select_instruction_chain,Verified
0x570B4,0x570BB,8,named_rom_range,portrait_display_offsets,portrait_display_offsets,Verified
0x570BC,0x570C3,8,named_rom_range,portrait_alpha_words,portrait_alpha_words,Verified
0x570C4,0x570CB,8,named_rom_range,portrait_sprite_words,portrait_sprite_words,Verified
0x570CC,0x570DB,16,named_rom_range,portrait_alpha_dest_ptrs,portrait_alpha_dest_ptrs,Verified
0x570DC,0x570EB,16,named_rom_range,portrait_sprite_dest_ptrs,portrait_sprite_dest_ptrs,Verified
0x570EC,0x5710B,32,named_rom_range,joystick_direction_bitmasks,joystick_direction_bitmasks,Verified
0x5710C,0x57177,108,named_rom_range,floor_palette_color_indices,floor_palette_color_indices,Verified
0x57178,0x571D7,96,named_rom_range,service_instruction_text_chain,service_instruction_text_chain,Verified
0x571D8,0x571D9,2,named_rom_range,forcefield_delay_alignment,forcefield_delay_alignment,Verified
0x571DA,0x571F9,32,named_rom_range,forcefield_cycle_delay_profiles,forcefield_cycle_delay_profiles,Verified
0x571FA,0x57209,16,named_rom_range,forcefield_cycle_delay_ptrs,forcefield_cycle_delay_ptrs,Verified
0x5720A,0x57211,8,named_rom_range,secret_player_palette_words,secret_player_palette_words,Verified
0x57212,0x57221,16,named_rom_range,player_color_name_ptrs,player_color_name_ptrs,Verified
0x57222,0x57241,32,named_rom_range,player_color_name_strings,player_color_name_strings,Verified
0x57242,0x57251,16,named_rom_range,character_name_ptrs,character_name_ptrs,Verified
0x57252,0x57279,40,named_rom_range,character_name_strings,character_name_strings,Verified
0x5727A,0x57331,184,named_rom_range,level_start_message_strings,level_start_message_strings,Verified
0x57332,0x5733F,14,named_rom_range,dead_header_byte_block,dead_header_byte_block,Verified
0x57340,0x5734F,16,named_rom_range,character_hud_text_ptrs,character_hud_text_ptrs,Verified
0x57350,0x57357,8,named_rom_range,player_text_palette_words,player_text_palette_words,Verified
0x57358,0x5735F,8,named_rom_range,dead_position_word_block,dead_position_word_block,Verified
0x57360,0x5737B,28,named_rom_range,challenge_timer_base,challenge_timer_base,Verified
0x5737C,0x57397,28,named_rom_range,challenge_timer_random_minutes,challenge_timer_random_minutes,Verified
0x57398,0x573D3,60,named_rom_range,challenge_shared_qualifier_text,challenge_shared_qualifier_text,Verified
0x573D4,0x57443,112,named_rom_range,challenge_qualifier_descs,challenge_qualifier_descs,Verified
0x57444,0x574AB,104,named_rom_range,challenge_unique_qualifier_text,challenge_unique_qualifier_text,Verified
0x574AC,0x574B3,8,named_rom_range,challenge_it_desc,challenge_it_desc,Verified
0x574B4,0x574B7,4,named_rom_range,challenge_it_text,challenge_it_text,Verified
0x574B8,0x5751D,102,named_rom_range,character_glyph_rows,character_glyph_rows,Verified
0x5751E,0x5751F,2,named_rom_range,pad_5751e,ui_status_strings,Verified
0x57520,0x57577,88,named_rom_range,ui_status_strings,"UI strings: ""SELECT HERO"", ""PRESS START"", ""ADD COIN"", ""INSERT COIN"", ""GAME OVER"", ""ON LEVEL:""; exact range 0x57520–0x57577",Verified
0x57578,0x57637,192,named_rom_range,dip_switch_display_records,DIP-switch display records; exact range 0x57578–0x57637,Verified
0x57638,0x57643,12,named_rom_range,continue_screen_header,"Continue-screen header data and NUL-terminated ""LEVEL:"" label",Verified
0x57644,0x57657,20,named_rom_range,continue_blank_line,continue_blank_line,Verified
0x57658,0x5766B,20,named_rom_range,continue_press_start,continue_press_start,Verified
0x5766C,0x5767F,20,named_rom_range,continue_within_seconds,continue_within_seconds,Verified
0x57680,0x57693,20,named_rom_range,continue_game_line,continue_game_line,Verified
0x57694,0x576A7,20,named_rom_range,continue_level_line,continue_level_line,Verified
0x576A8,0x576B5,14,named_rom_range,heartbeat_mask_table,heartbeat_mask_table,Verified
0x576B6,0x576D1,28,named_rom_range,score_star_picture_cycle,score_star_picture_cycle,Verified
0x576D2,0x576D9,8,named_rom_range,score_effect_picture_cycle_a,score_effect_picture_cycle_a,Verified
0x576DA,0x576E1,8,named_rom_range,score_effect_picture_cycle_b,score_effect_picture_cycle_b,Verified
0x576E2,0x57791,176,named_rom_range,shot_velocity_x,shot_velocity_x,Verified
0x57792,0x57841,176,named_rom_range,shot_velocity_y,shot_velocity_y,Verified
0x57842,0x57851,16,named_rom_range,player_power_palette_handler_ptrs,player_power_palette_handler_ptrs,Verified
0x57852,0x57861,16,named_rom_range,player_hurt_palette_handler_ptrs,player_hurt_palette_handler_ptrs,Verified
0x57862,0x578A1,64,named_rom_range,health_per_coin_table,health_per_coin_table,Verified
0x578A2,0x578B1,16,named_rom_range,spawn_candidate_column_delta,spawn_candidate_column_delta,Verified
0x578B2,0x578C1,16,named_rom_range,spawn_candidate_row_delta,spawn_candidate_row_delta,Verified
0x578C2,0x578D9,24,named_rom_range,shot_counter_reload,shot_counter_reload,Verified
0x578DA,0x578E9,16,named_rom_range,random_item_group_ptrs,random_item_group_ptrs,Verified
0x578EA,0x578F1,8,named_rom_range,random_item_group_counts,random_item_group_counts,Verified
0x578F2,0x57909,24,named_rom_range,score_spin_picture_cycle,score_spin_picture_cycle,Verified
0x5790A,0x57919,16,named_rom_range,start_game_player_count_sounds,start_game_player_count_sounds,Verified
0x5791A,0x57931,24,named_rom_range,random_item_group_values,random_item_group_values,Verified
0x57932,0x57941,16,named_rom_range,player_transition_sound_ids,player_transition_sound_ids,Verified
0x57942,0x57951,16,named_rom_range,heartbeat_sound_table,heartbeat_sound_table,Verified
0x57952,0x57961,16,named_rom_range,player_coin_sound_ids,player_coin_sound_ids,Verified
0x57962,0x5796D,12,named_rom_range,early_level_speech_choices,early_level_speech_choices,Verified
0x5796E,0x57979,12,named_rom_range,later_level_speech_choices,later_level_speech_choices,Verified
0x5797A,0x57989,16,named_rom_range,character_lowhealth_speech,character_lowhealth_speech,Verified
0x5798A,0x579AD,36,named_rom_range,generator_spawn_object_type,generator_spawn_object_type,Verified
0x579AE,0x579D1,36,named_rom_range,generator_spawn_vpos_correction,generator_spawn_vpos_correction,Verified
0x579D2,0x579E1,16,named_rom_range,death_potion_score_table,death_potion_score_table,Verified
0x579E2,0x579F1,16,named_rom_range,death_potion_popup_type_table,death_potion_popup_type_table,Verified
0x579F2,0x57A2D,60,named_rom_range,score_popup_picture_table,score_popup_picture_table,Verified
0x57A2E,0x57AAD,128,named_rom_range,monster_contact_damage_table,monster_contact_damage_table,Verified
0x57AAE,0x57B31,132,named_rom_range,character_hurt_sound_banks,character_hurt_sound_banks,Verified
0x57B32,0x57B3B,10,named_rom_range,hurt_speech_cooldown_base,hurt_speech_cooldown_base,Verified
0x57B3C,0x57B4B,16,named_rom_range,character_hurt_sound_ptrs,character_hurt_sound_ptrs,Verified
0x57B4C,0x57B4F,4,named_rom_range,character_hurt_sound_counts,character_hurt_sound_counts,Verified
0x57B50,0x57B67,24,named_rom_range,generator_cell_dx,generator_cell_dx,Verified
0x57B68,0x57B7F,24,named_rom_range,generator_cell_dy,generator_cell_dy,Verified
0x57B80,0x57B97,24,named_rom_range,generator_spawn_direction,generator_spawn_direction,Verified
0x57B98,0x57BA7,16,named_rom_range,monster_shot_spawn_h_offset,monster_shot_spawn_h_offset,Verified
0x57BA8,0x57BB7,16,named_rom_range,monster_shot_spawn_v_offset,monster_shot_spawn_v_offset,Verified
0x57BB8,0x57BC7,16,named_rom_range,lobber_shot_spawn_h_offset,lobber_shot_spawn_h_offset,Verified
0x57BC8,0x57BD7,16,named_rom_range,lobber_shot_spawn_v_offset,lobber_shot_spawn_v_offset,Verified
0x57BD8,0x57EB9,738,named_rom_range,dead_tile_word_block,dead_tile_word_block,Verified
0x57EBA,0x57FF9,320,named_rom_range,factory_highscore_records,factory_highscore_records,Verified
0x57FFA,0x57FFF,6,named_rom_range,pad_57ffa,Zero alignment padding between factory high scores and the 0x58000 display-record block.,Verified
0x58000,0x5806F,112,named_rom_range,score_coin_initials_records,"Score-per-coin display records plus the “Enter your initials:” prompt, exact range 0x58000–0x5806F",Verified
0x58070,0x5808F,32,named_rom_range,invisibility_flash_masks,invisibility_flash_masks,Verified
0x58090,0x58097,8,named_rom_range,fighting_anim_end,fighting_anim_end,Verified
0x58098,0x580A7,16,named_rom_range,demo_stream_ptrs,"Demo initial pointer table;Initial demo pointer table (4 longwords, one per player)",Verified
0x580A8,0x580B7,16,named_rom_range,player_speed_normal,player_speed_normal,Verified
0x580B8,0x580C7,16,named_rom_range,player_anim_rate,player_anim_rate,Verified
0x580C8,0x580D7,16,named_rom_range,player_collision_size,player_collision_size,Verified
0x580D8,0x580E7,16,named_rom_range,player_delta_x,player_delta_x,Verified
0x580E8,0x580F7,16,named_rom_range,player_delta_y,player_delta_y,Verified
0x580F8,0x580FB,4,named_rom_range,pad_580f8,player_delta_y,Verified
0x580FC,0x5811B,32,named_rom_range,joystick_nibble_to_direction,joystick_nibble_to_direction,Verified
0x5811C,0x5813B,32,named_rom_range,fight_direction_map,fight_direction_map,Verified
0x5813C,0x5815B,32,named_rom_range,health_drain_table,health_drain_table,Verified
0x5815C,0x5818B,48,named_rom_range,dialog_tip_ptrs,dialog_tip_ptrs,Verified
0x5818C,0x581C3,56,named_rom_range,demo_input_streams;demo_player0_input_stream,"Four adjacent demo-player streams through 0x5828B, split by the pointer table at 0x58098 into 56, 150, 2, and 48 bytes. Commands are 2-byte pairs. First byte 0x00–0xFD = frame duration and second byte = recorded input; 0xFF = show dialog tip whose index is the second byte; 0xFE = join/switch demo player encoded by the second byte.;Player 0 demo input stream (28 command pairs), ending at 0x581C3",Verified
0x581C4,0x58259,150,named_rom_range,demo_input_streams;demo_player1_input_stream,"Four adjacent demo-player streams through 0x5828B, split by the pointer table at 0x58098 into 56, 150, 2, and 48 bytes. Commands are 2-byte pairs. First byte 0x00–0xFD = frame duration and second byte = recorded input; 0xFF = show dialog tip whose index is the second byte; 0xFE = join/switch demo player encoded by the second byte.;Player 1 demo input stream (75 command pairs; primary Elf script), ending at 0x58259",Verified
0x5825A,0x5825B,2,named_rom_range,demo_input_streams;demo_player2_input_stream,"Four adjacent demo-player streams through 0x5828B, split by the pointer table at 0x58098 into 56, 150, 2, and 48 bytes. Commands are 2-byte pairs. First byte 0x00–0xFD = frame duration and second byte = recorded input; 0xFF = show dialog tip whose index is the second byte; 0xFE = join/switch demo player encoded by the second byte.;Player 2 demo input stream (one minimal command pair)",Verified
0x5825C,0x5828B,48,named_rom_range,demo_input_streams;demo_player3_input_stream,"Four adjacent demo-player streams through 0x5828B, split by the pointer table at 0x58098 into 56, 150, 2, and 48 bytes. Commands are 2-byte pairs. First byte 0x00–0xFD = frame duration and second byte = recorded input; 0xFF = show dialog tip whose index is the second byte; 0xFE = join/switch demo player encoded by the second byte.;Player 3/final demo-stream tail through 0x5828B; the pointer at 0x580A4 starts at 0x5825C, so the formerly isolated 0x5825E–0x5828B bytes belong to this stream",Verified
0x5828C,0x5850D,642,named_rom_range,dialog_tip_records,dialog_tip_records,Verified
0x5850E,0x5858A,125,named_rom_range,attract_display_run_ctrl,attract_display_run_ctrl,Verified
0x5858B,0x5858B,1,named_rom_range,pad_5858b,pad_5858b,Verified
0x5858C,0x5860B,128,named_rom_range,mazeobj_hpos_correction_tbl,mazeobj_hpos_correction_tbl,Verified
0x5860C,0x5864B,64,named_rom_range,mazeobj_vpos_offset_tbl,mazeobj_vpos_offset_tbl,Verified
0x5864C,0x5868B,64,named_rom_range,mazeobj_hsize_tier_tbl,mazeobj_hsize_tier_tbl,Verified
0x5868C,0x5870B,128,named_rom_range,mazeobj_base_picture_tbl,mazeobj_base_picture_tbl,Verified
0x5870C,0x58749,62,named_rom_range,dead_picture_word_block,dead_picture_word_block,Verified
0x5874A,0x58849,256,named_rom_range,anim_table_shooting,anim_table_shooting,Verified
0x5884A,0x58A49,512,named_rom_range,anim_table_fighting,anim_table_fighting,Verified
0x58A4A,0x58A89,64,named_rom_range,anim_table_idle,anim_table_idle,Verified
0x58A8A,0x58B89,256,named_rom_range,anim_table_walking,anim_table_walking,Verified
0x58B8A,0x58C09,128,named_rom_range,projectile_picture_table,projectile_picture_table,Verified
0x58C0A,0x58C89,128,named_rom_range,anim_tiles_sorcerer,anim_tiles_sorcerer,Verified
0x58C8A,0x58C99,16,named_rom_range,thief_escape_anim,thief_escape_anim,Verified
0x58C9A,0x58D19,128,named_rom_range,thief_walk_anim,thief_walk_anim,Verified
0x58D1A,0x58D29,16,named_rom_range,thief_idle_by_direction,thief_idle_by_direction,Verified
0x58D2A,0x58D2B,2,named_rom_range,pad_58d2a,thief_walk_anim_compact,Verified
0x58D2C,0x58D6B,64,named_rom_range,thief_walk_anim_compact,thief_walk_anim_compact,Verified
0x58D6C,0x58DEB,128,named_rom_range,mugger_walk_anim,mugger_walk_anim,Verified
0x58DEC,0x58DFB,16,named_rom_range,mugger_idle_by_direction,mugger_idle_by_direction,Verified
0x58DFC,0x58DFD,2,named_rom_range,pad_58dfc,mugger_walk_anim_compact,Verified
0x58DFE,0x58E3D,64,named_rom_range,mugger_walk_anim_compact,mugger_walk_anim_compact,Verified
0x58E3E,0x58EDD,160,named_rom_range,special_projectile_picture_table,special_projectile_picture_table,Verified
0x58EDE,0x58F1F,66,named_rom_range,monster_projectile_picture_table,monster_projectile_picture_table,Verified
0x58F20,0x58F25,6,named_rom_range,invulnerable_food_pictures,invulnerable_food_pictures,Verified
0x58F26,0x58FA5,128,named_rom_range,anim_tiles_ghost,anim_tiles_ghost,Verified
0x58FA6,0x59025,128,named_rom_range,anim_tiles_grunt,anim_tiles_grunt,Verified
0x59026,0x590A5,128,named_rom_range,anim_tiles_grunt_moving,anim_tiles_grunt_moving,Verified
0x590A6,0x59125,128,named_rom_range,anim_tiles_demon,anim_tiles_demon,Verified
0x59126,0x591A5,128,named_rom_range,anim_tiles_demon_moving,anim_tiles_demon_moving,Verified
0x591A6,0x59225,128,named_rom_range,anim_tiles_lobber,anim_tiles_lobber,Verified
0x59226,0x592A5,128,named_rom_range,anim_tiles_sorcerer_moving,anim_tiles_sorcerer_moving,Verified
0x592A6,0x592B5,16,named_rom_range,anim_tiles_death,anim_tiles_death,Verified
0x592B6,0x59325,112,named_rom_range,anim_tiles_death;anim_tiles_death_moving_view,anim_tiles_death;anim_tiles_death_moving_view,Verified
0x59326,0x59335,16,named_rom_range,anim_tiles_death_moving_view,anim_tiles_death_moving_view,Verified
0x59336,0x593B5,128,named_rom_range,anim_tiles_acid,anim_tiles_acid,Verified
0x593B6,0x59435,128,named_rom_range,anim_tiles_acid_moving,anim_tiles_acid_moving,Verified
0x59436,0x594B5,128,named_rom_range,anim_tiles_it,anim_tiles_it,Verified
0x594B6,0x59535,128,named_rom_range,anim_tiles_it_special,anim_tiles_it_special,Verified
0x59536,0x595B5,128,named_rom_range,anim_tiles_monster_special_attack,anim_tiles_monster_special_attack,Verified
0x595B6,0x59635,128,named_rom_range,anim_tiles_lobber_throw,anim_tiles_lobber_throw,Verified
0x59636,0x596B5,128,named_rom_range,anim_tiles_monster_special_state,anim_tiles_monster_special_state,Verified
0x596B6,0x596C1,12,named_rom_range,shot_damage_base_tbl,shot_damage_base_tbl,Verified
0x596C2,0x596CD,12,named_rom_range,shot_damage_rand_tbl,shot_damage_rand_tbl,Verified
0x596CE,0x596F5,40,named_rom_range,monstshot_damage_tbl,monstshot_damage_tbl,Verified
0x596F6,0x59735,64,named_rom_range,speech_charname_tbl,speech_charname_tbl,Verified
0x59736,0x59785,80,named_rom_range,hint_text_ptrs,hint_text_ptrs,Verified
0x59786,0x598B5,304,named_rom_range,hint_text_strings,"Hint text strings (“TRY TRANSPORTABILITY”, “WATCH WHAT YOU SHOOT”, etc.), exact range 0x59786–0x598B5",Verified
0x598B6,0x599FF,330,named_rom_range,hint_speech_records,"Hint records with speech IDs, exact range 0x598B6–0x599FF; records are 10-byte units combining command/speech metadata and a ROM string pointer",Verified
0x59A00,0x59B53,340,named_rom_range,gameplay_tip_strings,"Gameplay tip strings (“MORE PLAYERS ALLOWS HIGHER / BONUS MULTIPLIER”, etc.), exact range 0x59A00–0x59B53 before the maze-decompression pointer table",Verified
0x59B54,0x59B63,16,named_rom_range,maze_decomp_type_ptrs,maze_decomp_type_ptrs,Verified
0x59B64,0x59B7B,24,named_rom_range,powerup_bit_masks,powerup_bit_masks,Verified
0x59B7C,0x59BAB,48,named_rom_range,powerup_speech_ids,powerup_speech_ids,Verified
0x59BAC,0x5A1FF,1620,named_rom_range,first_encounter_message_records,first_encounter_message_records,Verified
0x5A200,0x5A27F,128,named_rom_range,first_encounter_message_ptrs,first_encounter_message_ptrs,Verified
0x5A280,0x5A2FF,128,named_rom_range,first_encounter_speech_ids,first_encounter_speech_ids,Verified
0x5A300,0x5A37F,128,named_rom_range,first_encounter_alt_message_ptrs,first_encounter_alt_message_ptrs,Verified
0x5A380,0x5A4FF,384,named_rom_range,powerup_name_strings,powerup_name_strings,Verified
0x5A500,0x5A53F,64,named_rom_range,powerup_name_ptrs,powerup_name_ptrs,Verified
0x5A540,0x5A56D,46,named_rom_range,monster_legend_labels,"Monster-legend header/value strings (“Type”, “Fight”, “Shoot”, “Magic”, blank, “NO”, “YES”, “STUN”), ending at 0x5A56D",Verified
0x5A56E,0x5A66F,258,named_rom_range,monster_legend_cells,monster_legend_cells,Verified
0x5A670,0x5A6DD,110,named_rom_range,monster_object_name_strings,"Monster/object name strings: “GHOST”, “GRUNT”, “DEMON”, “LOBBER”, “SORCERER”, etc.; exact range 0x5A670–0x5A6DD",Verified
0x5A6DE,0x5A7F9,284,named_rom_range,legend_powerup_desc_chain,legend_powerup_desc_chain,Verified
0x5A7FA,0x5A86D,116,named_rom_range,legend_object_desc_chain,legend_object_desc_chain,Verified
0x5A86E,0x5A8CB,94,named_rom_range,legend_wallfloor_desc_chain,legend_wallfloor_desc_chain,Verified
0x5A8CC,0x5A9A7,220,named_rom_range,legend_credit_roles_chain,legend_credit_roles_chain,Verified
0x5A9A8,0x5AA67,192,named_rom_range,legend_credit_name_strings,legend_credit_name_strings,Verified
0x5AA68,0x5AB19,178,named_rom_range,legend_credit_names_chain,legend_credit_names_chain,Verified
0x5AB1A,0x5AB25,12,named_rom_range,treasure_bonus_coin_label,treasure_bonus_coin_label,Verified
0x5AB26,0x5AB31,12,named_rom_range,treasure_bonus_treasure_label,treasure_bonus_treasure_label,Verified
0x5AB32,0x5AB39,8,named_rom_range,treasure_bonus_equals_label,treasure_bonus_equals_label,Verified
0x5AB3A,0x5AB45,12,named_rom_range,treasure_no_bonus_label,treasure_no_bonus_label,Verified
0x5AB46,0x5AB57,18,named_rom_range,treasure_5000_coin_label,treasure_5000_coin_label,Verified
