address,name,region,sites,owners,opcodes,confidence
0x00904FF8,ram.vblank_counter,video_or_work_ram,0x3BFE;0x4336;0x489E;0x48A4,eeprom_process;update_active_player_time_stats;wait_vblank_counter_ticks,"addq.l 0x1, 0x904ff8.l;move.l 0x904ff8.l, d0;move.l 0x904ff8.l, d1;move.l 0x904ff8.l, d2",Verified
0x00904FFA,ram.eeprom_init_timeout_counter_byte,video_or_work_ram,0x44D0,eeprom_init,tst.b 0x904ffa.l,Verified
0x00904FFC,ram.eeprom_config_ptr,video_or_work_ram,0x35DA;0x35E0;0x3708;0x386C;0x38C8;0x38CE;0x39E2;0x3AA8;0x3D2E;0x3F80;0x4046;0x446C;0x4494;0x4526,eeprom_init;eeprom_process;get_coin_multiplier;process_coins;rank_high_score;read_eeprom_setting;read_game_config;read_high_score_entry;record_player_session_histogram;write_game_config;write_high_score_entry,"add.l 0x904ffc.l, d0;move.l 0x904ffc.l, d0;move.l 0x904ffc.l, d1;move.l 0x904ffc.l, d6;move.l a7, 0x904ffc.l;movea.l 0x904ffc, a1;movea.l 0x904ffc.l, a0;movea.l 0x904ffc.l, a1;movea.l 0x904ffc.l, a2",Verified
0x00904FFE,vram.spare_last_word,video_or_work_ram,0x03A6;0x0642,normal_boot;selftest_boot,"lea.l 0x904ffe.l, a2",Verified
0x00905000,vram.alpha,video_or_work_ram,0x04FC;0x06BA;0x0F9C;0x10C2;0x1468;0x1634;0x2D0C;0x2D18;0x2D78;0x2DE0;0x2F42;0x307C;0x3090;0x3214;0x337A;0x3540;0x3586,calc_alpha_address;clear_large_text;clear_text_descriptor_chain;copy_test_tile_rows_to_alpha;display_init_clear;display_large_text;draw_string;draw_string_register;init_alpha_display;normal_boot_playfield_test_done;os_selftest_loop;rotate_text_line_forward;rotate_text_line_forward_register;rotate_text_line_reverse;rotate_text_line_reverse_register;run_color_test;scroll_alpha_surface_one_step;selftest_boot_alpha_test_done;selftest_boot_playfield_test_done;write_alpha_char;write_alpha_char_register;write_alpha_word,"addi.l 0x905000, d0;lea.l 0x905000.l, a0;lea.l 0x905000.l, a1;movea.l 0x905000, a0;movea.l 0x905000, a1",Verified
0x00905006,vram.alpha+0x6,video_or_work_ram,0x1082,run_color_test,"movea.l 0x905006, a1",Verified
0x00905048,vram.alpha+0x48,video_or_work_ram,0x10A4,run_color_test,"movea.l 0x905048, a1",Verified
0x0090510A,vram.alpha+0x10A,video_or_work_ram,0x1834;0x184A;0x1864;0x187E;0x1898;0x18B2;0x18CC;0x18E6;0x1900;0x191E;0x193A;0x1958;0x1972;0x198C;0x19AC;0x19CA;0x19EA;0x1A04,run_alpha_test,"addi.l 0x90510a, d0",Verified
0x00905E80,vram.alpha_color_test_bottom_row,video_or_work_ram,0x10E0,run_color_test,"movea.l 0x905e80, a1",Verified
0x00905F6E,vram.pf_vscroll_reg,video_or_work_ram,0x0E7C,os_vblank_handler,"move.w d0, 0x905f6e.l",Verified
0x00905FFE,vram.alpha_last_word,video_or_work_ram,0x0502;0x06C0;0x163C,display_init_clear;normal_boot_playfield_test_done;selftest_boot_alpha_test_done;selftest_boot_playfield_test_done,"cmpi.l 0x905ffe, d2;lea.l 0x905ffe.l, a2",Verified
0x00906D00,diag.working_ram_error_text,video_or_work_ram,0x0C66,display_working_ram_error,"lea.l 0x906d00.l, a2",Verified
0x00910000,vram.color_alpha,video_or_work_ram,0x040E;0x042A;0x0486;0x061E;0x0666;0x0714;0x072C;0x0FDA;0x11FC;0x4C3C,color_test_palette_init;init_operator_alpha_palette;main_init_cont;normal_boot;normal_boot_mob_test_done;normal_boot_spare_error_resume;run_color_test;selftest_boot_color_test_done;selftest_boot_playfield_test_done;selftest_boot_spare_error_ack;selftest_boot_spare_test_done,"clr.w 0x910000.l;lea.l 0x910000.l, a0;lea.l 0x910000.l, a1;move.w 0x0, 0x910000.l;movea.l 0x910000, a0;movea.l 0x910000, a1",Verified
0x00910002,vram.color_alpha_entry1,video_or_work_ram,0x0734;0x1202;0x1492;0x14F0,color_test_palette_init;main_init_cont;normal_boot_mob_test_done;os_selftest_loop,"move.w (a0, d0.w), 0x910002.l;move.w 0x1fff, 0x910002.l;move.w 0xf00f, 0x910002.l",Verified
0x00910004,vram.color_alpha_entry2,video_or_work_ram,0x073C;0x120A,color_test_palette_init;main_init_cont;normal_boot_mob_test_done,"move.w 0x7fff, 0x910004.l;move.w 0xf00f, 0x910004.l",Verified
0x00910006,vram.color_alpha_entry3,video_or_work_ram,0x0744;0x1212,color_test_palette_init;main_init_cont;normal_boot_mob_test_done,"move.w 0xbfff, 0x910006.l;move.w 0xf00f, 0x910006.l",Verified
0x00910008,vram.color_alpha_entry4,video_or_work_ram,0x121A;0x1526,color_test_palette_init;os_selftest_loop,"clr.w 0x910008.l;move.w 0xfccc, 0x910008.l",Verified
0x0091000A,vram.color_alpha_entry5,video_or_work_ram,0x1220;0x152E,color_test_palette_init;os_selftest_loop,clr.w 0x91000a.l,Verified
0x0091000C,vram.color_alpha_entry6,video_or_work_ram,0x1534,os_selftest_loop,"move.w 0xf888, 0x91000c.l",Verified
0x0091000E,vram.color_alpha_entry7,video_or_work_ram,0x153C,os_selftest_loop,"move.w 0xffff, 0x91000e.l",Verified
0x00910200,vram.color_mob,video_or_work_ram,0x169E;0x1C02;0x1C2C,load_color_test_palettes;run_motion_object_test,"addi.l 0x910200, d1;addi.l 0x910200, d7;movea.l 0x910200, a1",Verified
0x00910400,vram.color_pf_shadow,video_or_work_ram,0x16B6,load_color_test_palettes,"movea.l 0x910400, a1",Verified
0x00910500,vram.color_pf,video_or_work_ram,0x074C;0x168C;0x16DA;0x1822,display_init_clear;load_color_test_palettes;main_init_cont;normal_boot_mob_test_done;run_alpha_test,"clr.w 0x910500.l;move.w 0x0, 0x910500.l;move.w 0xa7bb, 0x910500.l;movea.l 0x910500, a1",Verified
0x0091051E,vram.color_pf_entry15,video_or_work_ram,0x151E;0x15D0,os_selftest_loop,"move.w (a0, d0.w), 0x91051e.l;move.w 0xffff, 0x91051e.l",Verified
0x009107FE,vram.color_last_word,video_or_work_ram,0x0414;0x0624;0x066C;0x071A,main_init_cont;normal_boot;normal_boot_mob_test_done;normal_boot_spare_error_resume;selftest_boot_color_test_done;selftest_boot_spare_error_ack;selftest_boot_spare_test_done,"lea.l 0x9107fe.l, a1;lea.l 0x9107fe.l, a2",Verified
