start,end_exclusive,size_bytes,name,format_and_purpose,reachability,confidence
0x860C,0x8702,246,legacy_object_motion_tables,"word offsets, longword picture values, packed MOB attributes, and byte direction records",retained module; unreachable in supplied Gauntlet II,Strong inference
0x8A64,0x8A84,32,legacy_object_proximity_thresholds,sixteen per-object-type distance thresholds selected by caller_word / 4 at 0x8780-0x878E and compared against absolute horizontal and vertical deltas at 0x879A/0x87A0,retained module; unreachable in supplied Gauntlet II,Strong inference
0x9A10,0x9BD8,456,legacy_game_option_stream,tagged option prompts and NUL-terminated choice strings,retained module; unreachable in supplied Gauntlet II,Strong inference
0x9BD8,0x9D1C,324,legacy_level_display_tables,"level/status constants, glyph maps, and small animation lookup tables",retained module; unreachable in supplied Gauntlet II,Strong inference
0x9D1C,0xA020,772,legacy_status_text_descriptors,"display descriptors, treasure/coin/continue strings, pointer arrays, and status constants",retained module; unreachable in supplied Gauntlet II,Strong inference
0xA020,0xBD3C,7452,legacy_pointer_and_numeric_tables_a,"begins with a word-pointer array targeting 0x9D18 onward, then word/byte gameplay, movement, object, animation, and tile lookup data",retained module; unreachable in supplied Gauntlet II,Strong inference
0xBD3C,0xBE7C,320,legacy_factory_high_scores,"four 10-entry tables of {score longword, three initials bytes, pad byte}",retained module; unreachable in supplied Gauntlet II,Strong inference
0xBE7C,0xBEF6,122,legacy_high_score_text,display descriptors and NUL-terminated score/name-entry strings,retained module; unreachable in supplied Gauntlet II,Strong inference
0xBEF6,0xC140,586,legacy_name_entry_and_gameplay_tables,name-entry glyph/control stream followed by word/byte gameplay lookup tables,retained module; unreachable in supplied Gauntlet II,Strong inference
0xC140,0xC3D0,656,legacy_tutorial_descriptor_stream,"blank/text display descriptors, tutorial strings, and descriptor pointer table",retained module; unreachable in supplied Gauntlet II,Strong inference
0xC3D0,0xD46A,4250,legacy_gameplay_numeric_tables_b,"object, animation, maze-display, and tile lookup data",retained module; unreachable in supplied Gauntlet II,Strong inference
0xD46A,0xE086,3100,legacy_hint_and_legend_stream,"NUL-terminated hint/legend text, display descriptors, and pointer tables",retained module; unreachable in supplied Gauntlet II,Strong inference
0xE086,0xE450,970,legacy_legend_and_credit_text,"legend labels, item-name pointer tables, credit descriptors, and credit strings",retained module; unreachable in supplied Gauntlet II,Strong inference
0xE450,0xF140,3312,legacy_descriptor_and_tile_tables,"display descriptor chains plus gameplay, animation, and tile-number lookup data",retained module; unreachable in supplied Gauntlet II,Strong inference
0xF140,0xF9FA,2234,legacy_palette_and_graphics_tables,palette words and packed graphics/tile pattern data,retained module; unreachable in supplied Gauntlet II,Strong inference
