address,flag_name,size_bytes,confidence,classification,consumers,access,sample_sites,review
0x40D78,monster_kill_score_by_multiplier,18,Verified,direct,monster_update_anim_tile,a;rw,monster_update_anim_tile@0x41630#a,
0x40D8A,monster_shoot_axis_thresholds,40,Verified,direct,monster_find_and_shoot,a;rw,monster_find_and_shoot@0x4181C#a;monster_find_and_shoot@0x418EC#a,
0x40DB2,monster_anim_idle_ptrs,40,Verified,direct,handle_generate;mob_collision_test;monster_update_anim_tile,a;rl,handle_generate@0x49408#a;mob_collision_test@0x523C0#rl;monster_update_anim_tile@0x414A4#a,
0x40DDA,monster_anim_moving_ptrs,40,Verified,direct,monster_special_handler,a,monster_special_handler@0x411B0#a;monster_special_handler@0x413DC#a,
0x40E02,monster_level_flag_overrides,28,Verified,direct,monsters_everything,a;rb,monsters_everything@0x40F40#a,
0x40E1E,monster_oddangle_table,40,Verified,direct,monster_special_handler,a;rb,monster_special_handler@0x411BA#a;monster_special_handler@0x413E8#a;monster_special_handler@0x413F0#a;monster_special_handler@0x41436#a,
0x40E46,monster_spawn_probability_table,32,Verified,direct,monsters_everything,a;rb,monsters_everything@0x40F70#a,
0x40E66,monster_spawn_probability_bonus_bytes,4,Verified,direct,maze_addrandompickups;player_start_inner,a;rb,maze_addrandompickups@0x44110#a;player_start_inner@0x48EF0#a,
0x41BD0,player_character_collision_block_matrix,32,Verified,direct,player_try_move_core,a,player_try_move_core@0x41E12#a;player_try_move_core@0x4201A#a;player_try_move_core@0x4224E#a;player_try_move_core@0x4245A#a,
0x45C46,door_open_direction_jumptbl,8,Verified,unreferenced,-,-,-,
0x49620,monster_playerhit_jumptbl,20,Verified,unreferenced,-,-,-,
0x4A4FA,stun_direction_remap,64,Verified,direct,main_move_players,a;rb,main_move_players@0x4A8D8#a,
0x4B338,resolve_shot_hit_jumptbl,124,Verified,unreferenced,-,-,-,
0x4FE08,richest_player_tie_jumptbl,16,Verified,unreferenced,-,-,-,
0x51200,player_tile_lowtype_jumptbl,16,Verified,unreferenced,-,-,-,
0x5122A,player_tile_object_jumptbl,34,Verified,unreferenced,-,-,-,
0x52210,mob_collision_object_jumptbl,106,Verified,unreferenced,-,-,-,
0x5318C,game_options_descriptor_stream,442,Verified,direct,game_options_display,a,game_options_display@0x5317C#a,
0x538FE,shot_reflect_center_jumptbl,10,Verified,unreferenced,-,-,-,
0x53924,shot_reflect_neg42_jumptbl,10,Verified,unreferenced,-,-,-,
0x53948,shot_reflect_neg22_jumptbl,10,Verified,unreferenced,-,-,-,
0x5396A,shot_reflect_pos1e_jumptbl,10,Verified,unreferenced,-,-,-,
0x53992,shot_reflect_pos3e_jumptbl,10,Verified,unreferenced,-,-,-,
0x54BD6,dragon_head_hitbox_offsets,10,Verified,direct,dragon_shot_hitbox_adjust,?;a;rw,dragon_shot_hitbox_adjust@0x54B7E#a,
0x54CA6,secret_code_alphabet,32,Verified,direct,secret_code_build,?;a;rb,secret_code_build@0x54C1A#a,
0x54CC6,secret_code_crc16_table,512,Verified,direct,secret_code_build,?;a;rb,secret_code_build@0x54BEE#a,
0x55512,dead_name_entry_epilogue_fragments,60,Verified,unreferenced,-,-,-,
0x56F5C,dead_slapstic_verify_suffix,76,Verified,unreferenced,-,-,-,
0x56FA8,pad_56fa8,88,Verified,unreferenced,-,-,-,
0x57000,residue_word_57000,2,Verified,unreferenced,-,-,-,
0x57002,character_announcement_speech_ptrs,16,Verified,direct,coincheck;player_coindrop,a;rl,coincheck@0x42CB0#a;player_coindrop@0x488FE#a,
0x57012,random_maze_flags,52,Verified,direct,get_random_maze_flags,a;rl,get_random_maze_flags@0x436DC#a,
0x57046,slapstic_bitwise_addr_a,8,Verified,direct,slapstic_cmd_bitwise,a;rw,slapstic_cmd_bitwise@0x4383A#a,
0x5704E,slapstic_bitwise_addr_b,8,Verified,direct,slapstic_cmd_bitwise,a;rw,slapstic_cmd_bitwise@0x4385E#a,
0x57056,challenge_target_object_types,28,Verified,direct,maze_new_level_setup,a;rw,maze_new_level_setup@0x43C2E#a,
0x57072,character_select_instruction_chain,66,Verified,direct,start_attract_to_game,a,start_attract_to_game@0x44340#a,
0x570B4,portrait_display_offsets,8,Verified,direct,start_attract_to_game,a;rb,start_attract_to_game@0x442D2#a;start_attract_to_game@0x442E2#a,
0x570BC,portrait_alpha_words,8,Verified,direct,start_attract_to_game,a;rw,start_attract_to_game@0x44308#a,
0x570C4,portrait_sprite_words,8,Verified,direct,start_attract_to_game,a;rw,start_attract_to_game@0x44324#a,
0x570CC,portrait_alpha_dest_ptrs,16,Verified,direct,start_attract_to_game,a;rl,start_attract_to_game@0x442FA#a,
0x570DC,portrait_sprite_dest_ptrs,16,Verified,direct,start_attract_to_game,a;rl,start_attract_to_game@0x44316#a,
0x570EC,joystick_direction_bitmasks,32,Verified,unreferenced,-,-,-,unreferenced_unexpected
0x5710C,floor_palette_color_indices,108,Verified,direct,init_display,a;rw,init_display@0x43652#a,
0x57178,service_instruction_text_chain,96,Verified,direct,eeprom_load_config,a,eeprom_load_config@0x430C0#a,
0x571D8,forcefield_delay_alignment,2,Verified,unreferenced,-,-,-,unreferenced_unexpected
0x571DA,forcefield_cycle_delay_profiles,32,Verified,indirect,maze_setupnew,-,ptr:forcefield_cycle_delay_ptrs,
0x571FA,forcefield_cycle_delay_ptrs,16,Verified,direct,maze_setupnew,a,maze_setupnew@0x44C00#a,
0x5720A,secret_player_palette_words,8,Verified,direct,show_level_start_screen,a;rw,show_level_start_screen@0x44FA4#a,
0x57212,player_color_name_ptrs,16,Verified,direct,show_level_start_screen,a;rl,show_level_start_screen@0x44FB8#a,
0x57222,player_color_name_strings,32,Verified,indirect,show_level_start_screen,-,ptr:player_color_name_ptrs,
0x57242,character_name_ptrs,16,Verified,direct,show_level_start_screen,a;rl,show_level_start_screen@0x44FE4#a,
0x57252,character_name_strings,40,Verified,indirect,show_level_start_screen,-,ptr:character_name_ptrs,
0x5727A,level_start_message_strings,180,Verified,direct,setup_infopanel;show_level_start_screen,a,setup_infopanel@0x45332#a;show_level_start_screen@0x44F84#a;show_level_start_screen@0x45002#a;show_level_start_screen@0x45018#a,
0x5732E,level_start_row_bytes,6,Verified,direct,player_inv_update,a;rb,player_inv_update@0x45BBA#a,
0x57334,level_start_attr_words,12,Verified,direct,player_inv_update,a;rw,player_inv_update@0x45BA8#a,
0x57340,character_hud_text_ptrs,16,Verified,direct,setup_infopanel;start_attract_to_game,a;rl,setup_infopanel@0x454CC#a;start_attract_to_game@0x442C6#a,
0x57350,player_text_palette_words,8,Verified,direct,attract_highscores;demo_message_show;dialog_first_encounter;draw_player_health;draw_player_initials_entry;draw_player_score;player_death_sequence;player_give_item_with_message;secret_name_entry_update;setup_infopanel,a;rw,attract_highscores@0x4A1E4#a;demo_message_show@0x4CA54#a;dialog_first_encounter@0x4C5AA#a;draw_player_health@0x459C0#a,
0x57358,treasure_room_duration,8,Verified,direct,show_level_start_screen,a;rw,show_level_start_screen@0x44F24#a,
0x57360,challenge_timer_base,28,Verified,direct,show_level_start_screen,a;rw,show_level_start_screen@0x44E4E#a,
0x5737C,challenge_timer_random_minutes,28,Verified,direct,show_level_start_screen,a;rw,show_level_start_screen@0x44E66#a,
0x57398,challenge_shared_qualifier_text,60,Verified,indirect,show_level_start_screen,-,ptr:challenge_qualifier_descs,
0x573D4,challenge_qualifier_descs,112,Verified,direct,show_level_start_screen,a;rl,show_level_start_screen@0x45078#a;show_level_start_screen@0x45098#a;show_level_start_screen@0x4509E#a,
0x57444,challenge_unique_qualifier_text,104,Verified,indirect,show_level_start_screen,-,ptr:challenge_qualifier_descs,
0x574AC,challenge_it_desc,8,Verified,direct,show_level_start_screen,a,show_level_start_screen@0x450B6#a,
0x574B4,challenge_it_text,4,Verified,indirect,show_level_start_screen,-,ptr:challenge_it_desc,
0x574B8,character_glyph_rows,102,Verified,direct,setup_infopanel,a,setup_infopanel@0x454EC#a,
0x5751E,ui_status_strings,90,Verified,direct,setup_infopanel,a,setup_infopanel@0x45598#a;setup_infopanel@0x4561E#a;setup_infopanel@0x45668#a;setup_infopanel@0x456EE#a,
0x57578,dip_switch_display_records,188,Verified,direct,setup_infopanel,a,setup_infopanel@0x45324#a;setup_infopanel@0x45374#a;setup_infopanel@0x453A0#a;setup_infopanel@0x453B8#a,
0x57634,continue_screen_header,16,Verified,direct,show_level_start_screen,a,show_level_start_screen@0x451E0#a,
0x57644,continue_blank_line,20,Verified,direct,show_continue_prompt,a,show_continue_prompt@0x44D18#a;show_continue_prompt@0x44D86#a,
0x57658,continue_press_start,20,Verified,direct,show_continue_prompt,a,show_continue_prompt@0x44D2E#a,
0x5766C,continue_within_seconds,20,Verified,direct,show_continue_prompt,a,show_continue_prompt@0x44D44#a,
0x57680,continue_game_line,20,Verified,direct,show_continue_prompt,a,show_continue_prompt@0x44D5A#a,
0x57694,continue_level_line,20,Verified,direct,show_continue_prompt,a,show_continue_prompt@0x44D70#a,
0x576A8,heartbeat_mask_table,14,Verified,direct,main_health_countdown,a;rw,main_health_countdown@0x46BC4#a,
0x576B6,score_star_picture_cycle,28,Verified,direct,main_score_update,a;rw,main_score_update@0x47440#a,
0x576D2,score_effect_picture_cycle_a,8,Verified,direct,main_score_update,a;rw,main_score_update@0x47492#a,
0x576DA,score_effect_picture_cycle_b,8,Verified,direct,main_score_update,a;rw,main_score_update@0x474D6#a,
0x576E2,shot_velocity_x,176,Verified,direct,main_handle_shots,a;rw,main_handle_shots@0x4787A#a;main_handle_shots@0x478E8#a;main_handle_shots@0x47954#a;main_handle_shots@0x47986#a,
0x57792,shot_velocity_y,176,Verified,direct,main_handle_shots,a;rw,main_handle_shots@0x47898#a;main_handle_shots@0x4790C#a;main_handle_shots@0x479AA#a,
0x57842,player_power_palette_handler_ptrs,16,Verified,direct,player_start_inner,a;rl,player_start_inner@0x48D1E#a,
0x57852,player_hurt_palette_handler_ptrs,16,Verified,direct,player_start_inner,a;rl,player_start_inner@0x48D42#a,
0x57862,health_per_coin_table,64,Verified,direct,coincheck;player_coindrop;setup_infopanel,a;rw,coincheck@0x42C20#a;player_coindrop@0x488EC#rw;player_coindrop@0x4891C#rw;player_coindrop@0x4893A#a,
0x578A2,spawn_candidate_column_delta,16,Verified,direct,nearby_mob_clearance_test;player_start_inner;supersorc_place;tile_occupancy_test,a;rw,nearby_mob_clearance_test@0x50D68#a;player_start_inner@0x48C4A#a;supersorc_place@0x5FEC8#a;tile_occupancy_test@0x48F82#a,
0x578B2,spawn_candidate_row_delta,16,Verified,direct,nearby_mob_clearance_test;player_start_inner;supersorc_place;tile_occupancy_test,a;rw,nearby_mob_clearance_test@0x50D50#a;player_start_inner@0x48C34#a;supersorc_place@0x5FEB6#a;tile_occupancy_test@0x48F6C#a,
0x578C2,shot_counter_reload,24,Verified,direct,dragon_fire_setup;main_handle_shots;monster_create_shot,a;rw,dragon_fire_setup@0x5489A#a;main_handle_shots@0x475FA#a;main_handle_shots@0x4760A#a;monster_create_shot@0x4916E#a,
0x578DA,random_item_group_ptrs,16,Verified,direct,main_health_countdown;player_tile_interact,a;rl,main_health_countdown@0x46B06#a;player_tile_interact@0x516A8#a;player_tile_interact@0x51C94#a,
0x578EA,random_item_group_counts,8,Verified,direct,main_health_countdown;player_tile_interact,a;rw,main_health_countdown@0x46AE8#a;player_tile_interact@0x51688#a;player_tile_interact@0x51C74#a,
0x578F2,score_spin_picture_cycle,24,Verified,direct,main_score_update,a;rw,main_score_update@0x4729A#a;main_score_update@0x472BE#a;main_score_update@0x4738A#a;main_score_update@0x473B6#a,
0x5790A,start_game_player_count_sounds,16,Verified,direct,main_start_game,a;rl,main_start_game@0x48388#a,
0x5791A,random_item_group_values,24,Verified,indirect,main_health_countdown;player_tile_interact,-,ptr:random_item_group_ptrs,
0x57932,player_transition_sound_ids,16,Verified,direct,main_health_countdown,a;rl,main_health_countdown@0x46B20#a,
0x57942,heartbeat_sound_table,16,Verified,direct,main_health_countdown,a;rl,main_health_countdown@0x46BE8#a,
0x57952,player_coin_sound_ids,16,Verified,direct,player_join_finalize,a;rl,player_join_finalize@0x48AB2#a,
0x57962,early_level_speech_choices,12,Verified,direct,main_start_game,a;rl,main_start_game@0x483A4#a,
0x5796E,later_level_speech_choices,12,Verified,direct,main_start_game,a;rl,main_start_game@0x483E8#a,
0x5797A,character_lowhealth_speech,16,Verified,direct,player_lowhealth,a;rl,player_lowhealth@0x48892#a,
0x5798A,generator_spawn_object_type,36,Verified,direct,handle_generate,a;rw,handle_generate@0x4936E#a,
0x579AE,generator_spawn_vpos_correction,36,Verified,direct,handle_generate,a;rw,handle_generate@0x493D8#a,
0x579D2,death_potion_score_table,16,Verified,direct,death_potion_score,a;rw,death_potion_score@0x49482#a,
0x579E2,death_potion_popup_type_table,16,Verified,direct,death_potion_score,a;rw,death_potion_score@0x49466#a,
0x579F2,score_popup_picture_table,60,Verified,direct,playfield_showscore,a;rw,playfield_showscore@0x494EC#a,
0x57A2E,monster_contact_damage_table,128,Verified,direct,monster_playerhit,a;rw,monster_playerhit@0x497AE#a;monster_playerhit@0x4981E#a;monster_playerhit@0x499F0#a,
0x57AAE,character_hurt_sound_banks,132,Verified,indirect,player_hurt_speech_timer,-,ptr:character_hurt_sound_ptrs,
0x57B32,hurt_speech_cooldown_base,10,Verified,direct,player_hurt_speech_timer,a;rw,player_hurt_speech_timer@0x49AD8#a,
0x57B3C,character_hurt_sound_ptrs,16,Verified,direct,player_hurt_speech_timer,a;rl,player_hurt_speech_timer@0x49B26#a,
0x57B4C,character_hurt_sound_counts,4,Verified,direct,player_hurt_speech_timer,a;rb,player_hurt_speech_timer@0x49B08#a,
0x57B50,generator_cell_dx,24,Verified,direct,handle_generate,a;rw,handle_generate@0x49344#a,
0x57B68,generator_cell_dy,24,Verified,direct,handle_generate,a;rw,handle_generate@0x4932A#a,
0x57B80,generator_spawn_direction,24,Verified,direct,handle_generate,a;rw,handle_generate@0x4937C#a;handle_generate@0x493EC#a,
0x57B98,monster_shot_spawn_h_offset,16,Verified,direct,monster_create_shot,a;rw,monster_create_shot@0x491B0#a,
0x57BA8,monster_shot_spawn_v_offset,16,Verified,direct,monster_create_shot,a;rw,monster_create_shot@0x491C4#a,
0x57BB8,lobber_shot_spawn_h_offset,16,Verified,direct,monster_create_shot;monster_find_and_shoot,a;rb;rw,monster_create_shot@0x491F6#a;monster_find_and_shoot@0x419E8#a,mixed_read_width
0x57BC8,lobber_shot_spawn_v_offset,16,Verified,direct,monster_create_shot;monster_find_and_shoot,a;rb;rw,monster_create_shot@0x49202#a,mixed_read_width
0x57BD8,dead_tile_word_block,738,Verified,unreferenced,-,-,-,
0x57EBA,factory_highscore_records,320,Verified,direct,highscore_table_init,a,highscore_table_init@0x49C70#a,
0x57FFA,score_coin_initials_records,118,Verified,direct,attract_highscores;draw_player_initials_entry,a,attract_highscores@0x4A17A#a;attract_highscores@0x4A186#a;attract_highscores@0x4A192#a;attract_highscores@0x4A19E#a,
0x58070,invisibility_flash_masks,32,Verified,direct,main_move_players,a;rw,main_move_players@0x4AC54#a,
0x58090,fighting_anim_end,8,Verified,direct,main_handle_shots;main_move_players,a;rw,main_handle_shots@0x47BA4#a;main_move_players@0x4A97E#a;main_move_players@0x4A9CC#a;main_move_players@0x4ABDA#a,
0x58098,demo_stream_ptrs,16,Verified,direct,main_move_players,a;rb;rl,main_move_players@0x4A5D8#a,
0x580A8,player_speed_normal,16,Verified,direct,main_move_players,a;rw,main_move_players@0x4A93C#a,
0x580B8,player_anim_rate,16,Verified,direct,main_move_players,a;rw,main_move_players@0x4A946#a,
0x580C8,lobber_lead_distance,16,Verified,resolved,monster_find_and_shoot,rw,monster_find_and_shoot@0x419A6#rw,
0x580D8,player_delta_x,18,Verified,resolved,monster_find_and_shoot,rw,monster_find_and_shoot@0x419AC#rw,
0x580EA,player_delta_y,18,Verified,resolved,monster_find_and_shoot,rw,monster_find_and_shoot@0x419B0#rw,
0x580FC,joystick_nibble_to_direction,32,Verified,direct,corner_squeeze_geometry;monster_find_and_shoot;tport_player_move,a;rw,corner_squeeze_geometry@0x4FF02#a;monster_find_and_shoot@0x4199A#a;tport_player_move@0x506F0#a,
0x5811C,fight_direction_map,32,Verified,direct,main_move_players,a;rw,main_move_players@0x4A998#a,
0x5813C,forcefield_damage_table,32,Verified,direct,main_move_players,a;rl,main_move_players@0x4AA96#a,
0x5815C,dialog_tip_ptrs,48,Verified,direct,demo_message_show,a;rl,demo_message_show@0x4C9C2#a,
0x5818C,demo_player0_input_stream,56,Verified,indirect,main_move_players,-,ptr:demo_stream_ptrs,
0x5818C,demo_input_streams,56,Verified,indirect,main_move_players,-,ptr:demo_stream_ptrs,
0x581C4,demo_player1_input_stream,150,Verified,indirect,main_move_players,-,ptr:demo_stream_ptrs,
0x5825A,demo_player2_input_stream,2,Verified,indirect,main_move_players,-,ptr:demo_stream_ptrs,
0x5825C,demo_player3_input_stream,48,Verified,indirect,main_move_players,-,ptr:demo_stream_ptrs,
0x5828C,dialog_tip_records,642,Verified,indirect,demo_message_show,-,ptr:dialog_tip_ptrs,
0x5850E,attract_display_run_ctrl,125,Verified,direct,load_attract_display_tilemap,?;a;rb,load_attract_display_tilemap@0x443AA#a,
0x5858B,pad_5858b,1,Verified,unreferenced,-,-,-,
0x5858C,mazeobj_hpos_correction_tbl,128,Verified,direct,dragon_shot_hit;main_exit_move;maze_new_level_setup;maze_place_object;maze_randomplace;maze_tile_write_at;mob_collision_test;pf_replace;resolve_shot_hit;thief_remove_and_drop_loot,a;rw,dragon_shot_hit@0x5433E#rw;dragon_shot_hit@0x543DE#rw;main_exit_move@0x529A6#rw;maze_new_level_setup@0x43CC0#rw,
0x5860C,mazeobj_vpos_offset_tbl,64,Verified,direct,dragon_shot_hit;handle_generate;main_health_countdown;maze_new_level_setup;maze_place_object;maze_randomplace;maze_tile_write_at;mob_collision_test;pf_replace;resolve_shot_hit;thief_remove_and_drop_loot,a;rb,dragon_shot_hit@0x54322#rb;dragon_shot_hit@0x543C2#rb;handle_generate@0x49394#a;main_health_countdown@0x46802#rb,
0x5864C,mazeobj_hsize_tier_tbl,64,Verified,direct,dragon_shot_hit;handle_generate;main_health_countdown;maze_new_level_setup;maze_place_object;maze_randomplace;maze_tile_write_at;mob_collision_test;monster_playerhit;monster_update_anim_tile;pf_replace;resolve_shot_hit;thief_remove_and_drop_loot,a;rb,dragon_shot_hit@0x54332#rb;dragon_shot_hit@0x543D2#rb;handle_generate@0x493BA#a;main_health_countdown@0x46824#rb,
0x5868C,mazeobj_base_picture_tbl,128,Verified,direct,dragon_shot_hit;main_health_countdown;main_move_players;maze_place_object;maze_randomplace;maze_tile_write_at;mob_collision_test;monster_update_anim_tile;pf_replace;resolve_shot_hit;thief_remove_and_drop_loot,a;rw,dragon_shot_hit@0x5434A#rw;main_health_countdown@0x46844#rw;main_move_players@0x4A7B2#a;maze_place_object@0x46172#a,
0x5870C,dead_picture_word_block,62,Verified,unreferenced,-,-,-,
0x5874A,anim_table_shooting,256,Verified,direct,main_move_players,a;rw,main_move_players@0x4ABC0#a,
0x5884A,anim_table_fighting,512,Verified,direct,main_move_players,a,main_move_players@0x4AB4A#a,
0x58A4A,anim_table_idle,64,Verified,direct,main_move_players;player_start_inner,a;rw,main_move_players@0x4A690#a;main_move_players@0x4AC1E#a;player_start_inner@0x48D96#a,
0x58A8A,anim_table_walking,256,Verified,direct,main_move_players,a;rw,main_move_players@0x4AB76#a,
0x58B8A,projectile_picture_table,128,Verified,direct,dragon_fire_setup;main_handle_shots;monster_create_shot;player_create_shot,a;rw,dragon_fire_setup@0x548CE#a;main_handle_shots@0x47664#a;main_handle_shots@0x476EC#a;monster_create_shot@0x491E4#a,
0x58C0A,anim_tiles_sorcerer,128,Verified,direct,mob_collision_test;monster_loop_core;monster_update_anim_tile,a;rw,mob_collision_test@0x527F6#a;mob_collision_test@0x52854#a;monster_loop_core@0x410CA#a;monster_update_anim_tile@0x415C6#a,
0x58C8A,thief_escape_anim,16,Verified,direct,main_thief_anim,a;rw,main_thief_anim@0x4E940#a,
0x58C9A,thief_walk_anim,128,Verified,direct,main_thief_anim,a,main_thief_anim@0x4ED34#a,
0x58D1A,thief_idle_by_direction,18,Verified,direct,main_thief_anim,a,main_thief_anim@0x4EDD4#a,
0x58D2C,thief_walk_anim_compact,64,Verified,direct,main_start_thief;main_thief_anim,a;rw,main_start_thief@0x4DF1C#rw;main_thief_anim@0x4ED98#a,
0x58D6C,mugger_walk_anim,128,Verified,direct,main_thief_anim,a;rw,main_thief_anim@0x4ED42#a,
0x58DEC,mugger_idle_by_direction,18,Verified,direct,main_thief_anim,a;rw,main_thief_anim@0x4EDE6#a,
0x58DFE,mugger_walk_anim_compact,64,Verified,direct,main_start_thief;main_thief_anim,a;rw,main_start_thief@0x4DF24#rw;main_thief_anim@0x4EDA6#a,
0x58E3E,special_projectile_picture_table,160,Verified,direct,dragon_fire_setup;main_handle_shots,a;rw,dragon_fire_setup@0x5483C#a;main_handle_shots@0x476BC#a,
0x58EDE,monster_projectile_picture_table,66,Verified,direct,main_handle_shots;monster_create_shot,a;rw,main_handle_shots@0x4770A#a;monster_create_shot@0x49244#a,
0x58F20,invulnerable_food_pictures,6,Verified,direct,maze_place_object;maze_tile_write_at,a;rw,maze_place_object@0x4615E#a;maze_tile_write_at@0x46566#a,
0x58F26,anim_tiles_ghost,128,Verified,indirect,handle_generate;mob_collision_test;monster_update_anim_tile,-,ptr:monster_anim_idle_ptrs,
0x58FA6,anim_tiles_grunt,128,Verified,indirect,handle_generate;mob_collision_test;monster_update_anim_tile,-,ptr:monster_anim_idle_ptrs,
0x59026,anim_tiles_grunt_moving,128,Verified,indirect,monster_special_handler,-,ptr:monster_anim_moving_ptrs,
0x590A6,anim_tiles_demon,128,Verified,indirect,handle_generate;mob_collision_test;monster_update_anim_tile,-,ptr:monster_anim_idle_ptrs,
0x59126,anim_tiles_demon_moving,128,Verified,indirect,monster_special_handler,-,ptr:monster_anim_moving_ptrs,
0x591A6,anim_tiles_lobber,128,Verified,indirect,handle_generate;mob_collision_test;monster_update_anim_tile,-,ptr:monster_anim_idle_ptrs,
0x59226,anim_tiles_sorcerer_moving,128,Verified,indirect,monster_special_handler,-,ptr:monster_anim_moving_ptrs,
0x592A6,anim_tiles_death,128,Verified,indirect,handle_generate;mob_collision_test;monster_update_anim_tile,-,ptr:monster_anim_idle_ptrs,
