address,size_bytes,catalog_name,matching_flags,status,confidence
0x5868C,128,mazeobj_base_picture_tbl,mazeobj_base_picture_tbl,exact_match,Verified
0x45C46,8,main_open_doors,door_open_direction_jumptbl,exact_match,Verified
0x49620,20,"Contradicted and corrected: target/monster class 0x12–0x1B is doubled without subtraction; the backward-biased load base 0x495FC maps it to the actual table at 0x49620–0x49633, also the JMP displacement base. The former 28-entry/0–0x1B description included live instructions before the table.",monster_playerhit_jumptbl,exact_match,Verified
0x4B338,124,cmpi.w #1,resolve_shot_hit_jumptbl,exact_match,Verified
0x4FE08,16,"Eight tie/eligibility states, doubled; displacement and JMP base 0x4FE08",richest_player_tie_jumptbl,exact_match,Verified
0x51200,16,"Object type 0x0A–0x11 is doubled without subtraction; load base is biased to 0x511EC, making the accessed table 0x51200–0x5120F; JMP base 0x51200",player_tile_lowtype_jumptbl,exact_match,Verified
0x5122A,34,"Object type 0x2E–0x3E, doubled without subtraction; load base 0x511CE biases accesses to 0x5122A–0x5124B; JMP base 0x5122A",player_tile_object_jumptbl,exact_match,Verified
0x52210,106,cmpi.w #0x0A,mob_collision_object_jumptbl,exact_match,Verified
0x538FE,10,Signed delta −2…2 indexes around a centered load base 0x53902; JMP base 0x538FE,shot_reflect_center_jumptbl,exact_match,Verified
0x53924,10,Delta −0x42…−0x3E is normalized by subtracting −0x42; JMP base 0x53924,shot_reflect_neg42_jumptbl,exact_match,Verified
0x53948,10,Delta −0x22…−0x1E is not normalized; backward-biased load base 0x5398C maps it to 0x53948–0x53951; JMP base 0x53948,shot_reflect_neg22_jumptbl,exact_match,Verified
0x5396A,10,Delta 0x1E…0x22 is not normalized; backward-biased load base 0x5392E maps it to 0x5396A–0x53973; JMP base 0x5396A,shot_reflect_pos1e_jumptbl,exact_match,Verified
0x53992,10,Delta 0x3E…0x42 is normalized by subtracting 0x3E; JMP base 0x53992,shot_reflect_pos3e_jumptbl,exact_match,Verified
0x58090,8,fighting_anim_end,fighting_anim_end,exact_match,Verified
0x58098,16,Demo initial pointer table,demo_stream_ptrs,exact_match,Verified
0x5811C,32,fight_direction_map,fight_direction_map,exact_match,Verified
0x5813C,32,forcefield_damage_table,forcefield_damage_table,exact_match,Verified
0x5874A,256,anim_table_shooting,anim_table_shooting,exact_match,Verified
0x5870C,62,dead_picture_word_block,dead_picture_word_block,exact_match,Verified
0x5884A,512,anim_table_fighting,anim_table_fighting,exact_match,Verified
0x58A4A,64,anim_table_idle,anim_table_idle,exact_match,Verified
0x58A8A,256,anim_table_walking,anim_table_walking,exact_match,Verified
0x58B8A,128,projectile_picture_table,projectile_picture_table,exact_match,Verified
0x58C0A,128,anim_tiles_sorcerer,anim_tiles_sorcerer,exact_match,Verified
0x58C8A,16,thief_escape_anim,thief_escape_anim,exact_match,Verified
0x58C9A,128,thief_walk_anim,thief_walk_anim,exact_match,Verified
0x58D1A,18,thief_idle_by_direction,thief_idle_by_direction,exact_match,Verified
0x58D2C,64,thief_walk_anim_compact,thief_walk_anim_compact,exact_match,Verified
0x58D6C,128,mugger_walk_anim,mugger_walk_anim,exact_match,Verified
0x58DEC,18,mugger_idle_by_direction,mugger_idle_by_direction,exact_match,Verified
0x58DFE,64,mugger_walk_anim_compact,mugger_walk_anim_compact,exact_match,Verified
0x58E3E,160,special_projectile_picture_table,special_projectile_picture_table,exact_match,Verified
0x58EDE,66,monster_projectile_picture_table,monster_projectile_picture_table,exact_match,Verified
0x58F20,6,invulnerable_food_pictures,invulnerable_food_pictures,exact_match,Verified
0x58F26,128,anim_tiles_ghost,anim_tiles_ghost,exact_match,Verified
0x58FA6,128,anim_tiles_grunt,anim_tiles_grunt,exact_match,Verified
0x59026,128,anim_tiles_grunt_moving,anim_tiles_grunt_moving,exact_match,Verified
0x590A6,128,anim_tiles_demon,anim_tiles_demon,exact_match,Verified
0x59126,128,anim_tiles_demon_moving,anim_tiles_demon_moving,exact_match,Verified
0x591A6,128,anim_tiles_lobber,anim_tiles_lobber,exact_match,Verified
0x59226,128,anim_tiles_sorcerer_moving,anim_tiles_sorcerer_moving,exact_match,Verified
0x592A6,128,anim_tiles_death,anim_tiles_death,exact_match,Verified
0x592B6,128,anim_tiles_death_moving_view,anim_tiles_death_moving_view,exact_match,Verified
0x59336,128,anim_tiles_acid,anim_tiles_acid,exact_match,Verified
0x593B6,128,anim_tiles_acid_moving,anim_tiles_acid_moving,exact_match,Verified
0x59436,128,anim_tiles_it,anim_tiles_it,exact_match,Verified
0x594B6,128,anim_tiles_it_special,anim_tiles_it_special,exact_match,Verified
0x59536,128,anim_tiles_monster_special_attack,anim_tiles_monster_special_attack,exact_match,Verified
0x595B6,128,anim_tiles_lobber_throw,anim_tiles_lobber_throw,exact_match,Verified
0x59636,128,anim_tiles_monster_special_state,anim_tiles_monster_special_state,exact_match,Verified
0x54BD6,10,dragon_head_hitbox_offsets,dragon_head_hitbox_offsets,exact_match,Verified
0x54CA6,32,secret_code_alphabet,secret_code_alphabet,exact_match,Verified
0x54CC6,512,secret_code_crc16_table,secret_code_crc16_table,exact_match,Verified
0x5318C,442,game_options_descriptor_stream,game_options_descriptor_stream,exact_match,Verified
0x57002,16,Per-player character announcement speech IDs (ROM pointer table),character_announcement_speech_ptrs,exact_match,Verified
0x57012,52,get_random_maze_flags,random_maze_flags,exact_match,Verified
0x57046,8,slapstic_bitwise_addr_a,slapstic_bitwise_addr_a,exact_match,Verified
0x5704E,8,slapstic_bitwise_addr_b,slapstic_bitwise_addr_b,exact_match,Verified
0x57056,28,challenge_target_object_types,challenge_target_object_types,exact_match,Verified
0x57072,66,character_select_instruction_chain,character_select_instruction_chain,exact_match,Verified
0x57340,16,character_hud_text_ptrs,character_hud_text_ptrs,exact_match,Verified
0x57350,8,player_text_palette_words,player_text_palette_words,exact_match,Verified
0x57358,8,treasure_room_duration,treasure_room_duration,exact_match,Verified
0x57360,28,challenge_timer_base,challenge_timer_base,exact_match,Verified
0x5737C,28,challenge_timer_random_minutes,challenge_timer_random_minutes,exact_match,Verified
0x576E2,176,shot_velocity_x,shot_velocity_x,exact_match,Verified
0x57792,176,shot_velocity_y,shot_velocity_y,exact_match,Verified
0x57862,64,health_per_coin_table,health_per_coin_table,exact_match,Verified
0x57842,16,player_power_palette_handler_ptrs,player_power_palette_handler_ptrs,exact_match,Verified
0x57852,16,player_hurt_palette_handler_ptrs,player_hurt_palette_handler_ptrs,exact_match,Verified
0x578A2,16,spawn_candidate_column_delta,spawn_candidate_column_delta,exact_match,Verified
0x578B2,16,spawn_candidate_row_delta,spawn_candidate_row_delta,exact_match,Verified
0x578C2,24,shot_counter_reload,shot_counter_reload,exact_match,Verified
0x578DA,16,random_item_group_ptrs,random_item_group_ptrs,exact_match,Verified
0x578EA,8,random_item_group_counts,random_item_group_counts,exact_match,Verified
0x578F2,24,score_spin_picture_cycle,score_spin_picture_cycle,exact_match,Verified
0x5790A,16,start_game_player_count_sounds,start_game_player_count_sounds,exact_match,Verified
0x5791A,24,random_item_group_values,random_item_group_values,exact_match,Verified
0x57932,16,player_transition_sound_ids,player_transition_sound_ids,exact_match,Verified
0x57942,16,heartbeat_sound_table,heartbeat_sound_table,exact_match,Verified
0x57952,16,player_coin_sound_ids,player_coin_sound_ids,exact_match,Verified
0x57962,12,early_level_speech_choices,early_level_speech_choices,exact_match,Verified
0x5796E,12,later_level_speech_choices,later_level_speech_choices,exact_match,Verified
0x5797A,16,character_lowhealth_speech,character_lowhealth_speech,exact_match,Verified
0x5798A,36,generator_spawn_object_type,generator_spawn_object_type,exact_match,Verified
0x579AE,36,generator_spawn_vpos_correction,generator_spawn_vpos_correction,exact_match,Verified
0x579D2,16,death_potion_score_table,death_potion_score_table,exact_match,Verified
0x579E2,16,death_potion_popup_type_table,death_potion_popup_type_table,exact_match,Verified
0x579F2,60,score_popup_picture_table,score_popup_picture_table,exact_match,Verified
0x57A2E,128,monster_contact_damage_table,monster_contact_damage_table,exact_match,Verified
0x57AAE,132,character_hurt_sound_banks,character_hurt_sound_banks,exact_match,Verified
0x57B32,10,hurt_speech_cooldown_base,hurt_speech_cooldown_base,exact_match,Verified
0x57B3C,16,character_hurt_sound_ptrs,character_hurt_sound_ptrs,exact_match,Verified
0x57B4C,4,character_hurt_sound_counts,character_hurt_sound_counts,exact_match,Verified
0x57B50,24,generator_cell_dx,generator_cell_dx,exact_match,Verified
0x57B68,24,generator_cell_dy,generator_cell_dy,exact_match,Verified
0x57B80,24,generator_spawn_direction,generator_spawn_direction,exact_match,Verified
0x57B98,16,monster_shot_spawn_h_offset,monster_shot_spawn_h_offset,exact_match,Verified
0x57BA8,16,monster_shot_spawn_v_offset,monster_shot_spawn_v_offset,exact_match,Verified
0x57BB8,16,lobber_shot_spawn_h_offset,lobber_shot_spawn_h_offset,exact_match,Verified
0x57BC8,16,lobber_shot_spawn_v_offset,lobber_shot_spawn_v_offset,exact_match,Verified
0x596B6,12,shot_damage_base_tbl,shot_damage_base_tbl,exact_match,Verified
0x596C2,12,shot_damage_rand_tbl,shot_damage_rand_tbl,exact_match,Verified
0x596CE,40,monstshot_damage_tbl,monstshot_damage_tbl,exact_match,Verified
0x596F6,64,speech_charname_tbl,speech_charname_tbl,exact_match,Verified
0x56FA8,88,pad_56fa8,pad_56fa8,exact_match,Verified
0x57000,2,residue_word_57000,residue_word_57000,exact_match,Verified
0x5AC20,14,logo_brightness_seq,logo_brightness_seq,exact_match,Verified
0x5AC5E,192,fixed_playfield_palette_bank,fixed_playfield_palette_bank,exact_match,Verified
0x5AC2E,32,logo_motion_program_full,logo_motion_program_full,exact_match,Verified
0x5AC4E,16,logo_motion_program_short,logo_motion_program_short,exact_match,Verified
0x5BA5C,12,wall_crumble_stage_ptrs,wall_crumble_stage_ptrs,exact_match,Verified
0x5BA68,2,logo_outer_timer_init,logo_outer_timer_init,exact_match,Verified
0x5BA6A,2,logo_inner_timer_init,logo_inner_timer_init,exact_match,Verified
0x5BA6C,2,logo_bright_min,logo_bright_min,exact_match,Verified
0x5BA6E,2,logo_bright_max,logo_bright_max,exact_match,Verified
0x5BA70,64,forcefield_gfx_ptrs,forcefield_gfx_ptrs,exact_match,Verified
0x5BAB0,16,shot_reflect_hdelta,shot_reflect_hdelta,exact_match,Verified
0x5BAC0,16,shot_reflect_vdelta,shot_reflect_vdelta,exact_match,Verified
0x5BAD0,16,shot_reflect_sound_tbl,shot_reflect_sound_tbl,exact_match,Verified
0x5BAE0,256,floor_desc_base,floor_desc_base,exact_match,Verified
0x5BBE0,3264,wall_desc_blocks,wall_desc_blocks,exact_match,Verified
0x5C8A0,8,floor_type10_desc,floor_type10_desc,exact_match,Verified
0x5C8A8,8,floor_type11_desc,floor_type11_desc,exact_match,Verified
0x5C8B0,504,exit_tile_descs,exit_tile_descs,exact_match,Verified
0x5CAA8,128,floor_type3e_descs,floor_type3e_descs,exact_match,Verified
0x5CB28,2000,attract_display_tile_stream,attract_display_tile_stream,exact_match,Verified
0x5CB48,504,special_object_tile_numbers,special_object_tile_numbers,exact_match,Verified
0x5CD40,1464,special_object_anim_tiles,special_object_anim_tiles,exact_match,Verified
0x5D2F8,216,wall_desc_pattern6,wall_desc_pattern6,exact_match,Verified
0x5D3D0,24,wall_desc_destructible,wall_desc_destructible,exact_match,Verified
0x5D3E8,16,dragon_probe_delta_a,dragon_probe_delta_a,exact_match,Verified
0x5D3F8,16,dragon_probe_delta_b,dragon_probe_delta_b,exact_match,Verified
0x5D408,16,dragon_spawn_offset_a,dragon_spawn_offset_a,exact_match,Verified
0x5D418,16,dragon_spawn_offset_b,dragon_spawn_offset_b,exact_match,Verified
0x5D428,16,dragon_facing_offset,dragon_facing_offset,exact_match,Verified
0x5D438,64,dragon_head_hdelta,dragon_head_hdelta,exact_match,Verified
0x5D478,64,dragon_head_vdelta,dragon_head_vdelta,exact_match,Verified
0x5D4B8,16,dragon_fire_segment_tbl,dragon_fire_segment_tbl,exact_match,Verified
0x5D4C8,32,dragon_pose_hdelta,dragon_pose_hdelta,exact_match,Verified
0x5D4E8,32,dragon_pose_vdelta,dragon_pose_vdelta,exact_match,Verified
0x5D508,32,dragon_body_pics,dragon_body_pics,exact_match,Verified
0x5D528,80,dragon_head_pics,dragon_head_pics,exact_match,Verified
0x5D578,80,dragon_path_programs,dragon_path_programs,exact_match,Verified
0x5D5C8,512,playfield_palettes,playfield_palettes,exact_match,Verified
0x5D7C8,128,playfield_special_palette_bank,playfield_special_palette_bank,exact_match,Verified
0x5B20E,72,player0_hurt_palette_cycle,player0_hurt_palette_cycle,exact_match,Verified
0x5B256,72,player1_hurt_palette_cycle,player1_hurt_palette_cycle,exact_match,Verified
0x5B29E,72,player2_hurt_palette_cycle,player2_hurt_palette_cycle,exact_match,Verified
0x5B2E6,72,player3_hurt_palette_cycle,player3_hurt_palette_cycle,exact_match,Verified
0x5B32E,192,player0_power_palette_cycle,player0_power_palette_cycle,exact_match,Verified
0x5B3EE,192,player1_power_palette_cycle,player1_power_palette_cycle,exact_match,Verified
0x5B4AE,192,player2_power_palette_cycle,player2_power_palette_cycle,exact_match,Verified
0x5B56E,192,player3_power_palette_cycle,player3_power_palette_cycle,exact_match,Verified
0x5B62E,12,thief_stealable_power_masks,thief_stealable_power_masks,exact_match,Verified
0x5B63A,16,thief_contact_damage,thief_contact_damage,exact_match,Verified
0x5B64A,18,direction_column_delta,direction_column_delta,exact_match,Verified
0x5B65C,18,direction_row_delta,direction_row_delta,exact_match,Verified
0x5B66E,64,maze_object_traversability_flags,maze_object_traversability_flags,exact_match,Verified
0x5B6AE,64,thief_collision_remove_flags,thief_collision_remove_flags,exact_match,Verified
0x5B6EE,12,thief_hurt_sound_choices,thief_hurt_sound_choices,exact_match,Verified
0x5B6FA,8,thief_player_speech_ids,thief_player_speech_ids,exact_match,Verified
0x5B702,8,mugger_player_speech_ids,mugger_player_speech_ids,exact_match,Verified
0x5B70A,18,thief_direction_step_size,thief_direction_step_size,exact_match,Verified
0x5B71C,8,tport_direction_rotation,tport_direction_rotation,exact_match,Verified
0x5B724,8,damage_comment_speech_ids,damage_comment_speech_ids,exact_match,Verified
0x5B72C,8,character_repulse_timer_init,character_repulse_timer_init,exact_match,Verified
0x5B734,8,character_stun_delay_add,character_stun_delay_add,exact_match,Verified
0x5B73C,16,tile_effect_sound_ids,tile_effect_sound_ids,exact_match,Verified
0x5B74C,40,pickup_score_values,pickup_score_values,exact_match,Verified
0x5B774,20,pickup_score_popup_types,pickup_score_popup_types,exact_match,Verified
0x5B788,16,level_exit_sound_ids,level_exit_sound_ids,exact_match,Verified
0x5B798,40,pickup_random_sound_banks,pickup_random_sound_banks,exact_match,Verified
0x5B7C0,16,pickup_random_sound_ptrs,pickup_random_sound_ptrs,exact_match,Verified
0x5B7D0,4,pickup_random_sound_counts,pickup_random_sound_counts,exact_match,Verified
0x5B7D4,16,collision_hpos_base_by_case,collision_hpos_base_by_case,exact_match,Verified
0x5B7E4,8,collision_hpos_random_range_by_player,collision_hpos_random_range_by_player,exact_match,Verified
0x5B7EC,16,collision_bonus_threshold_by_case,collision_bonus_threshold_by_case,exact_match,Verified
0x5B7FC,32,exit_rotation_offset_by_count,exit_rotation_offset_by_count,exact_match,Verified
0x5B81C,576,exit_desc_by_floorpattern,exit_desc_by_floorpattern,exact_match,Verified
0x5D7E8,96,playfield_special_palette_lowwall_view,playfield_special_palette_lowwall_view,exact_match,Verified
0x5D848,416,unconsumed_block_5d848,unconsumed_block_5d848,exact_match,Verified
0x5D9E8,176,secretcode_text_recs,secretcode_text_recs,exact_match,Verified
0x5DA98,448,potion_effect_matrix,potion_effect_matrix,exact_match,Verified
0x5EDD4,32,wall_pattern_offsets,wall_pattern_offsets,exact_match,Verified
0x5EDF4,48,wall_random_desc_ptrs,wall_random_desc_ptrs,exact_match,Verified
0x5EE24,256,wall_conn_variant_tbl,wall_conn_variant_tbl,exact_match,Verified
0x5EF24,256,wall_conn_variant_tbl6,wall_conn_variant_tbl6,exact_match,Verified
0x5F9CE,32,door_gfx_by_neighbors,door_gfx_by_neighbors,exact_match,Verified
0x5FACA,18,door_gfx_type2,door_gfx_type2,exact_match,Verified
0x5FADC,18,door_hpos_sub2,door_hpos_sub2,exact_match,Verified
0x5FAEE,18,door_vpos_add2,door_vpos_add2,exact_match,Verified
0x5FBDC,18,door_gfx_type3,door_gfx_type3,exact_match,Verified
0x5FBEE,18,door_vpos_sub3,door_vpos_sub3,exact_match,Verified
0x5FC00,18,door_vpos_add3,door_vpos_add3,exact_match,Verified
0x5FC12,16,player_inventory_vram_ptrs,player_inventory_vram_ptrs,exact_match,Verified
0x5FDAC,6,supersorc_direction_bias,supersorc_direction_bias,exact_match,Verified
0x5FDB2,6,supersorc_probe_steps,supersorc_probe_steps,exact_match,Verified
0x55512,60,dead_name_entry_epilogue_fragments,dead_name_entry_epilogue_fragments,exact_match,Verified
0x56F5C,76,dead_slapstic_verify_suffix,dead_slapstic_verify_suffix,exact_match,Verified
0x5FF98,26,dead_truncated_supersorc_epilogues,dead_truncated_supersorc_epilogues,exact_match,Verified
0x570B4,8,portrait_display_offsets,portrait_display_offsets,exact_match,Verified
0x570BC,8,portrait_alpha_words,portrait_alpha_words,exact_match,Verified
0x570C4,8,portrait_sprite_words,portrait_sprite_words,exact_match,Verified
0x570CC,16,portrait_alpha_dest_ptrs,portrait_alpha_dest_ptrs,exact_match,Verified
0x570DC,16,portrait_sprite_dest_ptrs,portrait_sprite_dest_ptrs,exact_match,Verified
0x570EC,32,joystick_direction_bitmasks,joystick_direction_bitmasks,exact_match,Verified
0x5710C,108,floor_palette_color_indices,floor_palette_color_indices,exact_match,Verified
0x57178,96,service_instruction_text_chain,service_instruction_text_chain,exact_match,Verified
0x571D8,2,forcefield_delay_alignment,forcefield_delay_alignment,exact_match,Verified
0x571DA,32,forcefield_cycle_delay_profiles,forcefield_cycle_delay_profiles,exact_match,Verified
0x57398,60,challenge_shared_qualifier_text,challenge_shared_qualifier_text,exact_match,Verified
0x573D4,112,challenge_qualifier_descs,challenge_qualifier_descs,exact_match,Verified
0x57444,104,challenge_unique_qualifier_text,challenge_unique_qualifier_text,exact_match,Verified
0x574AC,8,challenge_it_desc,challenge_it_desc,exact_match,Verified
0x574B4,4,challenge_it_text,challenge_it_text,exact_match,Verified
0x574B8,102,character_glyph_rows,character_glyph_rows,exact_match,Verified
0x5751E,90,pea.l 0x5751E,ui_status_strings,exact_match,Verified
0x5815C,48,dialog_tip_ptrs,dialog_tip_ptrs,exact_match,Verified
0x5828C,642,dialog_tip_records,dialog_tip_records,exact_match,Verified
0x57578,188,DIP-switch display records; exact range 0x57578–0x57633. The chain's last node begins at 0x57628 with flags 0x0200 and its four-byte back-link 0x0005761C occupies 0x57630–0x57633,dip_switch_display_records,exact_match,Verified
0x57634,16,text_desc,continue_screen_header,exact_match,Verified
0x57644,20,continue_blank_line,continue_blank_line,exact_match,Verified
0x57658,20,continue_press_start,continue_press_start,exact_match,Verified
0x5766C,20,continue_within_seconds,continue_within_seconds,exact_match,Verified
0x57680,20,continue_game_line,continue_game_line,exact_match,Verified
0x57694,20,continue_level_line,continue_level_line,exact_match,Verified
0x576A8,14,heartbeat_mask_table,heartbeat_mask_table,exact_match,Verified
0x576B6,28,score_star_picture_cycle,score_star_picture_cycle,exact_match,Verified
0x576D2,8,score_effect_picture_cycle_a,score_effect_picture_cycle_a,exact_match,Verified
0x576DA,8,score_effect_picture_cycle_b,score_effect_picture_cycle_b,exact_match,Verified
0x571FA,16,forcefield_cycle_delay_ptrs,forcefield_cycle_delay_ptrs,exact_match,Verified
0x5720A,8,secret_player_palette_words,secret_player_palette_words,exact_match,Verified
0x57212,16,player_color_name_ptrs,player_color_name_ptrs,exact_match,Verified
0x57222,32,player_color_name_strings,player_color_name_strings,exact_match,Verified
0x57242,16,character_name_ptrs,character_name_ptrs,exact_match,Verified
0x57252,40,character_name_strings,character_name_strings,exact_match,Verified
0x5727A,180,level_start_message_strings,level_start_message_strings,exact_match,Verified
0x5732E,6,level_start_row_bytes,level_start_row_bytes,exact_match,Verified
0x57334,12,level_start_attr_words,level_start_attr_words,exact_match,Verified
0x57BD8,738,dead_tile_word_block,dead_tile_word_block,exact_match,Verified
0x57EBA,320,factory_highscore_records,factory_highscore_records,exact_match,Verified
0x57FFA,118,text_desc,score_coin_initials_records,exact_match,Verified
0x5818C,256,"Four adjacent demo-player streams through 0x5828B, split by the pointer table at 0x58098 into 56, 150, 2, and 48 bytes. Commands are 2-byte pairs. First byte 0x00–0xFD = frame duration and second byte = recorded input; 0xFF = show dialog tip whose index is the second byte; 0xFE = join/switch demo player encoded by the second byte.",demo_input_streams,exact_match,Verified
0x59736,80,hint_text_ptrs,hint_text_ptrs,exact_match,Verified
0x59786,306,"Hint text strings (“TRY TRANSPORTABILITY”, “WATCH WHAT YOU SHOOT”, etc.), exact range 0x59786–0x598B7, including the final string's NUL and its even-alignment pad",hint_text_strings,exact_match,Verified
0x598B8,228,hint_text_desc_records,hint_text_desc_records,exact_match,Verified
0x5999C,440,"Gameplay tip strings (“MORE PLAYERS ALLOWS HIGHER”, “BONUS MULTIPLIER”, “ADD MORE PLAYERS FOR”, “GREATER FIREPOWER”, “ADD COINS ANYTIME”, …), exact range 0x5999C–0x59B53 before the maze-decompression pointer table",gameplay_tip_strings,exact_match,Verified
0x59B54,16,maze_decomp_type_ptrs,maze_decomp_type_ptrs,exact_match,Verified
0x59B64,24,powerup_bit_masks,powerup_bit_masks,exact_match,Verified
0x59B7C,48,powerup_speech_ids,powerup_speech_ids,exact_match,Verified
0x59BAC,1620,first_encounter_message_records,first_encounter_message_records,exact_match,Verified
0x5A200,128,first_encounter_message_ptrs,first_encounter_message_ptrs,exact_match,Verified
0x5A280,128,first_encounter_speech_ids,first_encounter_speech_ids,exact_match,Verified
0x5A300,128,first_encounter_alt_message_ptrs,first_encounter_alt_message_ptrs,exact_match,Verified
0x5A380,384,powerup_name_strings,powerup_name_strings,exact_match,Verified
0x5A500,64,powerup_name_ptrs,powerup_name_ptrs,exact_match,Verified
0x5A540,46,"Monster-legend header/value strings (“Type”, “Fight”, “Shoot”, “Magic”, blank, “NO”, “YES”, “STUN”), ending at 0x5A56D",monster_legend_labels,exact_match,Verified
0x5A56E,258,monster_legend_cells,monster_legend_cells,exact_match,Verified
0x5A670,110,"Monster/object name strings: “GHOST”, “GRUNT”, “DEMON”, “LOBBER”, “SORCERER”, etc.; exact range 0x5A670–0x5A6DD",monster_object_name_strings,exact_match,Verified
0x5A6DE,284,legend_powerup_desc_chain,legend_powerup_desc_chain,exact_match,Verified
0x5A7FA,116,legend_object_desc_chain,legend_object_desc_chain,exact_match,Verified
0x5A86E,94,legend_wallfloor_desc_chain,legend_wallfloor_desc_chain,exact_match,Verified
0x5A8CC,220,legend_credit_roles_chain,legend_credit_roles_chain,exact_match,Verified
0x5A9A8,192,legend_credit_name_strings,legend_credit_name_strings,exact_match,Verified
0x5AA68,178,legend_credit_names_chain,legend_credit_names_chain,exact_match,Verified
0x5AB1A,12,treasure_bonus_coin_label,treasure_bonus_coin_label,exact_match,Verified
0x5AB26,12,treasure_bonus_treasure_label,treasure_bonus_treasure_label,exact_match,Verified
0x5AB32,8,treasure_bonus_equals_label,treasure_bonus_equals_label,exact_match,Verified
0x5AB3A,12,treasure_no_bonus_label,treasure_no_bonus_label,exact_match,Verified
0x5AB46,18,treasure_5000_coin_label,treasure_5000_coin_label,exact_match,Verified
0x5AB58,12,treasure_no_bonus_label_alt,treasure_no_bonus_label_alt,exact_match,Verified
0x5AB64,44,treasure_seconds_speech,treasure_seconds_speech,exact_match,Verified
0x5AB90,80,treasure_fake_countdown_sequences,treasure_fake_countdown_sequences,exact_match,Verified
0x5ABE0,16,treasure_fake_countdown_ptrs,treasure_fake_countdown_ptrs,exact_match,Verified
0x5ABF0,8,treasure_fakeout_speech,treasure_fakeout_speech,exact_match,Verified
0x5ABF8,16,treasure_timeout_speech,treasure_timeout_speech,exact_match,Verified
0x5AC08,16,treasure_warning_speech,treasure_warning_speech,exact_match,Verified
0x5AC18,8,treasure_warning_delay,treasure_warning_delay,exact_match,Verified
0x5AD1E,128,alpha_palette_init,alpha_palette_init,exact_match,Verified
0x5AD9E,128,mob_palette_init,mob_palette_init,exact_match,Verified
0x5AE1E,384,mob_palette_extended,mob_palette_extended,exact_match,Verified
0x5AF9E,16,character_palette_ptrs,character_palette_ptrs,exact_match,Verified
0x5AFAE,96,tport_palette_cycle_blocks,tport_palette_cycle_blocks,exact_match,Verified
0x5B00E,512,"Four character full palettes (128 B each): Warrior, Valkyrie, Wizard, Elf. Each has four 32-byte sub-palettes (normal/poisoned/ghost/invulnerable); exact range 0x5B00E–0x5B20D",character_full_palettes,exact_match,Verified
0x5818C,56,"Player 0 demo input stream (28 command pairs), ending at 0x581C3",demo_player0_input_stream,exact_match,Verified
0x581C4,150,"Player 1 demo input stream (75 command pairs; primary Elf script), ending at 0x58259",demo_player1_input_stream,exact_match,Verified
